META; english/fa-cup/farsley-celtic-v-bishop-auckland; 2016-09-30 11:47:49 GMT+3; 2016-10-01 15:00; e70300-dr003
Farsley Celtic; 8/15; ; ; ; ; ; 4/7; ; 4/7; ; ; ; ; ; 1/2; ; ; 8/15; ; ; ; 8/15; ; ; ; ; 4/9; ; 
Draw; 7/2; ; ; ; ; ; 7/2; ; 19/5; ; ; ; ; ; 3; ; 7/2; 38/11; ; ; ; 38/11; ; ; ; ; 14/5; ; 
Bishop Auckland; 16/5; ; ; ; ; ; 4; ; 7/2; ; ; ; ; ; 19/5; ; 7/2; 13/4; ; ; ; 13/4; ; ; ; ; 7/2; ; 
META; english/fa-cup/farsley-celtic-v-bishop-auckland; 2016-09-30 12:23:40 GMT+3; 2016-10-01 15:00; e70300-dr003
Farsley Celtic; 8/15; ; ; 1/2; ; ; 4/7; ; 4/7; ; ; ; ; ; 1/2; ; ; 8/15; ; ; ; 8/15; ; ; ; ; 4/9; ; 
Draw; 7/2; ; ; 16/5; ; ; 7/2; ; 19/5; ; ; ; ; ; 3; ; 7/2; 38/11; ; ; ; 38/11; ; ; ; ; 14/5; ; 
Bishop Auckland; 16/5; ; ; 15/4; ; ; 4; ; 7/2; ; ; ; ; ; 19/5; ; 7/2; 13/4; ; ; ; 13/4; ; ; ; ; 7/2; ; 
META; english/fa-cup/farsley-celtic-v-bishop-auckland; 2016-09-30 13:09:21 GMT+3; 2016-10-01 15:00; e70300-dr003
Farsley Celtic; 8/15; ; ; 1/2; ; ; 8/15; ; 4/7; ; ; ; ; ; 1/2; ; ; 8/15; ; ; ; 8/15; ; ; ; ; 4/9; ; 
Draw; 7/2; ; ; 16/5; ; ; 7/2; ; 19/5; ; ; ; ; ; 3; ; 7/2; 38/11; ; ; ; 38/11; ; ; ; ; 14/5; ; 
Bishop Auckland; 16/5; ; ; 15/4; ; ; 7/2; ; 7/2; ; ; ; ; ; 19/5; ; 7/2; 13/4; ; ; ; 13/4; ; ; ; ; 7/2; ; 
META; english/fa-cup/farsley-celtic-v-bishop-auckland; 2016-09-30 13:48:07 GMT+3; 2016-10-01 15:00; e70300-dr003
Farsley Celtic; 8/15; ; ; 1/2; ; ; 8/15; ; 4/7; ; ; ; ; ; 1/2; ; ; 8/15; ; ; ; 8/15; ; ; ; ; 4/9; ; 
Draw; 7/2; ; ; 16/5; ; ; 7/2; ; 19/5; ; ; ; ; ; 3; ; 7/2; 38/11; ; ; ; 38/11; ; ; ; ; 14/5; ; 
Bishop Auckland; 16/5; ; ; 15/4; ; ; 7/2; ; 7/2; ; ; ; ; ; 19/5; ; 7/2; 13/4; ; ; ; 16/5; ; ; ; ; 7/2; ; 
META; english/fa-cup/farsley-celtic-v-bishop-auckland; 2016-09-30 15:48:25 GMT+3; 2016-10-01 15:00; e70300-dr003
Farsley Celtic; 8/15; ; ; 1/2; ; ; 8/15; ; 4/7; ; ; ; ; ; 8/15; ; ; 8/15; ; ; ; 8/15; ; ; ; ; 1/2; ; 
Draw; 7/2; ; ; 16/5; ; ; 7/2; ; 19/5; ; ; ; ; ; 29/10; ; 7/2; 38/11; ; ; ; 38/11; ; ; ; ; 27/10; ; 
Bishop Auckland; 16/5; ; ; 15/4; ; ; 7/2; ; 7/2; ; ; ; ; ; 19/5; ; 7/2; 16/5; ; ; ; 16/5; ; ; ; ; 7/2; ; 
META; english/fa-cup/farsley-celtic-v-bishop-auckland; 2016-09-30 16:23:45 GMT+3; 2016-10-01 15:00; e70300-dr003
Farsley Celtic; 8/15; ; ; 1/2; ; ; 8/15; ; 4/7; ; ; ; ; ; 1/2; ; ; 8/15; ; ; ; 8/15; ; ; ; ; 1/2; ; 
Draw; 7/2; ; ; 16/5; ; ; 7/2; ; 19/5; ; ; ; ; ; 3; ; 7/2; 38/11; ; ; ; 38/11; ; ; ; ; 14/5; ; 
Bishop Auckland; 16/5; ; ; 15/4; ; ; 7/2; ; 7/2; ; ; ; ; ; 19/5; ; 7/2; 13/4; ; ; ; 13/4; ; ; ; ; 7/2; ; 
META; english/fa-cup/farsley-celtic-v-bishop-auckland; 2016-09-30 17:48:05 GMT+3; 2016-10-01 15:00; e70300-dr003
Farsley Celtic; 8/15; ; ; 1/2; ; ; 8/15; ; 4/7; ; ; ; ; ; 1/2; ; ; 8/15; ; ; ; 8/15; ; ; 4/7; ; 4/9; ; 
Draw; 7/2; ; ; 16/5; ; ; 7/2; ; 19/5; ; ; ; ; ; 3; ; 7/2; 38/11; ; ; ; 38/11; ; ; 7/2; ; 14/5; ; 
Bishop Auckland; 16/5; ; ; 15/4; ; ; 7/2; ; 7/2; ; ; ; ; ; 19/5; ; 7/2; 13/4; ; ; ; 13/4; ; ; 7/2; ; 7/2; ; 
META; english/fa-cup/farsley-celtic-v-bishop-auckland; 2016-09-30 18:40:37 GMT+3; 2016-10-01 15:00; e70300-dr003
Farsley Celtic; 8/15; ; ; 1/2; ; ; 8/15; ; 4/7; ; ; ; ; ; 8/15; 8/15; ; 8/15; ; ; ; 8/15; ; ; 4/7; ; 1/2; ; 
Draw; 7/2; ; ; 16/5; ; ; 7/2; ; 19/5; ; ; ; ; ; 29/10; 18/5; 7/2; 38/11; ; ; ; 38/11; ; ; 7/2; ; 27/10; ; 
Bishop Auckland; 16/5; ; ; 15/4; ; ; 18/5; ; 7/2; ; ; ; ; ; 19/5; 9/2; 7/2; 16/5; ; ; ; 16/5; ; ; 7/2; ; 7/2; ; 
