Bath City; 3/5; 4/7; ; ; 8/13; ; 8/13; ; 8/13; ; 4/6; 8/13; ; ; ; ; 4/7; 8/15; ; ; ; 8/15; ; 8/13; ; ; 4/7; ; 
Draw; 3; 3; ; ; 10/3; ; 31/10; ; 10/3; ; 14/5; 27/10; ; ; ; ; 10/3; 16/5; ; ; ; 16/5; ; 56/19; ; ; 14/5; ; 
Oxford City; 7/2; 10/3; ; ; 19/5; ; 4; ; 19/5; ; 15/4; 18/5; ; ; ; ; 7/2; 7/2; ; ; ; 7/2; ; 57/17; ; ; ; ; 
META; english/fa-cup/bath-city-v-oxford-city; 2016-09-16 16:22:36 GMT+3; 2016-09-17 15:00; e70300-dr003
Bath City; 3/5; 4/7; 4/6; ; 8/13; ; 13/20; 8/15; 8/13; ; 4/6; 8/13; ; ; ; ; 8/13; 8/15; ; ; ; 8/15; ; 8/13; ; ; 1/25; ; 
Draw; 3; 3; 29/10; ; 16/5; ; 3; 10/3; 10/3; ; 14/5; 27/10; ; ; ; ; 3; 16/5; ; ; ; 16/5; ; 56/19; ; ; 1/100; ; 
Oxford City; 7/2; 10/3; 4; ; 19/5; ; 4; 7/2; 19/5; ; 15/4; 18/5; ; ; ; ; 4; 7/2; ; ; ; 7/2; ; 57/17; ; ; 1/33; ; 
META; english/fa-cup/bath-city-v-oxford-city; 2016-09-16 17:47:29 GMT+3; 2016-09-17 15:00; e70300-dr003
Bath City; 3/5; 4/7; 4/6; ; 8/13; 4/7; 11/20; 8/15; 8/13; ; 4/6; 8/13; ; ; 13/20; ; 8/13; 8/15; ; 4/7; ; 4/7; ; 8/13; ; ; 1/25; ; 
Draw; 3; 3; 29/10; ; 16/5; 3; 3; 10/3; 10/3; ; 14/5; 27/10; ; ; 16/5; ; 3; 16/5; ; 3; ; 3; ; 56/19; ; ; 14/5; ; 
Oxford City; 7/2; 10/3; 4; ; 19/5; 16/5; 17/4; 7/2; 19/5; ; 15/4; 18/5; ; ; 18/5; ; 4; 7/2; ; 7/2; ; 38/11; ; 57/17; ; ; 3; ; 
META; english/fa-cup/bath-city-v-oxford-city; 2016-09-16 18:33:00 GMT+3; 2016-09-17 15:00; e70300-dr003
Bath City; 3/5; 4/7; 4/6; ; 8/13; 4/7; 11/20; 8/15; 8/13; ; 4/6; 8/13; ; ; 13/20; ; 8/13; 4/7; ; 4/7; ; 4/7; ; 8/13; ; ; 1/25; ; 
Draw; 3; 3; 29/10; ; 16/5; 3; 3; 10/3; 10/3; ; 14/5; 27/10; ; ; 16/5; ; 3; 3; ; 3; ; 3; ; 56/19; ; ; 14/5; ; 
Oxford City; 7/2; 10/3; 4; ; 19/5; 16/5; 17/4; 7/2; 19/5; ; 15/4; 18/5; ; ; 18/5; ; 4; 38/11; ; 7/2; ; 38/11; ; 57/17; ; ; 3; ; 
META; english/fa-cup/bath-city-v-oxford-city; 2016-09-16 19:48:04 GMT+3; 2016-09-17 15:00; e70300-dr003
Bath City; 3/5; 4/7; 4/6; ; 8/13; 4/7; 13/20; 8/15; 8/13; ; 4/6; 8/13; ; ; 4/6; 4/6; 8/13; 10/17; ; 4/7; ; 4/7; ; 7/11; ; ; 4/7; ; 
Draw; 3; 3; 29/10; ; 16/5; 3; 3; 10/3; 10/3; ; 14/5; 3; ; ; 16/5; 16/5; 10/3; 56/19; ; 3; ; 3; ; 58/19; ; ; 14/5; ; 
Oxford City; 7/2; 10/3; 4; ; 19/5; 16/5; 4; 7/2; 19/5; ; 15/4; 3; ; ; 18/5; 15/4; 7/2; 17/5; ; 7/2; ; 38/11; ; 38/11; ; ; 3; ; 
META; english/fa-cup/bath-city-v-oxford-city; 2016-09-16 20:24:11 GMT+3; 2016-09-17 15:00; e70300-dr003
Bath City; 3/5; 4/7; 4/6; ; 8/13; 4/7; 13/20; 8/15; 8/13; ; 4/6; 8/13; ; ; 4/6; 4/6; 8/13; 10/17; ; 4/7; ; 10/17; ; 7/11; ; ; 4/7; ; 
