Bognor Regis; 11/10; ; ; ; 6/5; 11/10; 6/5; 11/10; 6/5; ; ; 5/4; ; ; ; ; 6/5; 11/10; ; 11/10; ; 11/10; ; ; ; ; 1/33; ; 
Billericay; 9/5; ; ; ; 15/8; 7/4; 19/10; 9/5; 2; ; ; 6/4; ; ; ; ; 9/5; 9/5; ; 9/5; ; 9/5; ; ; ; ; 1/33; ; 
Draw; 13/5; ; ; ; 3; 13/5; 29/10; 13/5; 14/5; ; ; 13/5; ; ; ; ; 11/4; 13/5; ; 13/5; ; 13/5; ; ; ; ; 1/100; ; 
META; english/fa-cup/billericay-v-bognor-regis; 2016-09-17 01:03:43 GMT+3; 2016-09-17 15:00; e70300-dr003
Bognor Regis; 11/10; ; ; ; 6/5; 11/10; 6/5; 11/10; 6/5; ; ; 5/4; ; ; ; ; 6/5; 11/10; ; 11/10; ; 11/10; ; ; ; ; 1/33; ; 
Billericay; 9/5; ; ; ; 15/8; 7/4; 19/10; 9/5; 2; ; ; 6/4; ; ; ; ; 9/5; 9/5; ; 9/5; ; 9/5; ; ; ; ; 1/33; ; 
Draw; 13/5; ; ; ; 3; 13/5; 29/10; 13/5; 14/5; ; ; 13/5; ; ; ; ; 11/4; 13/5; ; 13/5; ; 13/5; ; ; ; ; 1/100; ; 
META; english/fa-cup/billericay-v-bognor-regis; 2016-09-17 01:47:15 GMT+3; 2016-09-17 15:00; e70300-dr003
Bognor Regis; 11/10; ; ; ; 6/5; 11/10; 6/5; 11/10; 6/5; ; ; 5/4; ; ; ; ; 6/5; 11/10; ; 11/10; ; 11/10; ; ; ; ; 1/33; ; 
Billericay; 9/5; ; ; ; 15/8; 7/4; 19/10; 9/5; 2; ; ; 6/4; ; ; ; ; 9/5; 9/5; ; 9/5; ; 9/5; ; ; ; ; 1/33; ; 
Draw; 13/5; ; ; ; 3; 13/5; 29/10; 13/5; 14/5; ; ; 13/5; ; ; ; ; 11/4; 13/5; ; 13/5; ; 13/5; ; ; ; ; 1/100; ; 
META; english/fa-cup/billericay-v-bognor-regis; 2016-09-17 03:47:19 GMT+3; 2016-09-17 15:00; e70300-dr003
Bognor Regis; 11/10; ; ; ; 6/5; 11/10; 6/5; 11/10; 6/5; ; ; 5/4; ; ; ; ; 6/5; 11/10; ; 11/10; ; 11/10; ; ; ; ; 1/33; ; 
Billericay; 9/5; ; ; ; 15/8; 7/4; 19/10; 9/5; 2; ; ; 6/4; ; ; ; ; 9/5; 9/5; ; 9/5; ; 9/5; ; ; ; ; 1/33; ; 
Draw; 13/5; ; ; ; 3; 13/5; 29/10; 13/5; 14/5; ; ; 13/5; ; ; ; ; 11/4; 13/5; ; 13/5; ; 13/5; ; ; ; ; 1/100; ; 
META; english/fa-cup/billericay-v-bognor-regis; 2016-09-17 04:32:29 GMT+3; 2016-09-17 15:00; e70300-dr003
Bognor Regis; 11/10; ; ; ; 6/5; 11/10; 6/5; 11/10; 6/5; ; ; 5/4; ; ; ; ; 6/5; 11/10; ; 11/10; ; 11/10; ; ; ; ; 1/33; ; 
Billericay; 9/5; ; ; ; 15/8; 7/4; 19/10; 9/5; 2; ; ; 6/4; ; ; ; ; 9/5; 9/5; ; 9/5; ; 9/5; ; ; ; ; 1/33; ; 
Draw; 13/5; ; ; ; 3; 13/5; 29/10; 13/5; 14/5; ; ; 13/5; ; ; ; ; 11/4; 13/5; ; 13/5; ; 13/5; ; ; ; ; 1/100; ; 
META; english/fa-cup/billericay-v-bognor-regis; 2016-09-17 05:47:23 GMT+3; 2016-09-17 15:00; e70300-dr003
Bognor Regis; 11/10; ; ; ; 6/5; 11/10; 6/5; 11/10; 6/5; ; ; 5/4; ; ; ; ; 6/5; 11/10; ; 11/10; ; 11/10; ; ; ; ; 1/33; ; 
Billericay; 9/5; ; ; ; 15/8; 7/4; 19/10; 9/5; 2; ; ; 6/4; ; ; ; ; 9/5; 9/5; ; 9/5; ; 9/5; ; ; ; ; 1/33; ; 
Draw; 13/5; ; ; ; 3; 13/5; 29/10; 13/5; 14/5; ; ; 13/5; ; ; ; ; 11/4; 13/5; ; 13/5; ; 13/5; ; ; ; ; 1/100; ; 
META; english/fa-cup/billericay-v-bognor-regis; 2016-09-17 06:34:52 GMT+3; 2016-09-17 15:00; e70300-dr003
Bognor Regis; 11/10; ; ; ; 6/5; 11/10; 6/5; 11/10; 6/5; ; ; 5/4; ; ; ; ; 6/5; 11/10; ; 11/10; ; 11/10; ; ; ; ; 1/33; ; 
Billericay; 9/5; ; ; ; 15/8; 7/4; 19/10; 9/5; 2; ; ; 6/4; ; ; ; ; 9/5; 9/5; ; 9/5; ; 9/5; ; ; ; ; 1/33; ; 
Draw; 13/5; ; ; ; 3; 13/5; 29/10; 13/5; 14/5; ; ; 13/5; ; ; ; ; 11/4; 13/5; ; 13/5; ; 13/5; ; ; ; ; 1/100; ; 
META; english/fa-cup/billericay-v-bognor-regis; 2016-09-17 07:47:24 GMT+3; 2016-09-17 15:00; e70300-dr003
Bognor Regis; 11/10; 23/20; 6/5; ; 6/5; 11/10; 6/5; 11/10; 6/5; ; ; 5/4; ; ; 23/20; ; 6/5; 11/10; ; 11/10; ; 11/10; ; ; ; ; 21/20; ; 
Billericay; 9/5; 7/4; 2; ; 15/8; 7/4; 19/10; 9/5; 2; ; ; 6/4; ; ; 2; ; 9/5; 9/5; ; 9/5; ; 9/5; ; ; ; ; 15/8; ; 
Draw; 13/5; 5/2; 27/10; ; 3; 13/5; 29/10; 13/5; 14/5; ; ; 13/5; ; ; 11/4; ; 11/4; 13/5; ; 13/5; ; 13/5; ; ; ; ; 5/2; ; 
