Folkestone Invicta; 8/13; ; ; ; 4/6; 8/13; 13/20; ; 4/6; ; ; ; ; ; ; ; 4/6; 8/13; ; 8/13; ; 8/13; ; ; ; ; 2/9; ; 
Waltham Forest; 14/5; ; ; ; 16/5; 11/4; 33/10; ; 3; ; ; ; ; ; ; ; 3; 14/5; ; 11/4; ; 14/5; ; ; ; ; 2/9; ; 
Draw; 10/3; ; ; ; 18/5; 16/5; 18/5; ; 7/2; ; ; ; ; ; ; ; 7/2; 57/17; ; 17/5; ; 57/17; ; ; ; ; 21/10; ; 
META; english/fa-cup/folkestone-invicta-v-waltham-forest; 2016-09-17 08:25:12 GMT+3; 2016-09-17 15:00; e70300-dr003
Folkestone Invicta; 8/13; 6/10; 7/10; ; 4/6; 8/13; 13/20; ; 4/6; ; ; 8/13; ; ; 4/6; ; 4/6; 8/13; ; 8/13; ; 8/13; ; ; ; ; 4/7; ; 
Draw; 10/3; 3; 3; ; 10/3; 16/5; 17/5; ; 7/2; ; ; 14/5; ; ; 16/5; ; 10/3; 57/17; ; 17/5; ; 57/17; ; ; ; ; 14/5; ; 
Waltham Forest; 14/5; 3; 18/5; ; 10/3; 11/4; 17/5; ; 3; ; ; 17/5; ; ; 18/5; ; 3; 14/5; ; 11/4; ; 14/5; ; ; ; ; 3; ; 
META; english/fa-cup/folkestone-invicta-v-waltham-forest; 2016-09-17 12:25:20 GMT+3; 2016-09-17 15:00; e70300-dr003
Folkestone Invicta; 8/13; 6/10; 7/10; ; 4/6; 8/13; 13/20; ; 4/6; ; ; 8/13; ; ; 4/6; ; 4/6; 8/13; ; 8/13; ; 8/13; ; ; ; ; 4/7; ; 
Draw; 10/3; 3; 3; ; 10/3; 16/5; 17/5; ; 7/2; ; ; 14/5; ; ; 16/5; ; 10/3; 13/4; ; 17/5; ; 57/17; ; ; ; ; 14/5; ; 
Waltham Forest; 14/5; 3; 18/5; ; 10/3; 11/4; 17/5; ; 3; ; ; 17/5; ; ; 18/5; ; 3; 37/13; ; 11/4; ; 14/5; ; ; ; ; 3; ; 
META; english/fa-cup/folkestone-invicta-v-waltham-forest; 2016-09-17 16:24:40 GMT+3; 2016-09-17 15:00; e70300-dr003
Folkestone Invicta; 8/13; 6/10; 7/10; ; 4/6; 8/13; 13/20; ; 4/6; ; ; 8/13; ; ; 6/10; ; 4/6; 8/13; ; 8/13; ; 8/13; ; ; ; ; 3/10; ; 
Draw; 10/3; 16/5; 3; ; 7/2; 16/5; 7/2; ; 7/2; ; ; 14/5; ; ; 14/5; ; 10/3; 57/17; ; 17/5; ; 57/17; ; ; ; ; 21/10; ; 
Waltham Forest; 14/5; 14/5; 18/5; ; 16/5; 11/4; 10/3; ; 3; ; ; 17/5; ; ; 10/3; ; 3; 14/5; ; 11/4; ; 14/5; ; ; ; ; 7/5; ; 
