META; english/fa-cup/chelsea-v-man-utd; 2017-02-20 00:22:25 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; ; 11/10; ; 11/10; ; ; ; 19/10; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; 5/6; ; 
Man Utd; ; 9/4; ; 11/5; ; ; ; 13/10; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; ; 12/5; ; 23/10; ; ; ; 23/10; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; 4/9; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-20 04:22:51 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; ; 11/10; ; ; 11/10; 19/10; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; 5/2; 23/10; 47/20; 12/5; 5/2; 5/2; 12/5; 23/10; 5/2; 12/5; 9/4; 11/5; 49/20; 5/2; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 51/20; 27/11; 5/2; 5/2; ; 5/2; 9/4; 5/2
Man Utd; 3; 14/5; 10/3; 3; 3; 3; 31/10; 5/2; 3; 16/5; 16/5; 10/3; 16/5; 3; 3; 31/10; 58/19; 3; 3; 58/19; 10/3; 13/4; 33/10; 16/5; ; 3; 14/5; 10/3
META; english/fa-cup/chelsea-v-man-utd; 2017-03-07 12:24:04 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 10/11; 19/20; 9/10; 19/20; 19/20; 19/20; 9/10; 1; 10/11; 17/20; 20/23; 20/23; 17/20; 17/20; 19/20; 19/20; 5/6; 9/10; 5/6; 5/6; 24/25; 9/10; 8/9; 10/11; ; 10/11; 5/6; 10/11
Draw; 5/2; 12/5; 47/20; 12/5; 5/2; 5/2; 12/5; 23/10; 5/2; 12/5; 9/4; 23/10; 49/20; 5/2; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 51/20; 27/11; 5/2; 5/2; ; 5/2; 23/10; 5/2
Man Utd; 3; 3; 10/3; 3; 3; 3; 16/5; 5/2; 3; 16/5; 16/5; 10/3; 10/3; 3; 3; 31/10; 41/13; 3; 10/3; 41/13; 10/3; 13/4; 17/5; 16/5; ; 3; 14/5; 10/3
META; english/fa-cup/chelsea-v-man-utd; 2017-03-07 16:24:00 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 10/11; 17/20; 10/11; 19/20; 19/20; 19/20; 9/10; 1; 10/11; 17/20; 10/11; 20/23; 17/20; 10/11; 19/20; 19/20; 5/6; 11/13; 5/6; 5/6; 23/25; 9/10; 8/9; 10/11; ; 10/11; 5/6; 10/11
Draw; 5/2; 12/5; 23/10; 12/5; 5/2; 5/2; 12/5; 23/10; 5/2; 12/5; 13/5; 23/10; 49/20; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 12/5; 13/5; 27/11; 5/2; 5/2; ; 5/2; 23/10; 5/2
Man Utd; 3; 10/3; 16/5; 3; 3; 3; 16/5; 5/2; 3; 16/5; 16/5; 10/3; 10/3; 3; 3; 16/5; 41/13; 31/10; 10/3; 41/13; 7/2; 13/4; 17/5; 3; ; 3; 13/5; 10/3
META; english/fa-cup/chelsea-v-man-utd; 2017-03-07 20:25:33 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 17/20; 17/20; 17/20; 17/20; 17/20; 17/20; 17/20; 5/6; 9/10; 5/6; 17/20; 5/6; ; 5/6; 10/11; 11/13; 4/5; 11/13; 4/5; 4/5; 89/100; 9/11; 9/11; 17/20; ; 5/6; 4/5; 5/6
Draw; 5/2; 12/5; 47/20; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 12/5; 13/5; 23/10; ; 5/2; 12/5; 13/5; 27/11; 5/2; 13/5; 27/11; 64/25; 5/2; 13/5; 5/2; ; 13/5; 23/10; 5/2
Man Utd; 16/5; 10/3; 17/5; 10/3; 7/2; 10/3; 10/3; 3; 10/3; 7/2; 7/2; 7/2; ; 16/5; 10/3; 7/2; 17/5; 31/10; 7/2; 17/5; 15/4; 18/5; 37/10; 10/3; ; 10/3; 3; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-08 00:22:29 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 4/5; 17/20; 17/20; 17/20; 5/6; 17/20; 5/6; 5/6; 9/10; 5/6; 5/6; 5/6; 5/6; 5/6; 10/11; 11/13; 4/5; 11/13; 4/5; 4/5; 89/100; 9/11; 9/11; 17/20; ; 5/6; 5/6; 5/6
Draw; 13/5; 12/5; 47/20; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 12/5; 27/10; 23/10; 12/5; 5/2; 12/5; 13/5; 5/2; 5/2; 13/5; 5/2; 64/25; 5/2; 13/5; 13/5; ; 5/2; 23/10; 5/2
Man Utd; 10/3; 10/3; 17/5; 10/3; 7/2; 10/3; 17/5; 3; 10/3; 7/2; 7/2; 7/2; 7/2; 16/5; 10/3; 7/2; 7/2; 31/10; 7/2; 7/2; 15/4; 18/5; 37/10; 10/3; ; 10/3; 3; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-08 04:22:09 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 4/5; 17/20; 17/20; 17/20; 5/6; 17/20; 5/6; 5/6; 9/10; 5/6; 5/6; 5/6; 5/6; 5/6; 10/11; 11/13; 4/5; 11/13; 4/5; 4/5; 89/100; 9/11; 9/11; 17/20; ; 5/6; 5/6; 5/6
Draw; 13/5; 12/5; 47/20; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 12/5; 27/10; 23/10; 12/5; 5/2; 12/5; 13/5; 27/11; 5/2; 13/5; 27/11; 64/25; 28/11; 13/5; 13/5; ; 5/2; 23/10; 5/2
Man Utd; 10/3; 10/3; 17/5; 10/3; 7/2; 10/3; 17/5; 3; 10/3; 7/2; 7/2; 7/2; 7/2; 16/5; 10/3; 7/2; 7/2; 31/10; 7/2; 7/2; 15/4; 7/2; 37/10; 10/3; ; 10/3; 3; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-08 08:22:13 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 4/5; 17/20; 17/20; 17/20; 5/6; 17/20; 5/6; 5/6; 9/10; 5/6; 5/6; 5/6; 5/6; 5/6; 10/11; 11/13; 4/5; 11/13; 4/5; 13/15; 89/100; 11/13; 9/11; 17/20; ; 5/6; 4/5; 5/6
Draw; 13/5; 12/5; 47/20; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 12/5; 27/10; 23/10; 12/5; 5/2; 12/5; 13/5; 27/11; 5/2; 13/5; 5/2; 64/25; 13/5; 13/5; 13/5; ; 5/2; 12/5; 5/2
Man Utd; 10/3; 10/3; 17/5; 10/3; 7/2; 10/3; 17/5; 3; 10/3; 7/2; 7/2; 7/2; 7/2; 16/5; 10/3; 7/2; 7/2; 31/10; 7/2; 41/13; 15/4; 39/11; 37/10; 10/3; ; 7/2; 3; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-08 12:24:28 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 4/5; 17/20; 5/6; 17/20; 5/6; 17/20; 5/6; 5/6; 5/6; 5/6; 5/6; 4/5; 4/5; 4/5; 10/11; 11/13; 4/5; 11/13; 4/5; 4/5; 87/100; 9/11; 9/11; 5/6; ; 5/6; 4/5; 
Draw; 13/5; 12/5; 47/20; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 12/5; 27/10; 5/2; 12/5; 5/2; 12/5; 13/5; 5/2; 5/2; 13/5; 5/2; 131/50; 13/5; 13/5; 13/5; ; 13/5; 5/2; 
Man Utd; 10/3; 10/3; 18/5; 10/3; 7/2; 10/3; 17/5; 3; 7/2; 7/2; 7/2; 7/2; 15/4; 10/3; 10/3; 7/2; 7/2; 31/10; 7/2; 7/2; 19/5; 37/10; 37/10; 10/3; ; 7/2; 10/3; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-08 16:17:52 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 4/5; 4/5; 5/6; 17/20; 5/6; 17/20; 5/6; 5/6; 5/6; 5/6; 5/6; 4/5; 4/5; 4/5; 17/20; 11/13; 4/5; 11/13; 4/5; 4/5; 87/100; 9/11; 9/11; 5/6; ; 5/6; 4/5; 
Draw; 13/5; 5/2; 47/20; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 12/5; 27/10; 5/2; 12/5; 5/2; 13/5; 13/5; 5/2; 5/2; 13/5; 5/2; 131/50; 13/5; 13/5; 13/5; ; 13/5; 5/2; 
Man Utd; 10/3; 18/5; 18/5; 10/3; 7/2; 10/3; 7/2; 3; 7/2; 7/2; 7/2; 7/2; 15/4; 10/3; 10/3; 7/2; 7/2; 31/10; 7/2; 7/2; 19/5; 37/10; 37/10; 10/3; ; 7/2; 10/3; 
META; english/fa-cup/chelsea-v-man-utd; 2017-03-08 20:21:48 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 4/5; 4/5; 5/6; 17/20; 5/6; 17/20; 5/6; 5/6; 5/6; 5/6; 5/6; 4/5; 4/5; 4/5; 17/20; 11/13; 4/5; 11/13; 4/5; 4/5; 87/100; 9/11; ; 5/6; ; 4/5; 4/5; 5/6
Draw; 13/5; 5/2; 47/20; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 12/5; 13/5; 5/2; 12/5; 5/2; 13/5; 13/5; 5/2; 5/2; 13/5; 5/2; 131/50; 13/5; ; 13/5; ; 13/5; 5/2; 13/5
Man Utd; 10/3; 18/5; 18/5; 10/3; 7/2; 10/3; 7/2; 3; 7/2; 7/2; 15/4; 7/2; 15/4; 10/3; 10/3; 7/2; 7/2; 31/10; 7/2; 7/2; 19/5; 37/10; ; 10/3; ; 7/2; 10/3; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-09 00:22:20 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 4/5; 4/5; 5/6; 17/20; 5/6; 17/20; 5/6; 5/6; 5/6; 4/5; 5/6; 4/5; 4/5; 4/5; 17/20; 11/13; 4/5; 11/13; 4/5; 4/5; 87/100; 9/11; ; 5/6; ; 5/6; 4/5; 5/6
Draw; 13/5; 5/2; 47/20; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 12/5; 27/10; 5/2; 12/5; 5/2; 13/5; 13/5; 5/2; 5/2; 13/5; 5/2; 131/50; 13/5; ; 13/5; ; 13/5; 5/2; 13/5
Man Utd; 10/3; 18/5; 18/5; 10/3; 7/2; 10/3; 7/2; 3; 7/2; 7/2; 7/2; 7/2; 15/4; 10/3; 10/3; 7/2; 7/2; 31/10; 7/2; 7/2; 19/5; 37/10; ; 7/2; ; 7/2; 10/3; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-09 04:21:59 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 4/5; 4/5; 5/6; 17/20; 5/6; 17/20; 5/6; 5/6; 5/6; 4/5; 5/6; 4/5; 4/5; 4/5; 17/20; 11/13; 4/5; 11/13; 4/5; 4/5; 87/100; 9/11; ; 5/6; ; 5/6; 4/5; 5/6
Draw; 13/5; 5/2; 47/20; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 12/5; 27/10; 5/2; 12/5; 5/2; 13/5; 13/5; 5/2; 5/2; 13/5; 5/2; 131/50; 13/5; ; 13/5; ; 13/5; 12/5; 13/5
Man Utd; 10/3; 18/5; 18/5; 10/3; 7/2; 10/3; 7/2; 3; 7/2; 7/2; 7/2; 7/2; 15/4; 10/3; 10/3; 7/2; 7/2; 31/10; 7/2; 7/2; 19/5; 37/10; ; 7/2; ; 7/2; 10/3; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-09 08:22:11 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 4/5; 4/5; 5/6; 17/20; 5/6; 17/20; 5/6; 5/6; 5/6; 4/5; 5/6; 4/5; 4/5; 4/5; 17/20; 11/13; 4/5; 11/13; 4/5; 4/5; 87/100; 9/11; ; 5/6; ; 5/6; 4/5; 5/6
Draw; 13/5; 5/2; 47/20; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 12/5; 27/10; 5/2; 12/5; 5/2; 13/5; 13/5; 5/2; 5/2; 13/5; 5/2; 131/50; 13/5; ; 13/5; ; 13/5; 12/5; 13/5
Man Utd; 10/3; 18/5; 18/5; 10/3; 7/2; 10/3; 7/2; 3; 7/2; 7/2; 7/2; 7/2; 15/4; 10/3; 10/3; 7/2; 7/2; 31/10; 7/2; 7/2; 19/5; 37/10; ; 7/2; ; 7/2; 10/3; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-09 12:21:53 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 4/5; 4/5; 17/20; 17/20; 5/6; 17/20; 4/5; 5/6; 5/6; 4/5; 5/6; 4/5; 4/5; 4/5; 17/20; 11/13; 4/5; 11/13; 4/5; 4/5; 87/100; 9/11; ; 5/6; ; 5/6; 5/6; 5/6
Draw; 13/5; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 12/5; 27/10; 5/2; 12/5; 5/2; 13/5; 13/5; 5/2; 5/2; 13/5; 5/2; 131/50; 13/5; ; 13/5; ; 13/5; 5/2; 13/5
Man Utd; 18/5; 18/5; 19/5; 10/3; 18/5; 10/3; 7/2; 3; 7/2; 7/2; 7/2; 7/2; 15/4; 10/3; 10/3; 7/2; 7/2; 31/10; 7/2; 7/2; 19/5; 37/10; ; 7/2; ; 7/2; 10/3; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-09 16:21:52 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 4/5; 4/5; 17/20; 17/20; 5/6; 17/20; 5/6; 5/6; 5/6; 4/5; 5/6; 5/6; 4/5; 4/5; 17/20; 11/13; 4/5; 11/13; 4/5; 4/5; 87/100; 9/11; ; 5/6; ; 5/6; 5/6; 5/6
Draw; 13/5; 5/2; 5/2; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 12/5; 27/10; 13/5; 12/5; 5/2; 13/5; 13/5; 5/2; 5/2; 13/5; 5/2; 131/50; 13/5; ; 13/5; ; 13/5; 5/2; 13/5
Man Utd; 18/5; 18/5; 19/5; 10/3; 18/5; 10/3; 7/2; 3; 7/2; 7/2; 7/2; 15/4; 15/4; 10/3; 10/3; 7/2; 7/2; 31/10; 7/2; 7/2; 19/5; 37/10; ; 7/2; ; 7/2; 7/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-09 20:21:41 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 4/5; 4/5; 9/10; 17/20; 5/6; 17/20; 5/6; 5/6; 5/6; 5/6; 5/6; 20/23; 17/20; 5/6; 17/20; 5/6; 4/5; 11/13; 5/6; 4/5; 87/100; ; 11/13; 17/20; ; 5/6; 5/6; 5/6
Draw; 13/5; 5/2; 49/20; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 12/5; 27/10; 5/2; 12/5; 5/2; 13/5; 13/5; 27/11; 5/2; 5/2; 27/11; 131/50; ; 5/2; 5/2; ; 13/5; 5/2; 5/2
Man Utd; 18/5; 18/5; 37/10; 10/3; 18/5; 10/3; 7/2; 17/5; 7/2; 7/2; 7/2; 15/4; 15/4; 16/5; 10/3; 7/2; 7/2; 31/10; 7/2; 7/2; 19/5; ; ; 7/2; ; 7/2; 7/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-10 00:22:42 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 4/5; 4/5; 9/10; 17/20; 5/6; 17/20; 5/6; 5/6; 5/6; 5/6; 5/6; 20/23; 17/20; 5/6; 17/20; 5/6; 5/6; 11/13; 5/6; 5/6; 87/100; 9/11; 11/13; 17/20; ; 5/6; 5/6; 5/6
Draw; 13/5; 5/2; 49/20; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 12/5; 27/10; 12/5; 12/5; 5/2; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 131/50; 13/5; 5/2; 5/2; ; 13/5; 5/2; 5/2
Man Utd; 18/5; 18/5; 37/10; 10/3; 18/5; 10/3; 7/2; 17/5; 7/2; 7/2; 7/2; 15/4; 15/4; 16/5; 10/3; 7/2; 39/11; 31/10; 7/2; 39/11; 19/5; 37/10; ; 7/2; ; 7/2; 10/3; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-10 04:21:40 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 17/20; 4/5; 17/20; 17/20; 5/6; 17/20; 5/6; 5/6; 5/6; 4/5; 5/6; 20/23; 17/20; 17/20; 17/20; 11/13; 5/6; 11/13; 5/6; 5/6; 87/100; 9/11; 11/13; 5/6; ; 5/6; 5/6; 5/6
Draw; 11/4; 5/2; 5/2; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 12/5; 27/10; 12/5; 12/5; 14/5; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 131/50; 13/5; 5/2; 13/5; ; 13/5; 5/2; 5/2
Man Utd; 7/2; 18/5; 4; 10/3; 7/2; 10/3; 7/2; 17/5; 7/2; 7/2; 7/2; 15/4; 15/4; 18/5; 10/3; 7/2; 39/11; 31/10; 7/2; 39/11; 19/5; 62/17; ; 7/2; ; 7/2; 10/3; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-10 08:21:38 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 17/20; 4/5; 17/20; 17/20; 5/6; 17/20; 5/6; 5/6; ; 4/5; 5/6; 20/23; 17/20; 17/20; 17/20; 11/13; 5/6; 11/13; 5/6; 5/6; 87/100; 9/11; 11/13; 5/6; ; 5/6; 5/6; 5/6
Draw; 11/4; 5/2; 5/2; 5/2; 5/2; 13/5; 12/5; 5/2; ; 12/5; 27/10; 12/5; 12/5; 14/5; 13/5; 13/5; 5/2; 13/5; 5/2; 5/2; 131/50; 13/5; 5/2; 13/5; ; 13/5; 5/2; 5/2
Man Utd; 7/2; 18/5; 4; 10/3; 7/2; 10/3; 7/2; 17/5; ; 7/2; 7/2; 15/4; 15/4; 18/5; 10/3; 7/2; 39/11; 10/3; 7/2; 39/11; 19/5; 62/17; ; 7/2; ; 7/2; 10/3; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-10 12:21:44 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 17/20; 5/6; 17/20; 17/20; 5/6; 17/20; 5/6; 5/6; 5/6; 5/6; 5/6; 20/23; 17/20; 5/6; 17/20; 11/13; 5/6; 11/13; 5/6; 5/6; 87/100; 9/11; 11/13; 5/6; ; 5/6; 5/6; 5/6
Draw; 11/4; 12/5; 5/2; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 12/5; 27/10; 12/5; 12/5; 27/10; 13/5; 13/5; 5/2; 13/5; 5/2; 5/2; 131/50; 13/5; 5/2; 13/5; ; 13/5; 13/5; 5/2
Man Utd; 7/2; 18/5; 4; 10/3; 7/2; 10/3; 7/2; 17/5; 7/2; 7/2; 7/2; 15/4; 15/4; 7/2; 10/3; 7/2; 18/5; 10/3; 7/2; 18/5; 19/5; 62/17; ; 7/2; ; 7/2; 10/3; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-10 16:21:28 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 10/11; 5/6; 10/11; 17/20; 19/20; 17/20; 5/6; 5/6; 5/6; 17/20; 5/6; 10/11; 17/20; 17/20; 7/8; 11/13; 5/6; 11/13; 5/6; 5/6; 87/100; 13/14; 11/13; 10/11; ; 5/6; 5/6; 20/21
Draw; 13/5; 12/5; 12/5; 13/5; 12/5; 13/5; 5/2; 5/2; 5/2; 23/10; 13/5; 23/10; 12/5; 27/10; 13/5; 13/5; 27/11; 13/5; 5/2; 5/2; 131/50; 27/11; 5/2; 12/5; ; 5/2; 13/5; 12/5
Man Utd; 7/2; 18/5; 37/10; 7/2; 16/5; 10/3; 17/5; 18/5; 7/2; 7/2; 7/2; 15/4; 15/4; 17/5; 7/2; 7/2; 39/11; 10/3; 7/2; 7/2; 19/5; 33/10; ; 10/3; ; 10/3; 10/3; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-10 20:21:42 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 10/11; 10/11; 19/20; 17/20; 9/10; 17/20; 9/10; 5/6; 9/10; 17/20; 17/20; 20/21; 9/10; 10/11; 7/8; 10/11; 13/15; 11/13; 5/6; 13/15; 87/100; 7/8; 11/13; 10/11; ; 5/6; 10/11; 10/11
Draw; 13/5; 23/10; 47/20; 13/5; 12/5; 13/5; 23/10; 5/2; 12/5; 23/10; 12/5; 12/5; 49/20; 5/2; 13/5; 5/2; 12/5; 13/5; 5/2; 12/5; 131/50; 27/11; 5/2; 5/2; ; 12/5; 5/2; 5/2
Man Utd; 7/2; 10/3; 7/2; 7/2; 10/3; 10/3; 33/10; 18/5; 10/3; 10/3; 15/4; 10/3; 7/2; 10/3; 7/2; 7/2; 38/11; 10/3; 7/2; 38/11; 19/5; 62/17; ; 10/3; ; 10/3; 10/3; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-11 00:24:39 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 10/11; 10/11; 19/20; 17/20; 10/11; 17/20; 9/10; 5/6; 9/10; 17/20; 17/20; 20/21; 9/10; 10/11; 7/8; 10/11; 13/15; 11/13; 5/6; 13/15; 23/25; 13/14; 11/13; 10/11; ; 5/6; 9/10; 10/11
Draw; 13/5; 23/10; 47/20; 13/5; 12/5; 13/5; 23/10; 5/2; 12/5; 23/10; 12/5; 12/5; 49/20; 5/2; 13/5; 5/2; 12/5; 13/5; 5/2; 12/5; 5/2; 27/11; 5/2; 5/2; ; 12/5; 5/2; 5/2
Man Utd; 7/2; 10/3; 7/2; 7/2; 7/2; 10/3; 33/10; 18/5; 10/3; 10/3; 15/4; 10/3; 7/2; 10/3; 7/2; 7/2; 38/11; 10/3; 7/2; 38/11; 73/20; 33/10; ; 10/3; ; 7/2; 7/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-11 04:22:00 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 10/11; 10/11; 19/20; 17/20; ; 17/20; 20/23; 5/6; 9/10; 17/20; 17/20; 10/11; 9/10; 10/11; 7/8; 10/11; 13/15; 11/13; 5/6; 13/15; 23/25; 10/11; 11/13; 10/11; ; 5/6; 9/10; 10/11
Draw; 13/5; 23/10; 47/20; 13/5; ; 13/5; 12/5; 5/2; 12/5; 23/10; 12/5; 12/5; 49/20; 5/2; 13/5; 5/2; 12/5; 13/5; 5/2; 12/5; 5/2; 27/11; 5/2; 5/2; ; 12/5; 12/5; 5/2
Man Utd; 7/2; 10/3; 18/5; 7/2; ; 10/3; 17/5; 18/5; 10/3; 10/3; 15/4; 7/2; 7/2; 17/5; 7/2; 7/2; 38/11; 10/3; 7/2; 38/11; 73/20; 17/5; ; 10/3; ; 7/2; 7/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-11 08:24:51 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 10/11; 10/11; 10/11; 17/20; 10/11; 17/20; 9/10; 5/6; 9/10; 17/20; 17/20; 10/11; 9/10; 10/11; 7/8; 10/11; 13/15; 11/13; 5/6; 13/15; 23/25; 10/11; 11/13; 10/11; ; 5/6; 9/10; 10/11
Draw; 13/5; 23/10; 12/5; 13/5; 12/5; 13/5; 23/10; 5/2; 12/5; 23/10; 12/5; 5/2; 49/20; 5/2; 13/5; 5/2; 12/5; 13/5; 5/2; 12/5; 5/2; 27/11; 5/2; 5/2; ; 12/5; 12/5; 12/5
Man Utd; 7/2; 10/3; 7/2; 7/2; 7/2; 10/3; 33/10; 18/5; 10/3; 10/3; 15/4; 10/3; 7/2; 17/5; 7/2; 7/2; 38/11; 10/3; 7/2; 38/11; 73/20; 17/5; ; 10/3; ; 7/2; 7/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-11 12:22:54 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 10/11; 10/11; 10/11; 10/11; 10/11; 17/20; 9/10; 5/6; 9/10; 17/20; 17/20; 10/11; 9/10; 10/11; 10/11; 10/11; 13/15; 11/13; 5/6; 13/15; 10/11; 10/11; 8/9; 10/11; ; 5/6; 9/10; 10/11
Draw; 13/5; 12/5; 12/5; 12/5; 12/5; 13/5; 23/10; 5/2; 12/5; 23/10; 12/5; 5/2; 49/20; 13/5; 5/2; 5/2; 12/5; 13/5; 12/5; 12/5; 5/2; 27/11; 27/11; 5/2; ; 12/5; 12/5; 12/5
Man Utd; 7/2; 7/2; 18/5; 7/2; 7/2; 10/3; 33/10; 18/5; 10/3; 10/3; 15/4; 10/3; 7/2; 7/2; 7/2; 4; 38/11; 10/3; 7/2; 38/11; 73/20; 17/5; 7/2; 10/3; ; 7/2; 7/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-11 16:21:47 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 10/11; 10/11; 10/11; 10/11; 9/10; 17/20; 5/6; 5/6; 9/10; 17/20; 17/20; 10/11; 9/10; 10/11; 10/11; 10/11; 13/15; 11/13; 5/6; 13/15; 10/11; 10/11; 8/9; 10/11; ; 9/10; 10/11; 10/11
Draw; 13/5; 12/5; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 23/10; 12/5; 23/10; 49/20; 13/5; 5/2; 5/2; 12/5; 13/5; 12/5; 12/5; 5/2; 27/11; 27/11; 5/2; ; 12/5; 12/5; 5/2
Man Utd; 7/2; 7/2; 37/10; 7/2; 18/5; 7/2; 7/2; 18/5; 10/3; 7/2; 15/4; 15/4; 7/2; 7/2; 7/2; 7/2; 38/11; 10/3; 7/2; 38/11; 73/20; 17/5; 7/2; 10/3; ; 7/2; 7/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-11 20:24:48 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 10/11; 10/11; 10/11; 17/20; 9/10; 17/20; 5/6; 5/6; 9/10; 17/20; 17/20; 10/11; 9/10; 10/11; 10/11; 10/11; 13/15; 13/15; 5/6; 13/15; 10/11; 10/11; 8/9; 10/11; ; 5/6; 9/10; 10/11
Draw; 13/5; 12/5; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 23/10; 12/5; 12/5; 49/20; 13/5; 5/2; 13/5; 12/5; 12/5; 12/5; 12/5; 5/2; 27/11; 27/11; 5/2; ; 12/5; 12/5; 12/5
Man Utd; 7/2; 7/2; 37/10; 7/2; 18/5; 7/2; 7/2; 18/5; 7/2; 10/3; 15/4; 7/2; 7/2; 18/5; 7/2; 31/10; 38/11; 7/2; 7/2; 38/11; 73/20; 17/5; 7/2; 10/3; ; 7/2; 7/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-12 00:23:35 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 10/11; 17/20; 9/10; 17/20; 9/10; 17/20; 5/6; 5/6; 9/10; 17/20; 17/20; 10/11; 9/10; 10/11; 10/11; 10/11; 13/15; 13/15; 5/6; 13/15; 10/11; 10/11; 8/9; 10/11; ; 5/6; 9/10; 10/11
