Barrow; 19/10; 7/4; 7/4; 9/5; 9/5; 33/20; 9/5; 7/4; 9/5; 9/5; 15/8; 17/10; 7/4; 15/8; 9/5; 9/5; 24/13; 28/17; 17/10; 24/13; 89/50; 33/19; 17/10; ; 17/10; ; 9/5; 7/4; 
Draw; 5/2; 12/5; 12/5; 5/2; 23/10; 9/4; 5/2; 23/10; 12/5; 5/2; 5/2; 23/10; 12/5; 11/5; 13/5; 5/2; 27/11; 23/10; 12/5; 27/11; 13/5; 28/11; 12/5; ; 12/5; ; 5/2; 9/4; 
META; english/non-league/national-league/braintree-town-v-barrow; 2017-04-22 14:21:15 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Braintree Town; 6/5; 11/8; 5/4; 6/5; 5/4; 6/5; 13/10; 5/4; 6/5; 5/4; 13/10; 6/5; 6/5; 11/8; 5/4; 5/4; 6/5; 6/5; 23/20; 6/5; 79/50; 9/7; 13/11; ; 13/11; ; 13/10; 5/4; 
Barrow; 2; 7/4; 19/10; 21/10; 2; 37/20; 19/10; 15/8; 2; 2; 2; 9/5; 21/10; ; 2; 2; 2; 19/10; 2; 2; 89/50; 39/19; 2; ; 2; ; 2; 15/8; 
Draw; 13/5; 12/5; 12/5; 5/2; 23/10; 11/5; 13/5; 23/10; 5/2; 5/2; 5/2; 23/10; 12/5; ; 12/5; 5/2; 12/5; 9/4; 12/5; 12/5; 13/5; 23/10; 12/5; ; 12/5; ; 12/5; 2; 
META; english/non-league/national-league/braintree-town-v-barrow; 2017-04-22 18:21:08 GMT+3; 2017-04-22 15:00; In Play; Xlenovo
Draw; 11/10; 1; ; 8/5; ; ; 23/20; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barrow; 11/5; 2; ; 15/8; ; ; 2; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Braintree Town; 13/5; 11/4; ; 7/4; ; ; 5/2; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
