META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-14 00:18:50 GMT+2; 2017-04-05 11:00; e70300-dr003
Spal; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/11; ; 5/11; ; ; ; 
Verona; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/2; ; 1/2; ; ; ; 
Bari; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20; ; 20; ; ; ; 
Benevento; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20; ; 20; ; ; ; 
Perugia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20; ; 20; ; ; ; 
Cittadella; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 33; ; 33; ; ; ; 
Novara; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 40; ; 40; ; ; ; 
Spezia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 40; ; 40; ; ; ; 
Virtus Entella; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 66; ; 66; ; ; ; 
Carpi; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 150; ; 150; ; ; ; 
Salernitana; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; 
Ascoli; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 400; ; 400; ; ; ; 
Avellino; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 500; ; 500; ; ; ; 
Cesena; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 500; ; 500; ; ; ; 
Pro Vercelli; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 600; ; 600; ; ; ; 
Vicenza; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 600; ; 600; ; ; ; 
Brescia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; 1000; ; ; ; 
Latina; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; 1000; ; ; ; 
Trapani; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; 1000; ; ; ; 
Pisa; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2000; ; 2000; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-31 08:32:45 GMT+3; 2017-04-01 17:30; e70300-dr003
Southampton; 13/20; 8/13; 13/20; 8/13; 8/13; 13/20; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 4/7; 11/17; 13/20; 8/13; 8/13; 4/6; 11/17; ; ; 4/7; 4/6
Draw; 3; 3; 31/10; 16/5; 3; 3; 16/5; 14/5; 3; 14/5; 3; 14/5; 59/20; 16/5; 14/5; 3; 3; 11/4; 14/5; 3; 63/20; 56/19; 56/19; 3; 3; ; ; 3; 3
Bournemouth; 5; 17/4; 9/2; 9/2; 9/2; 9/2; 5; 9/2; 9/2; 17/4; 9/2; 9/2; 9/2; 24/5; 19/4; 9/2; 50/11; 17/4; 24/5; 50/11; 24/5; 24/5; 24/5; 9/2; 5; ; ; 23/5; 24/5
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-31 12:18:28 GMT+3; 2017-04-05 19:30; e70300-dr003
Deportivo La Coruna; 13/20; ; 8/11; 4/6; ; 8/11; 7/10; ; 4/6; 4/6; 7/10; 7/10; 4/6; 7/10; 7/10; 4/6; 8/13; 4/6; 8/13; 8/13; 18/25; 13/18; 19/29; ; 4/6; ; 8/13; ; 
Draw; 14/5; ; 11/4; 11/4; ; 3; 14/5; ; 14/5; 11/4; 13/5; 13/5; 14/5; 14/5; 14/5; 14/5; 11/4; 13/5; 11/4; 11/4; 73/25; 14/5; 11/4; ; 11/4; ; 5/2; ; 
Granada; 4; ; 4; 4; ; 19/5; 4; ; 19/5; 4; 18/5; 4; 4; 15/4; 4; 4; 41/10; 17/4; 9/2; 41/10; 23/5; 13/4; 9/2; ; 9/2; ; 7/2; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-31 20:19:17 GMT+3; ; e70300-dr003
Angela Merkel; ; 8/11; ; ; ; ; ; 8/11; 8/11; ; ; ; ; ; ; ; ; 7/10; ; ; ; ; ; ; ; ; 8/11; ; 
Any other not listed; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 
Martin Schulz; ; 6/4; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; 
Frauke Petry; ; 8; ; ; ; ; ; 9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 62/5; ; 
Christian Lindner; ; 50; ; ; ; ; ; 50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47; ; 
Sigmar Gabriel; ; 66; ; ; ; ; ; 66; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 75; ; 
Frank-Walter Steinmeier; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-04-01 04:17:44 GMT+3; 2017-04-02 17:00; e70300-dr003
Tromso; 29/20; 29/20; 6/4; ; 6/4; ; 31/20; 7/5; 7/5; 6/4; 29/20; 29/20; ; ; 8/5; ; 6/4; ; 7/5; 6/4; 8/5; 26/19; 10/7; 6/4; 10/7; ; 1/50; 7/5; 13/8
SK Brann; 19/10; 9/5; 39/20; ; 15/8; ; 2; 9/5; 9/5; 2; 9/5; 15/8; ; ; 19/10; ; 24/13; ; 9/5; 24/13; 37/20; 17/10; 9/5; 15/8; 9/5; ; 1/50; 9/5; 2
Draw; 11/5; 21/10; 2; ; 21/10; ; 85/40; 21/10; 2; 2; 19/10; 2; ; ; 2; ; 39/19; ; 12/5; 39/19; 49/20; 11/5; 12/5; 2; 12/5; ; 1/50; 2; 21/10
META; spain/la-liga-primera/alaves-v-osasuna; 2017-04-01 12:21:36 GMT+3; 2017-04-05 19:30; e70300-dr003
Alaves; 2/5; 2/5; 40/85; 2/5; 4/9; 4/9; 2/5; ; 4/9; 4/9; 4/9; 4/9; 21/50; 4/9; 9/20; 4/9; 3/7; 4/9; 4/9; 3/7; 23/50; 3/7; 5/11; 4/9; 5/11; ; 2/5; ; 
Draw; 7/2; 7/2; 10/3; 17/5; 18/5; 37/10; 18/5; ; 7/2; 10/3; 16/5; 16/5; 7/2; 17/5; 10/3; 7/2; 57/17; 7/2; 10/3; 57/17; 73/20; 7/2; 10/3; 10/3; 10/3; ; 3; ; 
Osasuna; 13/2; 13/2; 13/2; 15/2; 7; 13/2; 7; ; 6; 13/2; 6; 13/2; 13/2; 13/2; 13/2; 7; 25/4; 11/2; 13/2; 25/4; 77/10; 53/10; 13/2; 6; 13/2; ; 34/5; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-04-01 12:34:08 GMT+3; 2017-04-05 19:30; e70300-dr003
Alaves; 2/5; 2/5; 40/85; 2/5; 4/9; 4/9; 2/5; ; 4/9; 4/9; 4/9; 4/9; 21/50; 4/9; 9/20; 4/9; 3/7; 4/9; 4/9; 3/7; 23/50; 3/7; 5/11; 4/9; 5/11; ; 2/5; ; 
Draw; 7/2; 7/2; 10/3; 17/5; 18/5; 37/10; 18/5; ; 7/2; 10/3; 16/5; 16/5; 7/2; 17/5; 10/3; 7/2; 57/17; 7/2; 10/3; 57/17; 73/20; 7/2; 10/3; 10/3; 10/3; ; 3; ; 
Osasuna; 13/2; 13/2; 13/2; 15/2; 7; 13/2; 7; ; 6; 13/2; 6; 13/2; 13/2; 13/2; 13/2; 7; 25/4; 11/2; 13/2; 25/4; 77/10; 53/10; 13/2; 6; 13/2; ; 34/5; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-04-02 00:17:06 GMT+3; 2017-04-01 15:00; e70300-dr003
Southend; 4/5; 3/4; 3/4; 5/6; 4/5; 8/11; 4/5; 8/11; 4/5; 3/4; 4/5; 4/5; 10/13; 4/5; 3/4; 4/5; 14/19; 4/5; 8/11; 14/19; 5/6; 7/9; 7/9; 3/4; 7/9; ; 8/11; 8/11; 8/11
Draw ; 27/10; 13/5; 49/20; 5/2; 13/5; 12/5; 27/10; 13/5; 13/5; 12/5; 23/10; 12/5; 5/2; 27/10; 12/5; 13/5; 5/2; 5/2; 12/5; 5/2; 137/50; 5/2; 27/11; 13/5; 27/11; ; 5/2; 5/2; 13/5
Oldham; 4; 19/5; 4; 10/3; 19/5; 7/2; 19/5; 7/2; 19/5; 4; 10/3; 15/4; 4; 4; 15/4; 7/2; 39/10; 10/3; 7/2; 39/10; 37/10; 7/2; 37/10; 4; 37/10; ; 4; 7/2; 21/5
META; spain/la-liga-primera/alaves-v-osasuna; 2017-04-02 04:18:52 GMT+3; 2017-04-05 19:30; e70300-dr003
Alaves; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/9; 4/9; 2/5; 43/100; 3/8; 5/11; 2/5; 5/11; ; 2/5; ; 
Draw; 15/4; 7/2; 7/2; 17/5; 19/5; 19/5; 19/5; 16/5; 7/2; 7/2; 10/3; 10/3; 7/2; 18/5; 10/3; 7/2; 18/5; 7/2; 10/3; 18/5; 15/4; 18/5; 10/3; 7/2; 10/3; ; 10/3; ; 
Osasuna; 7; 13/2; 15/2; 15/2; 8; 7; 8; 11/2; 7; 7; 7; 8; 15/2; 15/2; 15/2; 15/2; 29/4; 11/2; 13/2; 29/4; 83/10; 63/10; 13/2; 13/2; 13/2; ; 36/5; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-04-02 20:17:40 GMT+3; ; e70300-dr003
Man City; 1/1000; 1/500; ; ; 1/500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Tottenham; 1/1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Liverpool; 1/100; 1/100; ; 1/100; 1/100; ; ; 1/100; ; 1/250; ; ; 1/100; 1/100; 1/100; ; ; 1/100; 1/100; ; ; 1/100; 1/100; ; 1/100; ; 1/100; ; 
Man Utd; 1/25; 1/25; ; 1/50; 1/25; ; ; 1/50; ; 1/40; ; ; 1/33; 1/50; 1/25; ; ; 1/33; 1/25; ; 2/95; 1/33; 1/25; ; 1/25; ; 1/16; ; 
Arsenal; 1/14; 1/12; ; 1/20; 1/14; ; 1/12; 1/25; ; 1/20; ; ; 1/16; 1/16; 1/16; ; ; 1/14; 1/12; ; 3/40; 1/20; 1/12; ; 1/12; ; 2/15; ; 
Everton; 5; 9/2; ; 4; 9/2; ; 4; 6; ; 5; ; ; 9/2; 6; 9/2; ; ; 5; 5; ; 9/2; 9/2; 5; ; 5; ; 28/5; ; 
West Brom; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 500; ; ; ; ; ; 28; ; 
Sunderland; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 10/3; ; 
Swansea; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 10/3; ; 
West Ham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9; ; 
Stoke; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 28; ; 
Southampton; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 31; ; 
Bournemouth; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 37; ; 
Leicester; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47; ; 
Watford; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47; ; 
Middlesbrough; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 66; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 70; ; 
Hull; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 89; ; 
Crystal Palace; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 94; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-04-03 00:16:43 GMT+3; ; e70300-dr003
Andy Murray; 2; 7/4; 7/4; ; 6/4; ; 11/5; 15/8; 11/5; 2; 2; 7/4; ; 2; 7/4; 8/5; 17/10; 7/4; ; 17/10; 9/5; 7/4; ; ; ; ; 3; ; 
Novak Djokovic; 2; 9/4; 7/4; ; 13/8; ; 9/4; 9/4; 9/4; 5/2; 5/2; 9/4; ; 9/4; 7/4; 8/5; 17/10; 6/4; ; 17/10; 2; 19/10; ; ; ; ; 3; ; 
Roger Federer; 7/2; 7/2; 9/2; ; 5; ; 4; 9/2; ; 4; 7/2; 7/2; ; 5; 5; 4; 5; 6; ; 5; 39/10; 4; ; ; ; ; 7/2; ; 
Milos Raonic; 10; 12; 10; ; 10; ; 12; 12; 11; 10; 12; 10; ; 12; 10; 10; 11; 9; ; 11; 19/2; 10; ; ; ; ; 62/5; ; 
Grigor Dimitrov; 18; 20; 18; ; 16; ; 22; 18; 20; 20; 16; 18; ; 22; 20; 20; 20; 20; ; 20; 15; 20; ; ; ; ; 18; ; 
Nick Kyrgios; 22; 20; 22; ; 20; ; 20; 20; 20; 25; 14; 20; ; 22; 25; 22; 22; 18; ; 39/2; 17; 20; ; ; ; ; 71/5; ; 
Rafael Nadal; 20; 22; 16; ; 22; ; 20; 20; 22; 22; 16; 20; ; 22; 20; 20; 18; 25; ; 18; 33/2; 22; ; ; ; ; 23; ; 
Stan Wawrinka; 25; 25; 22; ; 28; ; 28; 25; 25; 25; 20; 25; ; 28; 25; 25; 22; 25; ; 22; 12; 25; ; ; ; ; 21; ; 
Juan Martin del Potro; 25; 25; 25; ; ; ; 28; 22; 28; 25; 20; 28; ; 28; 25; 25; 22; 22; ; 22; 22; 25; ; ; ; ; 23; ; 
Alexander Zverev; 40; 33; 40; ; 40; ; 33; 40; 33; 50; 33; 33; ; 50; 40; 50; 50; 33; ; 50; 40; 40; ; ; ; ; 37; ; 
Kei Nishikori; 40; 40; 40; ; 33; ; 50; 40; 40; 40; 40; 40; ; 50; 40; 40; 33; 25; ; 33; 35; 40; ; ; ; ; 47; ; 
Marin Cilic; 40; 40; 40; ; 25; ; 50; 40; 40; 33; 40; 40; ; 50; 40; 40; 40; 33; ; 40; 40; 40; ; ; ; ; 47; ; 
Dominic Thiem; 40; 66; 66; ; 28; ; 50; 50; 50; 33; 33; 50; ; 66; 40; 40; 50; 25; ; 50; 30; 40; ; ; ; ; 61; ; 
Jo-Wilfred Tsonga; 50; 66; 66; ; 40; ; 66; 50; 66; 50; 50; 66; ; 66; 50; 50; 50; 50; ; 50; 50; 50; ; ; ; ; 70; ; 
Tomas Berdych; 50; 80; 80; ; 66; ; 80; 80; 66; 66; 80; 66; ; 80; 66; 66; 60; 50; ; 60; 50; 66; ; ; ; ; 70; ; 
David Goffin; 80; 80; 80; ; 40; ; 80; 66; 66; 66; 100; 66; ; 100; 66; 80; 80; 80; ; 80; 66; 80; ; ; ; ; 94; ; 
Bernard Tomic; 100; 125; 100; ; 66; ; 80; 100; 125; 100; 50; 100; ; 125; 100; 100; 100; ; ; 100; ; 100; ; ; ; ; 20/21; ; 
Richard Gasquet; 100; 125; 100; ; 50; ; 100; 80; 100; 80; 80; 100; ; 100; 80; 80; 125; 100; ; 125; 100; 100; ; ; ; ; 70; ; 
Jack Sock; 100; 150; 100; ; 100; ; 100; ; 66; 100; 80; 90; ; 125; 100; 100; 100; ; ; 100; ; 100; ; ; ; ; 66; ; 
John Isner; 100; 150; 125; ; 40; ; 100; 150; 150; 150; 125; 150; ; 150; 150; 150; 100; 100; ; 100; 80; 100; ; ; ; ; 80; ; 
Gilles Simon; 150; ; ; ; 80; ; 150; 125; 150; 150; 150; 150; ; 150; 150; 150; 150; 150; ; 150; 150; 150; ; ; ; ; 94; ; 
Lucas Pouille; 150; 125; 150; ; 100; ; 150; ; 150; 100; 125; 150; ; 125; 150; 150; 125; ; ; 125; ; 150; ; ; ; ; 104; ; 
Gael Monfils; 125; 125; 125; ; 100; ; 100; 100; 125; 100; 150; 150; ; 100; 100; 125; 150; 125; ; 150; 125; 125; ; ; ; ; 132; ; 
Ivo Karlovic; 200; 200; ; ; ; ; 200; 200; 200; ; 150; 200; ; 200; 200; 200; 200; ; ; 200; ; 200; ; ; ; ; 94; ; 
Mischa Zverev; 150; 200; ; ; ; ; 200; ; ; ; ; ; ; ; 200; 150; 175; ; ; 175; ; ; ; ; ; ; ; ; 
Steve Johnson; ; ; ; ; 80; ; 150; 150; 150; ; 200; 150; ; 200; 150; 150; ; ; ; ; ; 125; ; ; ; ; ; ; 
Roberto Bautista Agut; ; 250; ; ; ; ; 200; ; 150; ; 150; 150; ; 200; ; 150; ; ; ; ; ; 150; ; ; ; ; 80; ; 
David Ferrer; ; ; 150; ; 80; ; 200; 200; 200; 150; 250; 250; ; 200; 150; 200; ; ; ; ; ; 100; ; ; ; ; 94; ; 
Sam Querrey; 200; 200; ; ; 100; ; 66; 100; 250; ; 80; 100; ; 200; 200; 200; ; ; ; ; ; 100; ; ; ; ; ; ; 
Viktor Troicki; ; ; ; ; ; ; ; ; ; ; ; 250; ; 300; ; 250; ; ; ; ; ; ; ; ; ; ; 80; ; 
Benoit Paire; 200; ; ; ; 150; ; ; 300; ; ; ; 250; ; 300; 250; 200; 225; 200; ; 225; 200; 200; ; ; ; ; 94; ; 
Feliciano Lopez; 200; 300; ; ; 100; ; ; 200; ; ; 200; 200; ; 300; 200; 200; 200; 200; ; 200; 150; 200; ; ; ; ; 94; ; 
Kevin Anderson; 150; 150; ; ; ; ; 100; 150; 150; ; 150; 150; ; 300; 150; 150; 150; 125; ; 150; 100; 150; ; ; ; ; 94; ; 
Philipp Kohlschreiber; ; 150; ; ; 100; ; ; 100; 150; ; 200; 300; ; 200; 100; 150; ; ; ; ; ; 100; ; ; ; ; 94; ; 
Joao Sousa; ; ; ; ; ; ; ; ; ; ; ; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 284; ; 
Andrey Kuznetsov; ; ; ; ; ; ; ; ; 200; ; ; 300; ; 250; ; ; ; ; ; ; 150; 200; ; ; ; ; ; ; 
Marcos Baghdatis; ; ; ; ; ; ; ; 300; ; ; ; 300; ; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Nicolas Mahut; ; ; ; ; ; ; ; ; ; ; ; 200; ; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Daniel Evans; 250; 250; ; ; ; ; ; ; 350; ; 250; ; ; ; 250; 250; ; ; ; ; ; ; ; ; ; ; ; ; 
Alexandr Dolgopolov; ; ; ; ; ; ; ; ; ; ; ; 200; ; 400; ; ; ; ; ; ; ; ; ; ; ; ; 94; ; 
Jeremy Chardy; ; ; ; ; ; ; ; ; 200; ; ; 250; ; 400; ; ; ; ; ; ; ; ; ; ; ; ; 94; ; 
Kyle Edmund; 200; 200; ; ; ; ; ; ; 400; ; 200; 250; ; 200; 250; 200; 175; ; ; 175; ; 200; ; ; ; ; ; ; 
Pablo Cuevas; ; ; ; ; ; ; ; ; ; ; ; 300; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; 94; ; 
Fabio Fognini; ; ; ; ; ; ; ; 300; ; ; ; 500; ; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
James Ward; ; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-04-03 08:16:21 GMT+3; ; e70300-dr003
Barcelona; 1/12; 1/12; 1/12; 1/16; ; ; 1/12; 1/12; ; ; ; ; 1/14; ; 1/16; 1/12; 1/10; ; ; 1/10; 13/200; 1/12; ; ; ; ; ; ; 
Alaves; 7; 6; 7; 7; ; ; 6; 6; ; ; ; ; 7; ; 15/2; 7; 5; ; ; 5; 39/5; 6; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-04-05 10:21:47 GMT+3; 2017-04-05 19:30; e70300-dr003
Alaves; 4/9; 4/9; 40/85; 4/9; 4/9; 4/9; 9/20; 4/9; 4/9; 2/5; 4/9; 4/9; 4/9; 4/9; 4/9; 4/9; 5/12; 5/12; 2/5; 5/12; 11/25; 6/13; 7/17; 4/9; 3/7; ; 4/9; 4/9; 4/9
Draw; 16/5; 10/3; 7/2; 17/5; 10/3; 7/2; 7/2; 10/3; 10/3; 10/3; 10/3; 10/3; 10/3; 10/3; 10/3; 10/3; 17/5; 7/2; 7/2; 17/5; 15/4; 39/11; 7/2; 10/3; 7/2; ; 10/3; 10/3; 7/2
Osasuna; 15/2; 13/2; 7; 15/2; 15/2; 13/2; 7; 13/2; 13/2; 7; 7; 13/2; 7; 9; 13/2; 7; 15/2; 7; 7; 15/2; 8; 32/5; 7; 15/2; 7; ; 38/5; 36/5; 38/5
META; spain/la-liga-primera/alaves-v-osasuna; 2017-04-05 11:25:14 GMT+3; 2017-04-05 19:30; e70300-dr003
Alaves; 4/9; 4/9; 40/85; 4/9; 4/9; 4/9; 9/20; 4/9; 4/9; 4/9; 4/9; 4/9; 4/9; 4/9; 4/9; 4/9; 7/17; 5/12; 2/5; 7/17; 9/20; 6/13; 7/17; 4/9; 3/7; ; 4/9; 4/9; 4/9
Draw; 16/5; 10/3; 7/2; 17/5; 10/3; 7/2; 7/2; 10/3; 10/3; 10/3; 10/3; 10/3; 10/3; 10/3; 10/3; 10/3; 17/5; 7/2; 7/2; 17/5; 73/20; 39/11; 7/2; 10/3; 7/2; ; 10/3; 10/3; 7/2
Osasuna; 15/2; 13/2; 7; 15/2; 15/2; 13/2; 7; 13/2; 13/2; 7; 7; 13/2; 7; 9; 13/2; 7; 15/2; 7; 7; 15/2; 8; 32/5; 7; 15/2; 7; ; 38/5; 36/5; 38/5
META; spain/la-liga-primera/alaves-v-osasuna; 2017-04-05 13:02:05 GMT+3; 2017-04-05 19:30; e70300-dr003
Alaves; 4/9; 4/9; 40/85; 2/5; 9/20; 4/9; 9/20; 9/20; 4/9; 4/9; 4/9; 4/9; 4/9; 4/9; 4/9; 4/9; 5/12; 5/12; 2/5; 5/12; 11/25; 7/15; 7/17; 4/9; 3/7; ; 4/9; 4/9; 4/9
Draw; 16/5; 10/3; 7/2; 10/3; 10/3; 18/5; 18/5; 10/3; 10/3; 10/3; 10/3; 16/5; 10/3; 10/3; 10/3; 10/3; 38/11; 7/2; 7/2; 38/11; 37/10; 18/5; 7/2; 10/3; 7/2; ; 10/3; 10/3; 7/2
Osasuna; 15/2; 13/2; 7; 13/2; 15/2; 13/2; 7; 13/2; 13/2; 13/2; 13/2; 13/2; 7; 8; 13/2; 7; 29/4; 7; 7; 29/4; 83/10; 6; 7; 7; 7; ; 37/5; 15/2; 38/5
META; spain/la-liga-primera/alaves-v-osasuna; 2017-04-05 15:01:36 GMT+3; 2017-04-05 19:30; e70300-dr003
Alaves; 1/2; 4/9; 8/15; 2/5; 8/15; 8/15; 1/2; 9/20; 1/2; 1/2; 8/15; 8/15; 1/2; 8/15; 8/15; 1/2; 1/2; 5/11; 1/2; 1/2; 13/25; 8/15; 1/2; 8/15; 11/21; ; 1/2; 1/2; 4/9
Draw; 3; 10/3; 16/5; 10/3; 3; 16/5; 7/2; 10/3; 3; 3; 3; 3; 16/5; 3; 16/5; 16/5; 31/10; 10/3; 3; 31/10; 67/20; 31/10; 13/4; 3; 33/10; ; 3; 3; 7/2
Osasuna; 13/2; 6; 6; 13/2; 13/2; 6; 6; 13/2; 11/2; 11/2; 6; 11/2; 6; 15/2; 11/2; 13/2; 6; 13/2; 28/5; 6; 34/5; 6; 23/4; 13/2; 23/4; ; 33/5; 33/5; 38/5
META; spain/la-liga-primera/alaves-v-osasuna; 2017-04-05 16:18:36 GMT+3; 2017-04-05 19:30; e70300-dr003
Alaves; 1/2; 8/15; 11/20; 4/9; 8/15; 11/20; 8/15; 8/15; 8/15; 8/15; 8/15; 8/15; 8/15; 11/20; 11/20; 1/2; 1/2; 10/21; 1/2; 1/2; 13/25; 8/15; 1/2; 8/15; 11/21; ; 1/2; 8/15; 8/15
Draw; 3; 3; 3; 17/5; 11/4; 3; 33/10; 3; 14/5; 14/5; 3; 14/5; 3; 29/10; 3; 31/10; 56/19; 31/10; 3; 56/19; 67/20; 3; 3; 3; 3; ; 14/5; 14/5; 3
Osasuna; 6; 11/2; 13/2; 15/2; 7; 6; 6; 11/2; 11/2; 6; 6; 11/2; 6; 15/2; 11/2; 6; 13/2; 27/4; 13/2; 13/2; 34/5; 31/5; 13/2; 13/2; 13/2; ; 34/5; 34/5; 34/5
META; spain/la-liga-primera/alaves-v-osasuna; 2017-04-05 17:02:10 GMT+3; 2017-04-05 19:30; e70300-dr003
Alaves; 1/2; 8/15; 11/20; 8/15; 8/15; 11/20; 11/20; 8/15; 8/15; 1/2; 4/7; 8/15; 8/15; 11/20; 11/20; 8/15; 1/2; 10/21; 1/2; 1/2; 53/100; 11/21; 1/2; 8/15; 11/21; ; 1/2; 8/15; 8/15
Draw; 3; 3; 3; 11/4; 11/4; 3; 3; 3; 14/5; 14/5; 14/5; 14/5; 3; 29/10; 14/5; 29/10; 56/19; 31/10; 3; 56/19; 16/5; 3; 3; 3; 3; ; 14/5; 14/5; 3
Osasuna; 6; 11/2; 13/2; 7; 7; 6; 13/2; 11/2; 11/2; 6; 6; 11/2; 6; 8; 6; 6; 13/2; 27/4; 13/2; 13/2; 71/10; 13/2; 13/2; 13/2; 13/2; ; 34/5; 34/5; 7
META; spain/la-liga-primera/alaves-v-osasuna; 2017-04-05 19:01:19 GMT+3; 2017-04-05 19:30; e70300-dr003
Alaves; 1/2; 1/2; 8/15; 2/5; 8/15; 8/15; 1/2; 8/15; 8/15; 1/2; 1/2; 1/2; 1/2; 8/15; 1/2; 1/2; 10/21; 10/21; 1/2; 10/21; 1/2; 8/15; 1/2; 1/2; 11/21; ; 1/2; 1/2; 8/15
Draw; 3; 29/10; 31/10; 17/5; 3; 16/5; 3; 3; 3; 3; 3; 3; 59/20; 16/5; 16/5; 29/10; 58/19; 31/10; 3; 58/19; 33/10; 3; 3; 16/5; 3; ; 3; 3; 3
Osasuna; 7; 11/2; 13/2; 15/2; 13/2; 6; 15/2; 11/2; 6; 6; 13/2; 11/2; 7; 7; 6; 13/2; 13/2; 27/4; 13/2; 13/2; 38/5; 63/10; 13/2; 13/2; 13/2; ; 7; 34/5; 34/5
META; spain/la-liga-primera/alaves-v-osasuna; 2017-04-05 20:18:19 GMT+3; 2017-04-05 19:30; e70300-dr003
