META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-12 20:19:38 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; ; 3/4; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 00:18:37 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; 4/6; ; 5/6; 3/4; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 45/17; 13/5; ; 45/17; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; 29/10; 4; ; 29/10; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 04:18:18 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; 4/5; 4/5; 4/6; ; 4/5; 3/4; ; ; ; ; ; ; 
Draw; 5/2; ; 12/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; 13/5; 28/11; 13/5; ; 28/11; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; 15/4; ; 3; ; ; ; 15/4; ; ; ; ; ; ; ; ; 4; 13/4; 4; ; 13/4; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 08:18:27 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; 4/5; 4/5; 4/6; ; 4/5; 3/4; ; ; ; ; ; ; 
Draw; 5/2; ; 12/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; 13/5; 28/11; 13/5; ; 28/11; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; 15/4; ; 3; ; ; ; 15/4; ; ; ; ; ; ; ; ; 4; 13/4; 4; ; 13/4; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 12:19:10 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; 4/5; 10/13; 3/4; ; 10/13; 3/4; ; ; ; ; ; ; 
Draw; 5/2; ; 12/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; 13/5; 28/11; 5/2; ; 28/11; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; 15/4; ; 3; ; ; ; 15/4; ; ; ; ; ; ; ; ; 4; 33/10; 15/4; ; 33/10; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 16:21:09 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; 4/5; 14/19; 3/4; ; 14/19; 3/4; 6/7; ; ; ; ; ; ; 
Barcelona 7-2; 100; 150; ; ; ; 100; 110; ; ; 100; 100; 80; 125; 150; ; ; ; ; 90; ; ; ; 90; 150; 90; ; ; ; 
Barcelona 8-1; 100; 150; ; ; ; 100; 150; 225; ; 125; 125; 80; 100; 150; 100; ; ; ; 110; ; ; ; 110; 150; 110; ; ; ; 
Granada 6-3; ; ; ; ; ; ; 225; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Granada 7-2; ; ; ; ; ; ; 225; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barcelona 6-3; 150; 200; ; ; ; 150; 175; ; ; 150; 125; 100; 150; 150; 150; 125; ; ; 140; ; ; ; 140; 250; 140; ; ; ; 
Barcelona 8-0; 100; 150; ; 150; ; 100; 110; 250; ; 100; 100; 80; 100; 150; 100; ; ; ; 100; ; ; ; 100; 125; 100; ; ; ; 
Barcelona 8-2; 250; ; ; ; ; 250; ; ; ; 225; ; 100; ; 250; ; ; ; ; 200; ; ; ; 200; 250; 200; ; ; ; 
Barcelona 7-3; ; ; ; ; ; ; ; ; ; 250; ; 100; ; 300; ; ; ; ; 250; ; ; ; 250; ; 250; ; ; ; 
Barcelona 9-1; 300; ; ; ; ; ; ; ; ; 250; ; 100; ; 300; ; ; ; ; 250; ; ; ; 250; 250; 250; ; ; ; 
Granada 4-3; 200; 200; 200; 150; ; 150; 225; 300; ; 175; 125; 100; 150; 200; 150; 125; 181/2; 250; 200; 181/2; ; 320; 200; 250; 200; ; ; ; 
Barcelona 6-4; ; ; ; ; ; ; ; ; ; 350; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw 4-4; 200; 200; 200; 150; ; 200; 250; 275; ; 175; 125; 100; 150; 200; 150; 125; ; 250; 225; ; ; 350; 225; 250; 225; ; ; ; 
Barcelona 8-3; ; ; ; ; ; ; ; ; ; 375; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barcelona 9-2; ; ; ; ; ; ; ; ; ; 375; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Granada 4-2; 200; 200; 225; 150; ; 200; 225; 375; 100; 175; 125; 100; 150; 250; 150; 125; ; 250; 200; ; ; 320; 200; 250; 200; ; ; ; 
Granada 3-0; 200; 200; 250; 125; ; 200; 200; 425; 100; 175; 150; 100; 175; 300; 200; 125; 181/2; 250; 180; 181/2; ; 310; 180; 250; 180; ; 1/33; ; 
Barcelona 10-1; ; ; ; ; ; ; ; ; ; 425; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barcelona 5-4; ; ; ; ; ; ; 300; 425; ; 250; 150; 100; 175; 250; ; 150; ; ; 275; ; ; ; 275; ; 275; ; ; ; 
Barcelona 7-4; ; ; ; ; ; ; ; ; ; 475; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barcelona 10-0; ; ; ; 500; ; ; ; 500; ; 400; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barcelona 9-0; 250; ; ; 250; ; ; 250; 500; ; 225; 150; 100; ; 250; ; ; ; ; 225; ; ; ; 225; 250; 225; ; ; ; 
Draw 5-5; ; ; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Granada 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Granada 4-0; ; 250; 250; 200; ; ; 400; 500; 100; 400; 200; ; 200; ; ; 200; ; 250; 300; ; ; 350; 300; ; 300; ; ; ; 
Granada 4-1; 300; 250; 250; 150; ; ; 275; 500; 100; 225; 150; 100; 175; 300; ; 150; ; 250; 250; ; ; 350; 250; ; 250; ; ; ; 
Granada 5-0; ; 250; ; 500; ; ; 225; 500; 100; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Granada 5-1; ; 250; ; 500; ; ; 400; 500; 100; 500; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Granada 5-2; ; 250; ; 500; ; ; 400; 500; ; 425; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Granada 5-3; ; 250; ; ; ; ; 400; 500; ; 400; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Granada 5-4; ; ; ; ; ; ; 400; 500; ; 450; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Granada 6-0; ; 250; ; ; ; ; 225; 500; 100; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Granada 6-1; ; 250; ; ; ; ; 225; 500; ; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Granada 6-2; ; 250; ; 500; ; ; 225; ; ; ; 200; ; 200; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
Granada 7-0; ; ; ; ; ; ; 225; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Granada 7-1; ; ; ; ; ; ; 225; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Granada 8-0; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Granada 8-1; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Granada 9-0; ; ; ; ; ; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-27 08:17:13 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 4/5; 17/20; 17/20; 10/11; 17/20; 17/20; 5/6; 8/11; 5/6; 5/6; 5/6; 5/6; 5/6; 5/6; 10/11; 5/6; 4/5; 5/6; 5/6; 4/5; 43/50; 5/6; 11/13; 5/6; 11/13; ; 4/5; ; 
Draw; 23/10; 13/5; 13/5; 5/2; 13/5; 11/4; 13/5; 5/2; 13/5; 13/5; 12/5; 12/5; 13/5; 5/2; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 139/50; 13/5; 28/11; 5/2; 28/11; ; 23/10; ; 
Deportivo La Coruna; 15/4; 16/5; 10/3; 3; 7/2; 10/3; 17/5; 16/5; 10/3; 10/3; 3; 7/2; 10/3; 3; 3; 10/3; 33/10; 17/5; 10/3; 33/10; 37/10; 29/10; 57/17; 16/5; 57/17; ; 3; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-27 12:05:07 GMT+3; 2017-04-02 16:30; e70300-dr003
Valencia; 4/5; 17/20; 17/20; 10/11; 17/20; 17/20; 5/6; 8/11; 5/6; 4/5; 5/6; 5/6; 5/6; 5/6; 10/11; 5/6; 4/5; 5/6; 5/6; 4/5; 43/50; 5/6; 11/13; 5/6; 11/13; ; 4/5; ; 
Draw; 23/10; 13/5; 13/5; 5/2; 13/5; 11/4; 13/5; 5/2; 13/5; 13/5; 12/5; 12/5; 13/5; 5/2; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 139/50; 13/5; 28/11; 5/2; 28/11; ; 23/10; ; 
Deportivo La Coruna; 15/4; 16/5; 10/3; 3; 7/2; 10/3; 17/5; 16/5; 10/3; 10/3; 3; 7/2; 10/3; 3; 3; 10/3; 33/10; 17/5; 10/3; 33/10; 73/20; 29/10; 57/17; 16/5; 57/17; ; 3; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-27 16:18:01 GMT+3; 2017-04-02 16:30; e70300-dr003
Valencia; 4/5; 5/6; 17/20; 10/11; 17/20; 17/20; 5/6; 7/10; 5/6; 5/6; 5/6; 5/6; 5/6; 5/6; 10/11; 5/6; 4/5; 5/6; 5/6; 4/5; 43/50; 5/6; 11/13; 5/6; 11/13; ; 8/11; 4/5; 5/6
Draw; 23/10; 5/2; 13/5; 5/2; 13/5; 11/4; 13/5; 5/2; 13/5; 13/5; 12/5; 12/5; 13/5; 5/2; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 139/50; 13/5; 28/11; 5/2; 28/11; ; 12/5; 12/5; 27/10
Deportivo La Coruna; 15/4; 16/5; 10/3; 3; 7/2; 10/3; 17/5; 16/5; 10/3; 10/3; 3; 7/2; 10/3; 3; 3; 10/3; 33/10; 17/5; 10/3; 33/10; 73/20; 29/10; 57/17; 16/5; 57/17; ; 3; 3; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-27 20:18:48 GMT+3; 2017-04-02 17:30; e70300-dr003
Valencia; 4/5; 5/6; 17/20; 10/11; 17/20; 17/20; 5/6; 7/10; 5/6; 5/6; 5/6; 5/6; 5/6; 5/6; 10/11; 5/6; 4/5; 5/6; 5/6; 4/5; 43/50; 5/6; 11/13; 17/20; 11/13; ; 5/6; 5/6; 5/6
Draw; 23/10; 5/2; 13/5; 5/2; 13/5; 11/4; 13/5; 5/2; 13/5; 13/5; 12/5; 12/5; 13/5; 5/2; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 139/50; 13/5; 28/11; 5/2; 28/11; ; 5/2; 13/5; 11/4
Deportivo La Coruna; 15/4; 16/5; 10/3; 3; 7/2; 10/3; 17/5; 16/5; 10/3; 10/3; 3; 7/2; 10/3; 3; 3; 10/3; 16/5; 17/5; 10/3; 16/5; 73/20; 29/10; 57/17; 10/3; 57/17; ; 3; 3; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-28 00:18:24 GMT+3; 2017-04-02 17:30; e70300-dr003
Valencia; 4/5; 5/6; 17/20; 10/11; 17/20; 17/20; 5/6; 7/10; 5/6; 5/6; 5/6; 5/6; 5/6; 5/6; 10/11; 5/6; 4/5; 5/6; 5/6; 4/5; 43/50; 5/6; 11/13; 17/20; 11/13; ; 5/6; 5/6; 5/6
Draw; 23/10; 5/2; 13/5; 5/2; 13/5; 11/4; 13/5; 5/2; 13/5; 13/5; 12/5; 12/5; 13/5; 5/2; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 71/25; 13/5; 28/11; 5/2; 28/11; ; 13/5; 13/5; 11/4
Deportivo La Coruna; 15/4; 16/5; 10/3; 3; 7/2; 10/3; 17/5; 16/5; 10/3; 10/3; 3; 7/2; 10/3; 3; 3; 10/3; 33/10; 17/5; 10/3; 33/10; 18/5; 29/10; 57/17; 10/3; 57/17; ; 3; 3; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-28 04:18:18 GMT+3; 2017-04-02 17:30; e70300-dr003
Valencia; 4/5; 5/6; 17/20; 10/11; 17/20; 17/20; 5/6; 7/10; 5/6; 5/6; 5/6; 5/6; 5/6; 5/6; 10/11; 5/6; 4/5; 5/6; 5/6; 4/5; 43/50; 5/6; 11/13; 17/20; 11/13; ; 5/6; 5/6; 5/6
Draw; 23/10; 5/2; 13/5; 5/2; 13/5; 11/4; 13/5; 5/2; 13/5; 13/5; 12/5; 12/5; 13/5; 5/2; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 71/25; 13/5; 28/11; 5/2; 28/11; ; 5/2; 13/5; 11/4
Deportivo La Coruna; 15/4; 16/5; 10/3; 3; 7/2; 10/3; 17/5; 16/5; 10/3; 10/3; 3; 7/2; 10/3; 3; 3; 10/3; 33/10; 17/5; 10/3; 33/10; 18/5; 29/10; 57/17; 10/3; 57/17; ; 3; 3; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-28 08:18:23 GMT+3; 2017-04-02 17:30; e70300-dr003
Valencia; 4/5; 5/6; 17/20; 10/11; 17/20; 17/20; 5/6; 7/10; 5/6; 5/6; 5/6; 5/6; 5/6; 5/6; 10/11; 5/6; 4/5; 5/6; 5/6; 5/6; 43/50; 5/6; 11/13; 17/20; 11/13; ; 5/6; 5/6; 5/6
Draw; 23/10; 5/2; 13/5; 5/2; 13/5; 11/4; 13/5; 5/2; 13/5; 13/5; 12/5; 12/5; 13/5; 27/10; 13/5; 5/2; 5/2; 12/5; 5/2; 27/11; 71/25; 13/5; 28/11; 5/2; 28/11; ; 13/5; 13/5; 11/4
Deportivo La Coruna; 15/4; 16/5; 10/3; 3; 7/2; 10/3; 17/5; 16/5; 10/3; 10/3; 3; 7/2; 10/3; 3; 3; 10/3; 33/10; 17/5; 10/3; 16/5; 18/5; 29/10; 57/17; 10/3; 57/17; ; 3; 3; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-28 12:34:23 GMT+3; 2017-04-02 17:30; e70300-dr003
Valencia; 4/5; 5/6; 17/20; 10/11; 17/20; 17/20; 5/6; 7/10; 5/6; 5/6; 5/6; 5/6; 5/6; 5/6; 10/11; 5/6; 4/5; 5/6; 5/6; 4/5; 43/50; 5/6; 11/13; 17/20; 11/13; ; 5/6; 5/6; 5/6
Draw; 23/10; 5/2; 13/5; 5/2; 13/5; 11/4; 13/5; 5/2; 13/5; 13/5; 12/5; 12/5; 13/5; 27/10; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 71/25; 13/5; 28/11; 5/2; 28/11; ; 5/2; 13/5; 11/4
Deportivo La Coruna; 15/4; 16/5; 10/3; 3; 7/2; 10/3; 17/5; 16/5; 10/3; 10/3; 3; 7/2; 10/3; 3; 3; 10/3; 33/10; 17/5; 10/3; 33/10; 18/5; 29/10; 57/17; 10/3; 57/17; ; 3; 3; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-28 16:20:24 GMT+3; ; e70300-dr003
Massimiliano Allegri; ; 5/2; ; ; ; ; 4; 3; ; ; 4; ; ; 3; ; ; 3; ; ; 3; 5/2; ; ; ; ; ; ; ; 
Thomas Tuchel; ; 6; ; ; ; ; 8; 3; ; ; 6; ; ; 3; ; ; 5; ; ; 5; 9/2; ; ; ; ; ; ; ; 
Eddie Howe; ; 14; ; ; ; ; 14; 10; ; ; 13/2; ; ; 12; ; ; 11; ; ; 11; 10; ; ; ; ; ; ; ; 
Rafael Benitez; ; 14; ; ; ; ; 16; 16; ; ; 9; ; ; 16; ; ; 14; ; ; 14; 14; ; ; ; ; ; ; ; 
Brendan Rodgers; ; 16; ; ; ; ; 20; 14; ; ; ; ; ; 16; ; ; 16; ; ; 16; 16; ; ; ; ; ; ; ; 
Diego Simeone; ; 12; ; ; ; ; 20; 8; ; ; 8; ; ; 12; ; ; 12; ; ; 12; 10; ; ; ; ; ; ; ; 
Leonardo Jardim; ; 16; ; ; ; ; 20; 16; ; ; 8; ; ; 16; ; ; 16; ; ; 16; ; ; ; ; ; ; ; ; 
Dragan Stojkovic; ; 25; ; ; ; ; 25; 20; ; ; ; ; ; 20; ; ; 22; ; ; 22; 25; ; ; ; ; ; ; ; 
Joachim Low; ; 25; ; ; ; ; 25; 25; ; ; 14; ; ; 20; ; ; ; ; ; ; 14; ; ; ; ; ; ; ; 
Laurent Blanc; ; 25; ; ; ; ; 25; 25; ; ; 16; ; ; 25; ; ; 25; ; ; 25; 16; ; ; ; ; ; ; ; 
Luis Enrique; ; 16; ; ; ; ; 25; 12; ; ; 14; ; ; 16; ; ; 18; ; ; 18; 14; ; ; ; ; ; ; ; 
Manuel Pellegrini; ; 25; ; ; ; ; 25; 14; ; ; ; ; ; 20; ; ; 22; ; ; 22; 14; ; ; ; ; ; ; ; 
Patrick Vieira; ; 14; ; ; ; ; 25; 12; ; ; ; ; ; 16; ; ; 22; ; ; 22; 12; ; ; ; ; ; ; ; 
Jorge Sampaoli; ; 25; ; ; ; ; 25; 10; ; ; ; ; ; 28; ; ; 25; ; ; 25; ; ; ; ; ; ; ; ; 
Marco Silva; ; 28; ; ; ; ; 25; 25; ; ; ; ; ; ; ; ; 28; ; ; 28; ; ; ; ; ; ; ; ; 
Ralph Hasenhuttl; ; 25; ; ; ; ; 25; 25; ; ; 25; ; ; ; ; ; 28; ; ; 28; ; ; ; ; ; ; ; ; 
Thierry Henry; ; 25; ; ; ; ; 25; 25; ; ; 25; ; ; 25; ; ; 28; ; ; 28; 16; ; ; ; ; ; ; ; 
Garry Monk; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 33; ; ; ; ; ; ; ; 
Juan Carlos Unzue; ; 33; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 30; ; ; 30; ; ; ; ; ; ; ; ; 
Roberto Mancini; ; 22; ; ; ; ; 25; 33; ; ; ; ; ; 33; ; ; 28; ; ; 28; 33; ; ; ; ; ; ; ; 
Ronald Koeman; ; 12; ; ; ; ; 14; 16; ; ; 33; ; ; 20; ; ; 16; ; ; 16; 12; ; ; ; ; ; ; ; 
Alain Perrin; ; ; ; ; ; ; 40; ; ; ; ; ; ; ; ; ; ; ; ; ; 40; ; ; ; ; ; ; ; 
Andre Villas Boas; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 40; ; ; ; ; ; 
Andre Villas-Boas; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 40; ; ; ; ; ; ; ; 
Carlo Ancelotti; ; 40; ; ; ; ; 25; 20; ; ; 25; ; ; 40; ; ; 33; ; ; 33; 16; ; ; ; ; ; ; ; 
Claude Puel; ; 33; ; ; ; ; ; 40; ; ; ; ; ; ; ; ; 33; ; ; 33; ; ; ; ; ; ; ; ; 
Claudio Ranieri; ; 25; ; ; ; ; 40; 40; ; ; ; ; ; 40; ; ; 40; ; ; 40; ; ; ; ; ; ; ; ; 
Co Adriaanse; ; ; ; ; ; ; 40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
David Wagner; ; 40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 33; ; ; 33; ; ; ; ; ; ; ; ; 
Frank de Boer; ; 25; ; ; ; ; 25; 20; ; ; ; ; ; 40; ; ; 28; ; ; 28; 20; ; ; ; ; ; ; ; 
Maurizio Sarri; ; 33; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 40; ; ; 40; ; ; ; ; ; ; ; ; 
Roger Schmidt; ; 33; ; ; ; ; ; ; ; ; 10; ; ; ; ; ; 40; ; ; 40; ; ; ; ; ; ; ; ; 
Unai Emery; ; 33; ; ; ; ; 25; ; ; ; ; ; ; 40; ; ; 33; ; ; 33; ; ; ; ; ; ; ; ; 
Andries Jonker; ; 33; ; ; ; ; 50; ; ; ; ; ; ; ; ; ; 40; ; ; 40; 25; ; ; ; ; ; ; ; 
Antoine Kombouare; ; 50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 50; ; ; 50; ; ; ; ; ; ; ; ; 
Antonio Conte; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 50; ; ; ; ; ; ; ; 
Dennis Bergkamp; ; 25; ; ; ; ; 25; 50; ; ; 20; ; ; 33; ; ; 28; ; ; 28; 16; ; ; ; ; ; ; ; 
Didier Deschamps; ; 40; ; ; ; ; 40; 25; ; ; ; ; ; 33; ; ; 40; ; ; 40; 50; ; ; ; ; ; ; ; 
Giovanni van Bronckhorst; ; 50; ; ; ; ; ; 50; ; ; ; ; ; ; ; ; 50; ; ; 50; ; ; ; ; ; ; ; ; 
Guus Hiddink; ; ; ; ; ; ; ; 50; ; ; ; ; ; 50; ; ; 40; ; ; 40; 50; ; ; ; ; ; ; ; 
Mark Warburton; ; ; ; ; ; ; 50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Michael Laudrup; ; 40; ; ; ; ; 25; 40; ; ; ; ; ; 50; ; ; 40; ; ; 40; 20; ; ; ; ; ; ; ; 
Neil Lennon; ; ; ; ; ; ; 50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boro Primorac; ; ; ; ; ; ; ; 66; ; ; ; ; ; ; ; ; ; ; ; ; 50; ; ; ; ; ; ; ; 
Paul Clement; ; 50; ; ; ; ; 40; 50; ; ; ; ; ; 66; ; ; 50; ; ; 50; 20; ; ; ; ; ; ; ; 
Quique Sanchez Flores; ; 66; ; ; ; ; 50; ; ; ; ; ; ; 50; ; ; 50; ; ; 50; ; ; ; ; ; ; ; ; 
Ralf Rangnick; ; ; ; ; ; ; 50; ; ; ; ; ; ; ; ; ; ; ; ; ; 66; ; ; ; ; ; ; ; 
Roberto Martinez; ; 33; ; ; ; ; 33; 66; ; ; ; ; ; 66; ; ; 40; ; ; 40; 20; ; ; ; ; ; ; ; 
Roy Hodgson; ; ; ; ; ; ; 50; 66; ; ; ; ; ; ; ; ; ; ; ; ; 50; ; ; ; ; ; ; ; 
Sean Dyche; ; 66; ; ; ; ; 66; ; ; ; ; ; ; ; ; ; 66; ; ; 66; ; ; ; ; ; ; ; ; 
Steve Bould; ; 40; ; ; ; ; 33; 66; ; ; ; ; ; 50; ; ; 50; ; ; 50; 28; ; ; ; ; ; ; ; 
Vincenzo Montella; ; 66; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 75; ; ; 75; ; ; ; ; ; ; ; ; 
Jurgen Klinsman; ; 80; ; ; ; ; 40; 33; ; ; ; ; ; 50; ; ; 66; ; ; 66; 50; ; ; ; ; ; ; ; 
Remi Garde; ; ; ; ; ; ; 25; 80; ; ; ; ; ; ; ; ; ; ; ; ; 33; ; ; ; ; ; ; ; 
Alan Pardew; ; ; ; ; ; ; 40; ; ; ; ; ; ; 100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Ally McCoist; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 100; ; ; ; ; ; ; ; 
Andre Vilas-Boas; ; ; ; ; ; ; ; 100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
David Moyes; ; ; ; ; ; ; 40; 100; ; ; ; ; ; 100; ; ; ; ; ; ; 50; ; ; ; ; ; ; ; 
Fabio Capello; ; 100; ; ; ; ; 40; 66; ; ; ; ; ; ; ; ; 75; ; ; 75; 50; ; ; ; ; ; ; ; 
Frank Rijkaard; ; 100; ; ; ; ; 40; 66; ; ; ; ; ; 80; ; ; 75; ; ; 75; 50; ; ; ; ; ; ; ; 
Gary Neville; ; 100; ; ; ; ; 50; ; ; ; ; ; ; 100; ; ; 66; ; ; 66; ; ; ; ; ; ; ; ; 
George Graham; ; ; ; ; ; ; ; 100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Glen Hoddle; ; ; ; ; ; ; ; 100; ; ; ; ; ; ; ; ; ; ; ; ; 100; ; ; ; ; ; ; ; 
Jose Mourinho; ; 33; ; ; ; ; 40; 100; ; ; ; ; ; 100; ; ; 40; ; ; 40; 28; ; ; ; ; ; ; ; 
Jurgen Klopp; ; 40; ; ; ; ; 40; 100; ; ; ; ; ; 80; ; ; 50; ; ; 50; 25; ; ; ; ; ; ; ; 
Louis Van Gaal; ; 100; ; ; ; ; 50; 80; ; ; ; ; ; 100; ; ; 75; ; ; 75; ; ; ; ; ; ; ; ; 
Marcelino Garcia Toral; ; 100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 75; ; ; 75; ; ; ; ; ; ; ; ; 
Marco Van Basten; ; ; ; ; ; ; ; 100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Mauricio Pochettino; ; 66; ; ; ; ; 40; 66; ; ; ; ; ; 100; ; ; 75; ; ; 75; 50; ; ; ; ; ; ; ; 
Pep Guardiola; ; ; ; ; ; ; 50; 100; ; ; ; ; ; ; ; ; ; ; ; ; 20; ; ; ; ; ; ; ; 
Phil Scolari; ; 100; ; ; ; ; ; 66; ; ; ; ; ; ; ; ; 75; ; ; 75; 66; ; ; ; ; ; ; ; 
Slaven Bilic; ; 80; ; ; ; ; 50; 100; ; ; ; ; ; ; ; ; 75; ; ; 75; 20; ; ; ; ; ; ; ; 
Sven Goran Eriksson; ; ; ; ; ; ; ; 100; ; ; ; ; ; ; ; ; ; ; ; ; 66; ; ; ; ; ; ; ; 
Tony Pulis; ; 50; ; ; ; ; ; ; ; ; ; ; ; 100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
