META; spain/la-liga-primera/barcelona-v-granada; 2016-10-23 04:18:41 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/20; ; 1/20; 1/16; 1/20; 1/20; 1/28; 1/25; ; 1/20; 1/25; ; 1/33; ; 1/25; 1/19; 1/41; 1/16; 1/16; 1/16; ; 1/16; 1/33; 1/16; 1/20; ; ; ; 
Draw; 12; ; 13; 12; 12; 16; 17; 12; ; 16; 16; ; 14; ; 14; 16; 55/4; 11; 10; 11; 55/4; 20; 13; 11; 10; ; ; ; 
Granada; 33; ; 40; 25; 33; 50; 35; 33; ; 40; 55; ; 50; ; 40; 50; 127/4; 33; 26; 33; 127/4; 40; 23; 33; 40; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-23 08:19:53 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/20; ; 1/20; 1/16; 1/20; 1/20; 1/28; 1/25; ; 1/20; 1/25; ; 1/33; ; 1/25; 1/19; 1/41; 1/16; 1/16; 1/16; ; 1/16; 1/33; 1/16; 1/20; ; ; ; 
Draw; 12; ; 13; 12; 12; 16; 17; 12; ; 16; 16; ; 14; ; 14; 16; 55/4; 11; 10; 11; 55/4; 20; 13; 11; 10; ; ; ; 
Granada; 33; ; 40; 25; 33; 50; 35; 33; ; 40; 55; ; 50; ; 40; 50; 127/4; 33; 26; 33; 127/4; 40; 23; 33; 40; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-23 12:19:44 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/20; ; 1/20; 1/16; 1/20; 1/20; 1/28; 1/25; ; 1/20; 1/25; ; 1/33; ; 1/25; 1/19; 1/41; 1/16; 1/16; 1/16; ; 1/16; 1/33; 1/16; 1/20; ; ; ; 
Draw; 12; ; 13; 12; 12; 16; 17; 12; ; 16; 16; ; 14; ; 14; 16; 55/4; 11; 10; 11; 55/4; 20; 13; 11; 10; ; ; ; 
Granada; 33; ; 40; 25; 33; 50; 35; 33; ; 40; 55; ; 45; ; 40; 50; 127/4; 33; 26; 33; 127/4; 40; 23; 33; 40; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-23 16:19:58 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/20; 1/20; 1/20; 1/16; 1/20; 1/20; 1/28; 1/25; ; 1/20; 1/25; ; ; ; 1/25; 1/19; 1/41; 1/16; 1/16; 1/16; ; 1/16; 1/33; 1/16; 1/20; ; ; ; 
Draw; 12; 12; 13; 12; 12; 16; 17; 12; ; 16; 16; ; ; ; 14; 16; 55/4; 11; 10; 11; 55/4; 20; 13; 11; 10; ; ; ; 
Granada; 33; 33; 40; 25; 33; 50; 35; 33; ; 40; 55; ; ; ; 40; 50; 127/4; 33; 26; 33; 127/4; 40; 23; 33; 40; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-23 20:20:16 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/20; 1/20; 1/20; 1/16; 1/20; 1/20; 1/28; 1/25; 1/20; 1/20; 1/25; ; 1/33; ; 1/25; 1/19; 1/41; 1/16; 1/16; 1/16; ; 1/16; 1/33; 1/16; 1/20; ; ; ; 
