Draw; 19/4; ; 9/2; 5; 11/2; 11/2; 11/2; 9/2; 11/2; 5; 24/5; 5; 5; 11/2; ; 11/2; 67/13; 5; 5; 67/13; 27/5; 11/2; 5; ; ; 11/2; ; 
Stoke; 12; ; 9; 10; 14; 11; 14; 9; 10; 11; 11; 12; 12; 12; ; 12; 45/4; 9; 12; 45/4; 25/2; 10; 12; ; ; 57/5; ; 
META; english/premier-league/man-city-v-stoke; 2017-03-01 22:16:01 GMT+2; 2017-03-11 12:30; Nothing; Xlenovo
Man City; 2/9; ; 1/4; 1/4; 1/4; ; 2/9; 1/4; 1/4; 2/9; 2/9; 2/9; 2/9; 2/9; ; 1/4; 2/9; 1/4; 2/9; 2/9; 27/100; 4/17; 2/9; ; ; 2/9; ; 
Draw; 19/4; ; 9/2; 5; 11/2; ; 11/2; 9/2; 11/2; 5; 5; 5; 5; 11/2; ; 11/2; 26/5; 5; 5; 26/5; 27/5; 11/2; 5; ; ; 11/2; ; 
Stoke; 12; ; 9; 10; 14; ; 14; 9; 11; 11; 12; 12; 12; 16; ; 12; 45/4; 9; 12; 45/4; 25/2; 10; 12; ; ; 71/5; ; 
META; english/premier-league/man-city-v-stoke; 2017-03-02 02:15:59 GMT+2; 2017-03-11 12:30; Nothing; Xlenovo
Man City; 2/9; 2/9; 1/4; 1/4; 1/4; ; 2/9; 1/4; 1/4; 2/9; 2/9; 2/9; 2/9; 2/9; ; 1/4; 3/13; 1/4; 2/9; 3/13; 27/100; 4/17; 2/9; ; ; 1/4; ; 
Draw; 19/4; 5; 9/2; 5; 11/2; ; 11/2; 9/2; 11/2; 5; 5; 5; 5; 11/2; ; 5; 94/19; 5; 5; 94/19; 27/5; 11/2; 5; ; ; 11/2; ; 
Stoke; 12; 12; 9; 10; 14; ; 14; 9; 11; 11; 12; 12; 12; 14; ; 12; 21/2; 9; 12; 21/2; 25/2; 10; 12; ; ; 64/5; ; 
META; english/premier-league/man-city-v-stoke; 2017-03-02 06:15:58 GMT+2; 2017-03-11 12:30; Nothing; Xlenovo
Man City; 2/9; 2/9; 1/4; 1/4; 1/4; ; 2/9; 1/4; 1/4; 2/9; 2/9; 2/9; 2/9; 2/9; ; 1/4; 3/13; 1/4; 2/9; 3/13; 27/100; 4/17; 2/9; ; ; 1/4; ; 
Draw; 19/4; 5; 9/2; 5; 11/2; ; 11/2; 9/2; 11/2; 5; 5; 5; 5; 11/2; ; 5; 94/19; 5; 5; 94/19; 27/5; 11/2; 5; ; ; 11/2; ; 
