META; spain/la-liga-segunda/cadiz-v-gimnastic; 2017-09-08 14:27:15 GMT+3; 2017-09-08 20:00; Nothing; Xlenovo
Cadiz; 8/11; 3/4; 8/11; 5/6; 8/11; 3/4; 3/4; 4/6; 3/4; 8/11; 8/11; 3/4; 7/10; 7/10; 3/4; 8/11; ; 3/4; 10/13; 37/50; 3/4; 3/4; 8/11; 4/6; 8/11; ; 8/11; 8/11; 8/11
Draw; 12/5; 9/4; 9/4; 9/4; 12/5; 11/5; 12/5; 11/5; 23/10; 9/4; 9/4; 23/10; 51/20; 12/5; 23/10; 23/10; ; 23/10; 40/17; 13/5; 12/5; 23/10; 12/5; 23/10; 9/4; ; 12/5; 12/5; 5/2
Gimnastic; 17/4; 15/4; 4; 18/5; 9/2; 10/3; 9/2; 7/2; 4; 4; 4; 4; 9/2; 4; 4; 4; ; 4; 75/19; 24/5; 18/5; 4; 15/4; 19/5; 4; ; 9/2; 9/2; 23/5
META; spain/la-liga-segunda/cadiz-v-gimnastic; 2017-09-08 18:27:20 GMT+3; 2017-09-08 20:00; Nothing; Xlenovo
Cadiz; 8/11; 7/10; 7/10; 5/6; 8/11; 4/6; 8/11; 4/6; 7/10; 7/10; 7/10; 8/11; 4/6; 7/10; 3/4; 7/10; 13/18; 7/10; 14/19; 8/11; 13/18; 7/10; 8/11; 8/13; 4/6; ; 8/11; 8/11; 8/11
Draw; 12/5; 23/10; 23/10; 9/4; 12/5; 23/10; 12/5; 11/5; 12/5; 23/10; 23/10; 23/10; 51/20; 12/5; 23/10; 12/5; 5/2; 40/17; 12/5; 129/50; 27/11; 40/17; 12/5; 23/10; 12/5; ; 12/5; 12/5; 5/2
Gimnastic; 17/4; 4; 17/4; 18/5; 9/2; 15/4; 19/4; 7/2; 43/10; 21/5; 21/5; 4; 19/4; 4; 4; 4; 17/4; 17/4; 17/4; 5; 37/10; 17/4; 15/4; 4; 4; ; 23/5; 9/2; 23/5
META; spain/la-liga-segunda/cadiz-v-gimnastic; 2017-09-08 22:27:28 GMT+3; 2017-09-08 20:00; In Play; Xlenovo
Cadiz; 8/11; 8/11; 3/4; ; ; 4/6; 3/4; 5/6; ; 7/10; 4/6; ; 8/11; ; 3/4; 4/6; 4/6; ; ; ; ; ; 3/4; ; ; ; ; 4/6; 
Draw; 15/8; 15/8; 19/10; ; ; 39/20; 19/10; 8/5; ; 11/5; 23/10; ; 39/20; ; 39/20; 9/4; 37/19; ; ; ; ; ; 2; ; ; ; ; 23/10; 23/10
Gimnastic; 11/2; 5; 5; ; ; 9/2; 11/2; 4; ; 9/2; 17/4; ; 6; ; 5; 9/2; 5; ; ; ; ; ; 5; ; ; ; ; 23/5; 
