META; english/league-1/mk-dons-v-peterborough; 2017-12-29 18:22:15 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Peterborough; 6/4; 7/5; 16/11; 6/4; 153/ 100; 8/5; 6/4; 6/4; 10/7; 29/20; 6/4; 29/20; 6/4; 29/20; 7/5; 7/5; 6/4; 16/11; 6/4; 16/11; 10/7; 7/4; 6/4; 6/4; 16/11; ; 7/5; 6/4; 6/4
MK Dons; 15/8; 7/4; 17/10; 9/5; 9/5; 9/5; 7/4; 17/10; 17/10; 17/10; 9/5; 17/10; 6/4; 17/10; 17/10; 7/4; 9/5; 17/10; 9/5; 5/3; 17/10; 6/4; 9/5; 17/10; 7/4; ; 7/4; 17/10; 7/4
Draw; 13/5; 5/2; 5/2; 23/10; 133/ 50; 13/5; 12/5; 5/2; 28/11; 5/2; 5/2; 13/5; 12/5; 5/2; 13/5; 5/2; 11/5; 27/11; 11/5; 27/11; 28/11; 13/5; 5/2; 51/20; 5/2; ; 12/5; 12/5; 13/5
META; english/league-1/mk-dons-v-peterborough; 2017-12-29 22:22:17 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Peterborough; 6/4; 7/5; 16/11; 6/4; 77/50; 6/4; 6/4; 7/5; 10/7; 29/20; 29/20; 29/20; 6/4; 29/20; 7/5; 7/5; 6/4; 16/11; 6/4; 26/19; 10/7; 7/4; 6/4; 6/4; 16/11; ; 7/5; 7/5; 6/4
MK Dons; 15/8; 7/4; 17/10; 9/5; 9/5; 15/8; 7/4; 9/5; 17/10; 17/10; 9/5; 17/10; 6/4; 17/10; 17/10; 7/4; 9/5; 17/10; 9/5; 22/13; 17/10; 6/4; 7/4; 17/10; 7/4; ; 7/4; 7/4; 7/4
Draw; 13/5; 5/2; 5/2; 23/10; 66/25; 13/5; 12/5; 5/2; 28/11; 5/2; 13/5; 13/5; 12/5; 5/2; 13/5; 5/2; 11/5; 27/11; 11/5; 13/5; 28/11; 13/5; 13/5; 51/20; 5/2; ; 5/2; 12/5; 13/5
META; english/league-1/mk-dons-v-peterborough; 2017-12-30 02:22:11 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Peterborough; 6/4; 7/5; 16/11; 6/4; 38/25; 6/4; 6/4; 7/5; 10/7; 29/20; 6/4; 29/20; 6/4; 29/20; 7/5; 7/5; 6/4; 16/11; 6/4; 26/19; 10/7; 7/4; 6/4; 6/4; 16/11; ; 7/5; 7/5; 7/5
MK Dons; 15/8; 7/4; 17/10; 9/5; 91/50; 15/8; 7/4; 9/5; 17/10; 17/10; 9/5; 17/10; 6/4; 17/10; 17/10; 7/4; 9/5; 17/10; 9/5; 22/13; 17/10; 6/4; 7/4; 17/10; 7/4; ; 7/4; 7/4; 9/5
Draw; 13/5; 5/2; 5/2; 23/10; 66/25; 13/5; 12/5; 5/2; 28/11; 5/2; 5/2; 13/5; 12/5; 5/2; 13/5; 5/2; 11/5; 27/11; 11/5; 13/5; 28/11; 13/5; 13/5; 51/20; 5/2; ; 13/5; 12/5; 13/5
META; english/league-1/mk-dons-v-peterborough; 2017-12-30 10:22:09 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
