Arsenal; 5/2; 23/10; 12/5; 12/5; 67/25; 13/5; 5/2; 13/5; 45/17; 12/5; 13/5; 5/2; 27/10; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 13/5; 49/20; 28/11; ; 13/5; 13/5; 13/5
Draw; 11/4; 14/5; 27/10; 11/4; 72/25; 11/4; 11/4; 13/5; 37/13; 11/4; 11/4; 13/5; 3; 11/4; 13/5; 11/4; 14/5; 11/4; 37/13; 11/4; 14/5; 14/5; 14/5; 14/5; ; 11/4; 14/5; 14/5
META; english/premier-league/tottenham-v-arsenal; 2018-02-08 18:16:02 GMT+2; 2018-02-10 12:30; Nothing; Xlenovo
Tottenham; 19/20; 1; 1; 1; 26/25; 1; 21/20; 1; 30/29; 1; 21/20; 1; 17/20; 21/20; 21/20; 1; 1; 1; 42/41; 1; 1; 21/20; 1; 1; ; 1; 1; 21/20
Arsenal; 5/2; 12/5; 12/5; 12/5; 139/50; 13/5; 5/2; 13/5; 27/10; 12/5; 13/5; 13/5; 27/10; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 45/17; 13/5; 13/5; 13/5; 45/17; ; 5/2; 13/5; 11/4
Draw; 11/4; 14/5; 11/4; 11/4; 71/25; 11/4; 11/4; 13/5; 37/13; 11/4; 14/5; 11/4; 3; 29/10; 13/5; 13/5; 11/4; 11/4; 37/13; 14/5; 14/5; 14/5; 14/5; 14/5; ; 11/4; 14/5; 14/5
META; english/premier-league/tottenham-v-arsenal; 2018-02-08 22:16:06 GMT+2; 2018-02-10 12:30; Nothing; Xlenovo
Tottenham; 19/20; 1; 1; 1; 26/25; 1; 21/20; 10/11; 42/41; 1; 1; 1; 17/20; 21/20; 21/20; 1; 1; 1; 42/41; 39/40; 1; 1; 1; 1; ; 1; 1; 1
Arsenal; 5/2; 12/5; 12/5; 12/5; 69/25; 13/5; 5/2; 13/5; 11/4; 5/2; 11/4; 13/5; 27/10; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 27/10; 13/5; 27/10; 13/5; 13/5; ; 13/5; 27/10; 27/10
Draw; 11/4; 14/5; 27/10; 11/4; 57/20; 11/4; 11/4; 13/5; 14/5; 11/4; 14/5; 11/4; 3; 29/10; 13/5; 13/5; 11/4; 11/4; 37/13; 11/4; 14/5; 14/5; 11/4; 14/5; ; 11/4; 14/5; 14/5
META; english/premier-league/tottenham-v-arsenal; 2018-02-09 02:16:02 GMT+2; 2018-02-10 12:30; Nothing; Xlenovo
Tottenham; 21/20; 19/20; 19/20; 1; 103/100; 1; 20/21; 10/11; 42/41; 19/20; 1; 1; 17/20; 1; 19/20; 1; 1; 19/20; 66/67; 39/40; 1; 1; 1; 1; ; 1; 1; 21/20
Arsenal; 11/4; 12/5; 5/2; 12/5; 139/50; 13/5; 5/2; 13/5; 11/4; 5/2; 11/4; 13/5; 27/10; 13/5; 11/4; 5/2; 45/17; 13/5; 13/5; 27/10; 13/5; 27/10; 53/20; 45/17; ; 13/5; 13/5; 27/10
