META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-14 14:20:27 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-04-01 14:21:48 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/13; 8/13; 4/6; 4/6; 4/6; 4/6; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; 11/17; 19/29; 8/13; 4/6; ; 4/7; ; 
Draw; 14/5; 14/5; 27/10; 13/5; 3; 14/5; 14/5; ; 14/5; 13/5; 5/2; 13/5; 11/4; 14/5; 11/4; 14/5; 11/4; 13/5; 11/4; 11/4; 59/20; 27/10; 11/4; 11/4; 11/4; ; 27/10; ; 
Espanyol; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; ; 17/4; 9/2; 21/5; 9/2; 9/2; 9/2; 9/2; 9/2; 79/17; 17/4; 9/2; 79/17; 5; 39/10; 9/2; 17/4; 9/2; ; 21/5; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-04-01 18:46:14 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/13; 8/13; 4/6; 4/6; 4/6; 4/6; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; ; 19/29; 8/13; 4/6; ; 4/7; ; 
Draw; 14/5; 14/5; 27/10; 13/5; 3; 14/5; 14/5; ; 14/5; 13/5; 5/2; 13/5; 11/4; 14/5; 11/4; 14/5; 11/4; 13/5; 11/4; 11/4; 59/20; ; 11/4; 11/4; 11/4; ; 27/10; ; 
Espanyol; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; ; 17/4; 9/2; 21/5; 9/2; 9/2; 9/2; 9/2; 9/2; 79/17; 17/4; 9/2; 79/17; 5; ; 9/2; 17/4; 9/2; ; 21/5; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-04-01 22:45:35 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/13; 8/13; 4/6; 4/6; 4/6; 4/6; 13/20; 4/7; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 4/6; 11/17; 11/17; 8/13; ; 67/100; 11/17; 19/29; 4/6; 4/6; ; 4/7; ; 
Draw; 14/5; 14/5; 27/10; 13/5; 3; 14/5; 14/5; 11/4; 14/5; 13/5; 5/2; 13/5; 11/4; 14/5; 11/4; 14/5; 11/4; 13/5; 11/4; ; 59/20; 27/10; 11/4; 11/4; 11/4; ; 27/10; ; 
Espanyol; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 4; 17/4; 9/2; 17/4; 9/2; 9/2; 9/2; 9/2; 9/2; 79/17; 17/4; 9/2; ; 5; 39/10; 9/2; 17/4; 9/2; ; 21/5; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-04-02 02:45:27 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/13; 8/13; 4/6; 4/6; 4/6; 4/6; 13/20; 4/7; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 4/6; ; 11/17; 8/13; 11/17; 67/100; 11/17; 19/29; 4/6; 4/6; ; 4/7; ; 
Draw; 14/5; 14/5; 27/10; 13/5; 3; 14/5; 14/5; 11/4; 14/5; 13/5; 5/2; 13/5; 11/4; 14/5; 11/4; 14/5; ; 13/5; 11/4; 11/4; 59/20; 27/10; 11/4; 11/4; 11/4; ; 27/10; ; 
Espanyol; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 4; 17/4; 9/2; 17/4; 9/2; 9/2; 9/2; 9/2; 9/2; ; 17/4; 9/2; 79/17; 5; 39/10; 9/2; 17/4; 9/2; ; 21/5; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-04-02 06:44:36 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/13; 8/13; 4/6; 4/6; 4/6; 4/6; 13/20; 4/7; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; 11/17; 19/29; 4/6; 4/6; ; 4/7; ; 
Draw; 14/5; 14/5; 27/10; 13/5; 3; 14/5; 14/5; 11/4; 14/5; 13/5; 5/2; 13/5; 11/4; 14/5; 11/4; 14/5; 11/4; 13/5; 11/4; 11/4; 59/20; 27/10; 11/4; 11/4; 11/4; ; 27/10; ; 
Espanyol; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 4; 17/4; 9/2; 17/4; 9/2; 9/2; 9/2; 9/2; 9/2; 79/17; 17/4; 9/2; 79/17; 5; 39/10; 9/2; 17/4; 9/2; ; 21/5; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-04-02 10:45:30 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/13; 8/13; 4/6; 4/6; 4/6; 4/6; 13/20; 4/7; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; 11/17; 19/29; 4/6; 4/6; ; 4/7; ; 
Draw; 14/5; 14/5; 27/10; 13/5; 3; 14/5; 14/5; 11/4; 14/5; 13/5; 5/2; 13/5; 11/4; 14/5; 11/4; 14/5; 11/4; 13/5; 11/4; 11/4; 59/20; 27/10; 11/4; 11/4; 11/4; ; 14/5; ; 
Espanyol; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 4; 17/4; 9/2; 17/4; 9/2; 9/2; 9/2; 9/2; 9/2; 79/17; 17/4; 9/2; 79/17; 5; 39/10; 9/2; 17/4; 9/2; ; 22/5; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-04-02 14:45:35 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/13; 8/13; 4/6; 7/10; 4/6; 4/6; 13/20; 4/7; 8/13; 13/20; 8/13; 4/6; 13/20; 13/20; 4/6; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; 11/17; 19/29; 4/6; 4/6; ; 4/7; ; 
Draw; 14/5; 14/5; 27/10; 11/4; 3; 14/5; 14/5; 11/4; 14/5; 13/5; 5/2; 13/5; 11/4; 14/5; 11/4; 14/5; 11/4; 13/5; 11/4; 11/4; 59/20; 27/10; 11/4; 11/4; 11/4; ; 11/4; ; 
Espanyol; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 4; 17/4; 9/2; 17/4; 9/2; 9/2; 9/2; 9/2; 9/2; 79/17; 17/4; 9/2; 79/17; 5; 39/10; 9/2; 17/4; 9/2; ; 9/2; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-04-02 18:58:53 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/13; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/7; 8/13; 8/13; 8/13; 4/6; 13/20; 8/13; 4/6; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; 5/8; 19/29; 4/6; 4/6; ; 4/7; ; 
Draw; 14/5; 13/5; 27/10; 14/5; 3; 14/5; 14/5; 11/4; 14/5; 11/4; 13/5; 13/5; 11/4; 14/5; 11/4; 14/5; 14/5; 13/5; 11/4; 14/5; 59/20; 27/10; 11/4; 11/4; 11/4; ; 14/5; ; 
Espanyol; 9/2; 9/2; 19/4; 9/2; 9/2; 460/100; 9/2; 4; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 23/5; 17/4; 9/2; 23/5; 5; 4; 9/2; 17/4; 9/2; ; 9/2; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-04-02 22:58:37 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/13; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 4/6; 4/6; 4/6; 8/13; 11/17; 4/7; 8/13; 33/50; 11/17; 7/11; 8/13; 11/17; ; 8/13; ; 
Draw; 14/5; 13/5; 27/10; 14/5; 3; 14/5; 3; 11/4; 14/5; 13/5; 5/2; 11/4; 11/4; 29/10; 11/4; 14/5; 11/4; 13/5; 11/4; 11/4; 59/20; 14/5; 11/4; 11/4; 11/4; ; 11/4; ; 
Espanyol; 9/2; 9/2; 19/4; 9/2; 9/2; 470/100; 19/4; 4; 9/2; 9/2; 17/4; 9/2; 19/4; 5; 9/2; 9/2; 47/10; 17/4; 23/5; 47/10; 26/5; 47/10; 19/4; 17/4; 19/4; ; 23/5; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-04-03 02:56:27 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/13; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 4/6; 13/20; 4/6; 8/13; 11/17; 4/7; 8/13; 33/50; 11/17; 7/11; 8/13; 11/17; ; 8/13; ; 
Draw; 14/5; 13/5; 27/10; 13/5; 3; 14/5; 3; 11/4; 14/5; 13/5; 13/5; 11/4; 11/4; 29/10; 13/5; 14/5; 11/4; 13/5; 11/4; 11/4; 59/20; 14/5; 11/4; 13/5; 11/4; ; 14/5; ; 
Espanyol; 9/2; 9/2; 19/4; 9/2; 9/2; 19/4; 19/4; 4; 9/2; 5; 17/4; 9/2; 19/4; 5; 5; 9/2; 63/13; 17/4; 23/5; 63/13; 26/5; 47/10; 19/4; 9/2; 19/4; ; 23/5; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-04-03 06:56:24 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 4/6; 4/6; 13/20; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 4/6; 13/20; 4/6; 8/13; 11/17; 4/7; 8/13; 33/50; 11/17; 7/11; 8/13; 11/17; ; 8/13; ; 
Draw; 14/5; 13/5; 27/10; 14/5; 11/4; 14/5; 14/5; 11/4; 14/5; 13/5; 5/2; 13/5; 11/4; 29/10; 13/5; 11/4; 27/10; 13/5; 11/4; 27/10; 59/20; 14/5; 11/4; 13/5; 11/4; ; 14/5; ; 
Espanyol; 9/2; 9/2; 19/4; 9/2; 5; 19/4; 5; 4; 9/2; 5; 9/2; 9/2; 19/4; 24/5; 5; 9/2; 5; 17/4; 23/5; 5; 26/5; 47/10; 19/4; 9/2; 19/4; ; 24/5; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-04-03 14:19:12 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/13; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 4/6; 13/20; 4/6; 8/13; 11/17; 4/7; 8/13; 13/20; 11/17; 7/11; 8/13; 11/17; ; 8/13; 8/13; 
Draw; 29/10; 14/5; 11/4; 13/5; 3; 14/5; 29/10; 11/4; 11/4; 13/5; 14/5; 13/5; 11/4; 29/10; 13/5; 14/5; 27/10; 13/5; 11/4; 27/10; 59/20; 14/5; 11/4; 13/5; 11/4; ; 27/10; 27/10; 
Espanyol; 19/4; 9/2; 5; 9/2; 9/2; 19/4; 19/4; 4; 9/2; 5; 9/2; 9/2; 5; 24/5; 5; 9/2; 5; 17/4; 23/5; 5; 27/5; 47/10; 19/4; 9/2; 19/4; ; 24/5; 24/5; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-04-03 18:19:50 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/13; 8/13; 13/20; 4/6; 8/13; 8/13; 8/13; 8/13; 8/13; 3/5; 8/13; 8/13; 8/13; 8/13; 13/20; 8/13; 10/17; 3/5; 4/7; 10/17; 13/20; 8/13; 11/18; 8/13; 5/8; ; 4/7; 4/7; 8/13
Draw; 29/10; 14/5; 14/5; 13/5; 3; 14/5; 3; 11/4; 14/5; 13/5; 14/5; 5/2; 11/4; 3; 13/5; 14/5; 11/4; 13/5; 27/10; 11/4; 59/20; 37/13; 27/10; 14/5; 11/4; ; 11/4; 11/4; 27/10
Espanyol; 19/4; 19/4; 11/2; 5; 5; 5; 21/4; 4; 19/4; 5; 19/4; 5; 21/4; 5; 5; 5; 21/4; 5; 5; 21/4; 27/5; 5; 51/10; 5; 21/4; ; 26/5; 5; 5
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-04-03 22:19:07 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/13; 8/13; 13/20; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 3/5; 13/20; 3/5; 8/13; 11/18; 3/5; 4/7; 11/18; 13/20; 8/13; 11/18; 8/13; 5/8; ; 4/7; 4/7; 4/7
Draw ; 29/10; 14/5; 14/5; 11/4; 3; 14/5; 3; 11/4; 14/5; 13/5; 14/5; 13/5; 11/4; 3; 11/4; 14/5; 11/4; 14/5; 27/10; 11/4; 59/20; 37/13; 27/10; 14/5; 11/4; ; 14/5; 14/5; 11/4
Espanyol; 19/4; 19/4; 11/2; 11/2; 5; 5; 21/4; 4; 19/4; 5; 19/4; 5; 11/2; 11/2; 11/2; 5; 26/5; 5; 5; 26/5; 27/5; 51/10; 51/10; 5; 21/4; ; 26/5; 5; 5
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-04-04 02:19:18 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/13; 8/13; 13/20; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 4/7; 8/13; 3/5; 13/20; 13/20; 8/13; 10/17; 3/5; 4/7; 10/17; 63/100; 8/13; 11/18; 8/13; 5/8; ; 4/7; 4/7; 8/13
Draw ; 29/10; 14/5; 14/5; 11/4; 3; 14/5; 3; 11/4; 14/5; 13/5; 14/5; 13/5; 11/4; 3; 13/5; 14/5; 14/5; 14/5; 27/10; 14/5; 29/10; 37/13; 27/10; 14/5; 11/4; ; 14/5; 13/5; 11/4
Espanyol; 19/4; 19/4; 11/2; 11/2; 5; 5; 21/4; 4; 19/4; 5; 5; 5; 11/2; 11/2; 5; 5; 26/5; 5; 5; 26/5; 29/5; 51/10; 51/10; 5; 21/4; ; 11/2; 26/5; 11/2
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-04-04 06:18:18 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/13; 8/13; 13/20; 4/6; 8/13; 8/13; 3/5; 8/13; 8/13; 3/5; 4/7; 8/13; 3/5; 8/13; 13/20; 8/13; 10/17; 3/5; 4/7; 10/17; 63/100; 8/13; 11/18; 8/13; 5/8; ; 4/7; 4/7; 8/13
Draw ; 29/10; 14/5; 14/5; 13/5; 3; 14/5; 3; 11/4; 14/5; 13/5; 14/5; 13/5; 11/4; 3; 13/5; 14/5; 14/5; 14/5; 27/10; 14/5; 29/10; 37/13; 27/10; 14/5; 11/4; ; 14/5; 14/5; 11/4
Espanyol; 19/4; 19/4; 11/2; 9/2; 5; 5; 11/2; 4; 19/4; 5; 5; 5; 11/2; 11/2; 5; 5; 26/5; 5; 5; 26/5; 29/5; 51/10; 51/10; 5; 21/4; ; 26/5; 26/5; 11/2
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-04-04 10:18:15 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/13; 8/13; 13/20; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 3/5; 8/13; 8/13; 3/5; 13/20; 8/13; 8/13; 11/18; 3/5; 4/7; 11/18; 31/50; 8/13; 11/18; 8/13; 5/8; ; 4/7; 4/7; 8/13
Draw ; 29/10; 14/5; 14/5; 11/4; 3; 14/5; 3; 11/4; 14/5; 13/5; 14/5; 14/5; 11/4; 29/10; 14/5; 29/10; 14/5; 14/5; 27/10; 14/5; 29/10; 37/13; 27/10; 14/5; 11/4; ; 14/5; 14/5; 11/4
Espanyol; 19/4; 19/4; 11/2; 11/2; 5; 5; 21/4; 4; 19/4; 5; 19/4; 9/2; 11/2; 11/2; 5; 9/2; 96/19; 5; 5; 96/19; 6; 5; 51/10; 5; 21/4; ; 26/5; 26/5; 11/2
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-04-04 14:19:01 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 1/2; 8/13; 4/7; 11/20; 8/15; 4/7; 8/15; 4/7; 4/7; 11/20; 4/7; 11/20; 11/20; 4/7; 4/7; 4/7; 5/9; 3/5; 4/7; 5/9; 59/100; 5/9; 7/12; 4/7; 3/5; ; 8/15; 8/15; 4/7
Draw ; 16/5; 14/5; 3; 3; 16/5; 3; 16/5; 11/4; 14/5; 14/5; 14/5; 14/5; 29/10; 16/5; 3; 3; 3; 14/5; 14/5; 3; 149/50; 3; 56/19; 3; 3; ; 3; 3; 3
Espanyol; 5; 19/4; 6; 9/2; 11/2; 11/2; 6; 5; 5; 11/2; 11/2; 11/2; 6; 6; 5; 5; 67/13; 5; 5; 67/13; 31/5; 57/10; 5; 11/2; 5; ; 29/5; 6; 6
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-04-04 18:19:33 GMT+3; 2017-04-04 18:30; Nothing; Xlenovo
Athletic Bilbao; 8/15; 8/15; 4/7; 4/6; 8/15; 11/20; 8/15; 1/2; 8/15; 8/15; 8/15; 11/20; 8/15; 4/7; 8/15; 1/2; 18/35; 1/2; 8/15; 18/35; 14/25; 6/11; 8/15; 8/15; 6/11; ; 1/2; 8/15; 8/15
Draw ; 3; 3; 3; 13/5; 16/5; 16/5; 16/5; 3; 3; 14/5; 3; 14/5; 3; 16/5; 3; 31/10; 58/19; 31/10; 14/5; 58/19; 16/5; 31/10; 56/19; 16/5; 3; ; 3; 3; 3
Espanyol; 11/2; 11/2; 6; 9/2; 11/2; 11/2; 6; 11/2; 11/2; 11/2; 11/2; 11/2; 11/2; 6; 11/2; 6; 76/13; 25/4; 6; 76/13; 31/5; 28/5; 6; 11/2; 6; ; 31/5; 31/5; 31/5
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-04-04 22:19:55 GMT+3; 2017-04-04 18:30; In Play; Xlenovo
Athletic Bilbao; ; ; ; ; 1/40; ; ; ; ; ; ; 1/100; ; 1/1200; ; ; 1/100; ; ; 1/100; ; ; ; ; 1/100; ; ; 1/100; 
Draw; ; ; 60; ; 18; ; ; ; ; ; ; 25; ; 66; ; ; 59/4; ; ; 59/4; ; ; ; 100; 25; ; ; 63; 149
Espanyol; ; ; 250; ; 100; ; ; ; ; ; ; 100; ; 200; ; ; 103/2; ; ; 103/2; ; ; ; 200; 200; ; ; 445; 297
