META; english/fa-cup/arsenal-v-lincoln; 2017-02-21 02:23:07 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; ; ; ; 1/12; ; 1/18; ; ; ; ; ; ; 1/20; ; 1/12; ; ; ; ; ; ; ; ; ; 1/14; ; 
Draw; 9; ; ; ; 12; ; 12; ; ; ; ; ; ; 10; ; 12; ; ; ; ; ; ; ; ; ; 17/2; ; 
Lincoln; 25; ; ; ; 33; ; 28; ; ; ; ; ; ; 25; ; 33; ; ; ; ; ; ; ; ; ; 21; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-21 06:22:35 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; ; ; ; 1/12; ; 1/18; ; ; ; ; ; ; 1/20; ; 1/12; ; ; ; ; ; ; ; ; ; 1/12; ; 
Draw; 9; ; ; ; 12; ; 12; ; ; ; ; ; ; 10; ; 12; ; ; ; ; ; ; ; ; ; 19/2; ; 
Lincoln; 25; ; ; ; 33; ; 28; ; ; ; ; ; ; 25; ; 33; ; ; ; ; ; ; ; ; ; 27; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-21 10:23:11 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; ; ; ; 1/12; ; 1/18; ; ; ; ; ; 1/12; 1/20; 1/10; 1/12; 1/12; ; 1/14; 1/12; 9/100; ; 1/14; ; ; 1/12; ; 
Arsenal; 1/12; 1/16; 1/16; 1/12; 1/14; 1/14; 1/14; 1/14; 1/18; 1/12; 1/14; 1/20; 1/20; 1/12; 1/14; 1/14; 1/16; 1/19; 1/14; 1/16; 19/200; 1/16; ; 1/14; ; 1/12; 1/12; 1/10
Draw; 14; 11; 14; 10; 11; 11; 21/2; 11; 12; 12; 14; 11; 8; 12; 10; 12; 47/4; 11; 23/2; 47/4; 25/2; 13; ; 10; ; 69/5; 12; 62/5
Lincoln; 25; 28; 50; 22; 28; 33; 25; 28; 40; 22; 22; 33; 28; 28; 33; 28; 65/2; 30; 32; 65/2; 30; 33; ; 33; ; 35; 32; 32
META; english/fa-cup/arsenal-v-lincoln; 2017-03-10 10:20:58 GMT+2; 2017-03-11 17:30; Nothing; Xlenovo
Arsenal; 1/12; 1/16; 1/16; 1/12; 1/14; 1/14; 1/14; 1/14; 1/18; 1/12; 1/14; 1/20; 1/20; 1/12; 1/14; 1/14; 1/16; 1/19; 1/14; 1/16; 19/200; 1/16; ; 1/14; ; 1/12; 1/12; 1/10
Draw; 14; 11; 14; 10; 11; 11; 21/2; 11; 12; 12; 14; 11; 8; 12; 10; 12; 47/4; 11; 23/2; 47/4; 25/2; 13; ; 10; ; 69/5; 13; 62/5
Lincoln; 25; 28; 33; 22; 28; 33; 25; 28; 40; 22; 22; 33; 28; 28; 33; 28; 65/2; 30; 32; 65/2; 30; 33; ; 33; ; 35; 33; 32
META; english/fa-cup/arsenal-v-lincoln; 2017-03-10 14:20:51 GMT+2; 2017-03-11 17:30; Nothing; Xlenovo
Arsenal; 1/12; 1/16; 1/16; 1/12; 1/14; 1/16; 1/14; 1/14; 1/18; 1/12; 1/14; 1/16; 1/20; 1/12; 1/12; 1/14; 1/16; 1/14; 1/14; 1/16; 19/200; 1/16; ; 1/14; ; 1/12; 1/12; 1/10
Draw; 14; 12; 13; 12; 11; 12; 14; 11; 12; 12; 14; 11; 8; 12; 11; 12; 23/2; 11; 23/2; 23/2; 25/2; 13; ; 10; ; 69/5; 68/5; 62/5
Lincoln; 25; 33; 33; 33; 28; 33; 33; 28; 40; 22; 25; 28; 28; 28; 40; 28; 129/4; 30; 32; 129/4; 28; 33; ; 33; ; 33; 32; 32
META; english/fa-cup/arsenal-v-lincoln; 2017-03-10 18:21:04 GMT+2; 2017-03-11 17:30; Nothing; Xlenovo
Arsenal; 1/12; 1/16; 1/16; 1/12; 1/14; 1/16; 1/14; 1/14; 1/12; 1/12; 1/14; 1/16; 1/20; 1/12; 1/12; 1/14; 1/16; 1/16; 1/14; 1/16; 19/200; 1/16; ; 1/12; ; 1/12; 1/12; 1/10
Draw; 14; 12; 13; 12; 11; 12; 14; 11; 12; 12; 14; 11; 8; 12; 12; 12; 47/4; 12; 23/2; 47/4; 25/2; 13; ; 11; ; 71/5; 14; 62/5
Lincoln; 25; 33; 33; 33; 28; 33; 33; 28; 33; 22; 25; 28; 28; 28; 33; 28; 65/2; 35; 32; 131/4; 28; 35; ; 33; ; 33; 33; 32
META; english/fa-cup/arsenal-v-lincoln; 2017-03-10 22:21:33 GMT+2; 2017-03-11 17:30; Nothing; Xlenovo
Arsenal; 1/12; 1/16; 1/16; 1/12; 1/14; 1/16; 1/14; 1/14; 1/12; 1/12; 1/14; 1/16; 1/20; 1/12; 1/11; 1/14; 1/16; 1/16; 1/14; 1/16; 19/200; 1/16; ; 1/12; ; 1/12; 1/12; 1/10
Draw; 14; 12; 13; 12; 11; 12; 14; 11; 12; 12; 14; 11; 8; 12; 12; 12; 47/4; 12; 23/2; 45/4; 25/2; 13; ; 11; ; 73/5; 14; 62/5
Lincoln; 25; 33; 30; 33; 28; 33; 33; 28; 33; 22; 25; 28; 28; 28; 33; 28; 127/4; 35; 32; 63/2; 28; 34; ; 33; ; 33; 31; 30
META; english/fa-cup/arsenal-v-lincoln; 2017-03-11 02:21:13 GMT+2; 2017-03-11 17:30; Nothing; Xlenovo
Arsenal; 1/12; 1/14; 1/16; 1/12; 1/14; 1/16; 1/14; 1/14; 1/12; 1/12; 1/14; 1/14; 1/20; 1/12; 1/11; 1/14; 1/16; 1/16; 1/14; 1/16; 19/200; 1/16; ; 1/12; ; 1/12; 1/12; 1/12
Draw; 14; 12; 13; 12; 11; 12; 14; 11; 12; 12; 14; 10; 8; 12; 12; 12; 47/4; 12; 23/2; 47/4; 25/2; 13; ; 11; ; 76/5; 15; 64/5
Lincoln; 25; 33; 33; 33; 28; 33; 33; 28; 33; 22; 25; 28; 28; 28; 33; 28; 32; 35; 32; 32; 28; 34; ; 33; ; 33; 31; 30
META; english/fa-cup/arsenal-v-lincoln; 2017-03-11 06:22:34 GMT+2; 2017-03-11 17:30; Nothing; Xlenovo
Arsenal; 1/12; 1/14; 1/16; 1/16; 1/14; 1/16; 1/14; 1/14; 1/12; 1/12; 1/14; 1/16; 1/20; 1/12; 1/11; 1/14; 1/16; 1/16; 1/14; 1/16; 19/200; 1/16; ; 1/12; ; 1/12; 1/12; 1/12
Draw; 14; 12; 13; 12; 11; 12; 14; 11; 12; 12; 14; 11; 8; 12; 12; 12; 47/4; 12; 23/2; 47/4; 25/2; 13; ; 11; ; 76/5; 14; 64/5
Lincoln; 25; 33; 33; 45; 28; 33; 33; 28; 33; 22; 25; 33; 28; 28; 33; 28; 32; 35; 32; 32; 28; 34; ; 33; ; 33; 32; 30
META; english/fa-cup/arsenal-v-lincoln; 2017-03-11 10:22:07 GMT+2; 2017-03-11 17:30; Nothing; Xlenovo
Arsenal; 1/12; 1/14; 1/16; 1/12; 1/14; 1/16; 1/14; 1/14; 1/12; 1/12; 1/14; 1/16; 1/20; 1/12; 1/12; 1/14; 1/16; 1/16; 1/14; 1/16; 7/100; 1/16; ; 1/12; ; 1/12; 1/12; 1/12
Draw; 14; 12; 13; 12; 11; 12; 14; 11; 12; 12; 14; 11; 8; 12; 12; 12; 47/4; 12; 23/2; 47/4; 25/2; 13; ; 11; ; 76/5; 15; 67/5
Lincoln; 25; 33; 33; 25; 28; 33; 33; 28; 33; 22; 22; 28; 28; 28; 28; 28; 127/4; 35; 32; 127/4; 30; 33; ; 33; ; 35; 34; 30
META; english/fa-cup/arsenal-v-lincoln; 2017-03-11 14:21:08 GMT+2; 2017-03-11 17:30; Nothing; Xlenovo
Arsenal; 1/12; 1/16; 1/11; 1/12; 1/14; 1/16; 1/11; 1/14; 1/12; 1/12; 1/14; 1/14; 1/20; 1/12; 1/12; 1/12; 1/19; 1/19; 1/16; 1/19; 7/100; 1/19; 1/16; 1/14; ; 1/12; 1/12; 1/12
Draw; 14; 14; 14; 12; 11; 12; 11; 11; 12; 12; 14; 12; 8; 12; 12; 12; 55/4; 14; 12; 55/4; 12; 14; 12; 12; ; 73/5; 15; 76/5
Lincoln; 25; 33; 35; 25; 28; 33; 30; 28; 33; 22; 22; 28; 28; 28; 28; 33; 117/4; 33; 34; 31; 30; 31; 34; 33; ; 31; 34; 32
META; english/fa-cup/arsenal-v-lincoln; 2017-03-11 18:21:32 GMT+2; 2017-03-11 17:30; Nothing; Xlenovo
Arsenal; 1/12; 1/14; 1/11; 1/12; 1/12; 1/16; 1/11; 1/14; 1/12; 1/12; 1/14; 1/14; 1/20; 1/12; 1/12; 1/12; 1/19; 1/19; 1/16; 1/19; 7/100; 1/16; 1/16; 1/14; ; 1/12; 1/12; 1/10
Draw; 14; 14; 13; 12; 12; 14; 12; 11; 12; 12; 14; 12; 8; 14; 14; 12; 55/4; 14; 13; 55/4; 12; 13; 13; 11; ; 71/5; 68/5; 74/5
Lincoln; 25; 28; 30; 22; 22; 28; 28; 28; 33; 22; 22; 28; 33; 25; 22; 33; 111/4; 33; 29; 111/4; 28; 28; 29; 33; ; 31; 34; 32
