META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-18 14:23:00 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Hartlepool; 9/5; 2; 19/10; 19/10; 101/50; ; 15/8; ; 24/13; 19/10; 19/10; 15/8; ; 15/8; 15/8; 9/5; 19/10; 7/4; 19/10; 24/13; 2; 2; 39/20; 19/10; ; 9/5; 15/8; 
Draw; 5/2; 23/10; 11/5; 23/10; 61/25; ; 23/10; ; 9/4; 11/5; 11/5; 2; ; 43/20; 23/10; 11/5; 23/10; 23/10; 11/5; 9/4; 23/10; 23/10; 23/10; 23/10; ; 2; 21/10; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-24 02:21:29 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 11/8; 11/8; 23/17; 7/5; 147/100; ; 7/5; ; 4/3; 27/20; 7/5; 11/8; ; 27/20; 11/8; 13/10; 23/17; 23/17; 16/11; 4/3; 7/5; 11/8; 27/20; 23/17; ; ; 11/8; 
Hartlepool; 9/5; 2; 19/10; 19/10; 101/50; ; 15/8; ; 24/13; 19/10; 19/10; 15/8; ; 15/8; 15/8; 9/5; 19/10; 7/4; 19/10; 24/13; 2; 2; 39/20; 19/10; ; 9/5; 19/10; 
Draw; 5/2; 23/10; 11/5; 23/10; 61/25; ; 23/10; ; 9/4; 11/5; 11/5; 2; ; 43/20; 23/10; 11/5; 23/10; 23/10; 11/5; 9/4; 23/10; 23/10; 23/10; 23/10; ; 2; 2; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-24 10:21:25 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 11/8; 11/8; 7/5; 7/5; 149/100; ; 11/8; ; 11/8; 7/5; 13/10; 13/10; ; 27/20; 7/5; 11/8; 23/17; 23/17; 25/18; 11/8; 7/5; 7/5; 27/20; 23/17; ; ; 7/5; 
Hartlepool; 9/5; 19/10; 19/10; 19/10; 52/25; ; 19/10; ; 24/13; 19/10; 19/10; 19/10; ; 15/8; 2; 9/5; 19/10; 7/4; 20/11; 24/13; 2; 2; 39/20; 19/10; ; 19/10; 19/10; 
Draw; 5/2; 23/10; 21/10; 23/10; 47/20; ; 9/4; ; 11/5; 21/10; 9/4; 2; ; 43/20; 21/10; 21/10; 23/10; 23/10; 40/17; 11/5; 23/10; 9/4; 23/10; 23/10; ; 21/10; 21/10; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-24 14:21:44 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 29/20; 7/5; 16/11; 7/5; 39/25; ; 7/5; ; 11/8; 29/20; 7/5; 11/8; ; 29/20; 6/4; 11/8; 7/5; 23/17; 16/11; 11/8; 7/5; 29/20; 29/20; 16/11; ; 7/5; 7/5; 
Hartlepool; 7/4; 2; 28/15; 19/10; 2; ; 15/8; ; 24/13; 15/8; 15/8; 7/4; ; 9/5; 15/8; 7/4; 24/13; 7/4; 9/5; 24/13; 15/8; 15/8; 15/8; 24/13; ; 19/10; 2; 
Draw; 5/2; 9/4; 21/10; 23/10; 58/25; ; 11/5; ; 11/5; 21/10; 11/5; 21/10; ; 41/20; 21/10; 21/10; 11/5; 23/10; 23/10; 11/5; 11/5; 9/4; 11/5; 11/5; ; 9/4; 9/4; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-24 18:21:36 GMT+2; 2018-02-24 15:00; In Play; Xlenovo
Ebbsfleet United; 3/10; 1/3; 3/10; 1/4; 11/25; ; ; ; 7/17; 1/3; 2/5; 3/10; ; ; 30/100; 3/10; 7/19; ; ; ; ; 4/11; ; 6/17; ; ; ; 
Draw; 7/2; 7/2; 10/3; 17/5; 13/4; ; ; ; 31/10; 13/4; 3; 7/2; ; ; 100/30; 3; 56/19; ; ; ; ; 31/10; ; 56/19; ; ; ; 
Hartlepool; 12; 12; 12; 12; 15/2; ; ; ; 11; 10; 9; 12; ; ; 9; 12; 17/2; ; ; ; ; 17/2; ; 19/2; ; ; ; 
