Celta Vigo 6-3; 500; ; ; ; 250; ; ; ; ; 325; 200; ; 200; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Celta Vigo 7-0; ; ; ; 500; 300; ; 400; 500; ; 375; 200; ; 200; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Celta Vigo 7-1; 500; ; ; 500; 300; ; 350; 500; ; 325; 200; ; 175; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Celta Vigo 8-0; ; ; ; 500; 300; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Celta Vigo 8-1; ; ; ; ; 300; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Celta Vigo 9-0; ; ; ; ; 300; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw 5-5; ; ; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Las Palmas 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Las Palmas 5-0; 300; 250; ; 300; 250; ; 300; 500; 100; 275; 150; 100; 175; 300; ; 200; ; ; 225; ; ; ; 225; ; 225; ; ; ; 
Las Palmas 5-3; 350; 250; ; ; 250; ; 325; 500; ; 250; 150; 100; 175; 250; ; 200; ; ; 300; ; ; ; 300; ; 300; ; ; ; 
Las Palmas 5-4; ; ; ; ; 250; ; ; 500; ; 350; 200; ; 200; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Las Palmas 6-0; ; 250; ; 500; 250; ; 275; 500; 100; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Las Palmas 6-1; ; 250; ; 500; 250; ; 400; 500; ; 425; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Las Palmas 6-2; ; 250; ; 500; 250; ; 400; ; ; 425; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Las Palmas 6-3; ; ; ; ; ; ; ; ; ; 500; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Las Palmas 7-0; ; ; ; ; 300; ; 325; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
