META; english/premier-league/man-city-v-chelsea; 2016-11-07 20:17:41 GMT+2; 2016-12-03 12:30; e70300-dr003
META; english/premier-league/man-city-v-chelsea; 2016-11-28 12:16:44 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 21/20; 11/10; 21/20; 11/10; 23/20; 23/20; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 57/50; 21/20; 11/10; 11/10; ; 10/9; 10/9; 10/9
Draw; 5/2; 13/5; 13/5; 12/5; 5/2; 5/2; 12/5; 5/2; 13/5; 12/5; 9/4; 13/5; 51/20; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 13/5; 5/2; 5/2; 12/5; ; 12/5; 12/5; 5/2
Chelsea; 23/10; 12/5; 12/5; 5/2; 5/2; 12/5; 23/10; 12/5; 5/2; 13/5; 5/2; 12/5; 49/20; 12/5; 13/5; 5/2; 28/11; 5/2; 5/2; 5/2; 28/11; 27/10; 13/5; 5/2; 12/5; ; 12/5; 5/2; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-11-28 16:16:43 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 21/20; 11/10; 21/20; 11/10; 23/20; 23/20; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 29/25; 21/20; 11/10; 11/10; ; 10/9; 10/9; 23/20
Draw; 5/2; 13/5; 13/5; 12/5; 5/2; 5/2; 12/5; 5/2; 13/5; 12/5; 9/4; 13/5; 51/20; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; ; 12/5; 12/5; 13/5
Chelsea; 23/10; 12/5; 12/5; 5/2; 5/2; 12/5; 23/10; 12/5; 5/2; 5/2; 5/2; 12/5; 49/20; 12/5; 13/5; 5/2; 28/11; 5/2; 5/2; 5/2; 28/11; 53/20; 13/5; 5/2; 5/2; ; 5/2; 12/5; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-11-28 20:17:01 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 21/20; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 29/25; 21/20; 11/10; 11/10; ; 10/9; 10/9; 23/20
Draw; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 5/2; 5/2; 13/5; 12/5; 9/4; 13/5; 51/20; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; ; 12/5; 12/5; 13/5
Chelsea; 23/10; 5/2; 12/5; 5/2; 5/2; 12/5; 12/5; 12/5; 5/2; 5/2; 5/2; 12/5; 49/20; 12/5; 13/5; 5/2; 28/11; 5/2; 5/2; 5/2; 28/11; 53/20; 13/5; 5/2; 5/2; ; 5/2; 12/5; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-11-29 00:16:42 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 21/20; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 11/10; 29/25; 15/14; 11/10; 23/20; ; 10/9; 10/9; 23/20
Draw; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 5/2; 5/2; 13/5; 12/5; 9/4; 13/5; 51/20; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; ; 12/5; 12/5; 5/2
Chelsea; 23/10; 5/2; 12/5; 5/2; 5/2; 12/5; 12/5; 12/5; 5/2; 12/5; 5/2; 12/5; 49/20; 12/5; 13/5; 5/2; 27/11; 5/2; 5/2; 5/2; 27/11; 53/20; 13/5; 5/2; 12/5; ; 5/2; 5/2; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-11-29 04:16:47 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 21/20; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 11/10; 29/25; 17/16; 11/10; 23/20; ; 10/9; 10/9; 23/20
Draw; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 5/2; 5/2; 13/5; 12/5; 9/4; 13/5; 51/20; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; ; 12/5; 12/5; 5/2
Chelsea; 23/10; 5/2; 12/5; 5/2; 5/2; 12/5; 12/5; 12/5; 5/2; 12/5; 5/2; 12/5; 49/20; 12/5; 13/5; 5/2; 27/11; 5/2; 5/2; 5/2; 27/11; 53/20; 13/5; 5/2; 12/5; ; 5/2; 5/2; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-11-29 08:16:39 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 21/20; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 11/10; 29/25; 17/16; 11/10; 23/20; ; 10/9; 10/9; 23/20
Draw; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 5/2; 5/2; 13/5; 12/5; 9/4; 13/5; 51/20; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; ; 12/5; 12/5; 5/2
Chelsea; 23/10; 5/2; 47/20; 5/2; 5/2; 12/5; 12/5; 12/5; 5/2; 12/5; 5/2; 12/5; 49/20; 12/5; 13/5; 5/2; 27/11; 5/2; 5/2; 5/2; 27/11; 53/20; 13/5; 5/2; 12/5; ; 5/2; 5/2; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-11-29 12:16:46 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 21/20; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 11/10; 29/25; 17/16; 11/10; 23/20; ; 10/9; 10/9; 23/20
Draw; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 5/2; 5/2; 13/5; 12/5; 9/4; 13/5; 51/20; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; ; 12/5; 12/5; 5/2
Chelsea; 23/10; 5/2; 12/5; 5/2; 5/2; 12/5; 12/5; 12/5; 5/2; 12/5; 5/2; 12/5; 49/20; 5/2; 13/5; 5/2; 27/11; 5/2; 5/2; 5/2; 27/11; 53/20; 13/5; 5/2; 12/5; ; 5/2; 12/5; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-11-29 16:17:12 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 21/20; 23/20; 11/10; 11/10; 23/20; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 15/13; 15/13; 11/10; 21/20; 11/10; 15/13; 29/25; 11/10; 11/10; 23/20; ; 23/20; 10/9; 6/5
Draw; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 12/5; 9/4; 13/5; 51/20; 12/5; 13/5; 5/2; 27/11; 5/2; 12/5; 5/2; 27/11; 13/5; 5/2; 5/2; 12/5; ; 12/5; 12/5; 5/2
Chelsea; 23/10; 5/2; 47/20; 23/10; 5/2; 12/5; 9/4; 12/5; 12/5; 12/5; 5/2; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 5/2; 5/2; 5/2; 12/5; 53/20; 5/2; 5/2; 12/5; ; 12/5; 12/5; 12/5
META; english/premier-league/man-city-v-chelsea; 2016-11-29 20:17:04 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 11/10; 23/20; 23/20; 11/10; 23/20; 23/20; 11/10; 11/10; 23/20; 11/10; 21/20; 11/10; 23/20; 11/10; 15/13; 15/13; 11/10; 21/20; 11/10; 15/13; 119/100; 9/8; 11/10; 6/5; ; 23/20; 23/20; 6/5
Chelsea; 23/10; 23/10; 23/10; 12/5; 5/2; 12/5; 9/4; 12/5; 12/5; 23/10; 5/2; 12/5; 23/10; 23/10; 12/5; 12/5; 12/5; 5/2; 5/2; 5/2; 12/5; 13/5; 12/5; 5/2; 23/10; ; 23/10; 12/5; 12/5
Draw; 5/2; 5/2; 5/2; 23/10; 5/2; 5/2; 5/2; 5/2; 13/5; 12/5; 9/4; 13/5; 51/20; 12/5; 13/5; 5/2; 27/11; 5/2; 12/5; 5/2; 27/11; 51/20; 5/2; 5/2; 12/5; ; 12/5; 12/5; 5/2
META; english/premier-league/man-city-v-chelsea; 2016-11-30 00:16:54 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 11/10; 23/20; 23/20; 11/10; 23/20; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 15/13; 15/13; 11/10; 21/20; 11/10; 15/13; 119/100; 9/8; 11/10; 6/5; ; 23/20; 23/20; 23/20
Chelsea; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; 9/4; 12/5; 12/5; 12/5; 5/2; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 5/2; 5/2; 5/2; 12/5; 13/5; 12/5; 5/2; 23/10; ; 12/5; 12/5; 5/2
Draw; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 5/2; 5/2; 13/5; 12/5; 9/4; 13/5; 51/20; 12/5; 13/5; 5/2; 27/11; 5/2; 12/5; 5/2; 27/11; 51/20; 5/2; 5/2; 12/5; ; 12/5; 12/5; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-11-30 04:16:50 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 11/10; 23/20; 23/20; 11/10; 23/20; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 15/13; 11/10; 11/10; 21/20; 11/10; 11/10; 119/100; 9/8; 11/10; 23/20; ; 23/20; 23/20; 6/5
Chelsea; 23/10; 23/10; 23/10; 12/5; 5/2; 12/5; 9/4; 12/5; 12/5; 12/5; 5/2; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 5/2; 5/2; 5/2; 12/5; 13/5; 12/5; 5/2; 12/5; ; 12/5; 12/5; 5/2
Draw; 5/2; 5/2; 5/2; 23/10; 5/2; 5/2; 5/2; 5/2; 13/5; 12/5; 9/4; 13/5; 51/20; 12/5; 13/5; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 51/20; 5/2; 5/2; 12/5; ; 12/5; 12/5; 5/2
META; english/premier-league/man-city-v-chelsea; 2016-11-30 08:16:49 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 11/10; 23/20; 23/20; 11/10; 23/20; 23/20; 11/10; 11/10; ; 11/10; 21/20; 11/10; 23/20; 11/10; 15/13; 11/10; 11/10; 21/20; 11/10; 11/10; 119/100; 9/8; 11/10; 23/20; ; 23/20; ; 6/5
Chelsea; 23/10; 23/10; 23/10; 12/5; 5/2; 12/5; 9/4; 12/5; 12/5; ; 5/2; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 5/2; 5/2; 5/2; 12/5; 13/5; 12/5; 5/2; 12/5; ; 12/5; ; 5/2
Draw; 5/2; 5/2; 5/2; 23/10; 5/2; 5/2; 5/2; 5/2; 13/5; ; 9/4; 13/5; 51/20; 12/5; 13/5; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 51/20; 5/2; 5/2; 12/5; ; 12/5; ; 5/2
META; english/premier-league/man-city-v-chelsea; 2016-11-30 12:18:09 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 11/10; 23/20; 23/20; 11/10; 23/20; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 15/13; 21/20; 23/20; 11/10; 119/100; 9/8; 15/13; 23/20; ; 23/20; 23/20; 6/5
Draw; 5/2; 5/2; 5/2; 23/10; 5/2; 5/2; 5/2; 5/2; 13/5; 12/5; 9/4; 13/5; 51/20; 12/5; 5/2; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 51/20; 5/2; 5/2; 12/5; ; 12/5; 12/5; 5/2
Chelsea; 23/10; 23/10; 23/10; 12/5; 5/2; 12/5; 9/4; 12/5; 12/5; 12/5; 5/2; 12/5; 23/10; 12/5; 5/2; 12/5; 27/11; 5/2; 5/2; 5/2; 27/11; 13/5; 12/5; 5/2; 12/5; ; 12/5; 12/5; 5/2
META; english/premier-league/man-city-v-chelsea; 2016-11-30 16:16:57 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 11/10; 23/20; 23/20; 11/10; ; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 15/13; 21/20; 23/20; 11/10; 59/50; 9/8; 15/13; 23/20; ; 23/20; 23/20; 6/5
Draw; 5/2; 5/2; 5/2; 23/10; 5/2; ; 5/2; 5/2; 13/5; 12/5; 5/2; 13/5; 51/20; 12/5; 5/2; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 129/50; 5/2; 5/2; 5/2; ; 12/5; 12/5; 5/2
Chelsea; 23/10; 23/10; 23/10; 12/5; 5/2; ; 9/4; 12/5; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 5/2; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 12/5; 5/2; 12/5; ; 12/5; 12/5; 5/2
META; english/premier-league/man-city-v-chelsea; 2016-11-30 20:17:29 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 11/10; 23/20; 23/20; 11/10; 23/20; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 15/13; 11/10; 7/6; 21/20; 23/20; 11/10; 59/50; 9/8; 7/6; 23/20; ; 23/20; 23/20; 6/5
Draw; 5/2; 5/2; 5/2; 23/10; 5/2; 5/2; 12/5; 5/2; 13/5; 12/5; 5/2; 13/5; 51/20; 12/5; 5/2; 5/2; 5/2; 28/11; 12/5; 5/2; 5/2; 129/50; 12/5; 28/11; 12/5; ; 12/5; 12/5; 5/2
Chelsea; 23/10; 23/10; 47/20; 12/5; 5/2; 12/5; 23/10; 5/2; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 5/2; 12/5; 5/2; 28/11; 5/2; 5/2; 5/2; 13/5; 27/11; 28/11; 12/5; ; 12/5; 12/5; 5/2
META; english/premier-league/man-city-v-chelsea; 2016-12-01 00:16:44 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 11/10; 23/20; 23/20; 11/10; 23/20; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 15/13; 11/10; 7/6; 21/20; 23/20; 11/10; 59/50; 9/8; 7/6; 23/20; ; 23/20; 23/20; 6/5
Draw; 5/2; 5/2; 5/2; 23/10; 5/2; 5/2; 12/5; 5/2; 13/5; 12/5; 5/2; 13/5; 51/20; 12/5; 5/2; 5/2; 5/2; 28/11; 12/5; 5/2; 5/2; 129/50; 12/5; 28/11; 12/5; ; 12/5; 12/5; 12/5
Chelsea; 23/10; 12/5; 47/20; 12/5; 5/2; 12/5; 23/10; 5/2; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 5/2; 12/5; 5/2; 28/11; 5/2; 5/2; 5/2; 13/5; 27/11; 28/11; 12/5; ; 12/5; 12/5; 5/2
META; english/premier-league/man-city-v-chelsea; 2016-12-01 04:16:53 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 11/10; 23/20; 23/20; 11/10; 23/20; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 15/13; 15/13; 7/6; 21/20; 23/20; 15/13; 59/50; 9/8; 7/6; 23/20; ; 23/20; 23/20; 6/5
Draw; 5/2; 5/2; 5/2; 23/10; 5/2; 5/2; 12/5; 5/2; 13/5; 12/5; 5/2; 13/5; 51/20; 12/5; 5/2; 5/2; 5/2; 28/11; 12/5; 5/2; 5/2; 129/50; 19/8; 28/11; 5/2; ; 12/5; 12/5; 5/2
Chelsea; 23/10; 12/5; 47/20; 12/5; 5/2; 12/5; 23/10; 5/2; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 5/2; 12/5; 27/11; 28/11; 5/2; 5/2; 27/11; 13/5; 27/11; 28/11; 12/5; ; 12/5; 12/5; 5/2
META; english/premier-league/man-city-v-chelsea; 2016-12-01 08:16:48 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 11/10; 23/20; 11/10; 11/10; 23/20; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 7/6; 21/20; 23/20; 11/10; 59/50; 9/8; 7/6; 23/20; ; 23/20; 23/20; 6/5
Draw; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 13/5; 12/5; 5/2; 13/5; 51/20; 12/5; 5/2; 13/5; 5/2; 28/11; 12/5; 5/2; 5/2; 129/50; 12/5; 28/11; 5/2; ; 12/5; 12/5; 5/2
Chelsea; 23/10; 12/5; 23/10; 12/5; 5/2; 12/5; 23/10; 5/2; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 5/2; 12/5; 28/11; 28/11; 5/2; 5/2; 28/11; 13/5; 5/2; 28/11; 12/5; ; 12/5; 12/5; 5/2
META; english/premier-league/man-city-v-chelsea; 2016-12-01 12:17:01 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 11/10; 11/10; 11/10; 6/5; 23/20; 23/20; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 11/10; 7/6; 21/20; 23/20; 11/10; 59/50; 9/8; 7/6; 23/20; ; 10/9; 10/9; 23/20
Draw; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 12/5; 5/2; 13/5; 12/5; 5/2; 12/5; 51/20; 12/5; 5/2; 13/5; 28/11; 28/11; 12/5; 5/2; 28/11; 129/50; 12/5; 28/11; 5/2; ; 12/5; 12/5; 5/2
Chelsea; 23/10; 12/5; 47/20; 12/5; 5/2; 12/5; 23/10; 5/2; 12/5; 5/2; 12/5; 13/5; 23/10; 12/5; 5/2; 12/5; 13/5; 28/11; 5/2; 5/2; 13/5; 13/5; 5/2; 28/11; 12/5; ; 5/2; 5/2; 5/2
META; english/premier-league/man-city-v-chelsea; 2016-12-01 16:17:00 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; 11/10; 11/10; 21/20; 6/5; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 23/20; 21/20; 11/10; 21/20; 11/10; 11/10; 13/12; 21/20; 21/20; 11/10; 117/100; 19/17; 13/12; 11/10; ; 10/9; 10/9; 23/20
Draw; 5/2; 5/2; 13/5; 13/5; 5/2; 5/2; 13/5; 5/2; 13/5; 13/5; 5/2; 12/5; 51/20; 13/5; 5/2; 5/2; 28/11; 13/5; 12/5; 13/5; 28/11; 51/20; 5/2; 13/5; 5/2; ; 12/5; 5/2; 5/2
Chelsea; 23/10; 12/5; 49/20; 5/2; 5/2; 12/5; 13/5; 5/2; 5/2; 5/2; 5/2; 13/5; 49/20; 13/5; 13/5; 12/5; 28/11; 11/4; 5/2; 11/4; 28/11; 53/20; 28/11; 11/4; 12/5; ; 5/2; 13/5; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-01 20:17:12 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 21/20; 11/10; 11/10; 21/20; 6/5; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 23/20; 21/20; 23/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 23/20; 17/16; 11/10; 11/10; ; 11/10; 21/20; 10/9
Draw; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 5/2; 5/2; 13/5; 13/5; 5/2; 12/5; 51/20; 13/5; 5/2; 5/2; 28/11; 13/5; 12/5; 13/5; 28/11; 13/5; 5/2; 13/5; 5/2; ; 12/5; 12/5; 13/5
Chelsea; 5/2; 12/5; 49/20; 13/5; 5/2; 12/5; 27/10; 5/2; 5/2; 5/2; 5/2; 13/5; 49/20; 13/5; 13/5; 12/5; 45/17; 27/10; 5/2; 27/10; 45/17; 53/20; 27/10; 27/10; 5/2; ; 13/5; 13/5; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-02 00:16:49 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 21/20; 11/10; 11/10; 21/20; 6/5; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 23/20; 21/20; 23/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 23/20; 17/16; 11/10; 11/10; ; 11/10; 10/9; 10/9
Draw; 5/2; 5/2; 27/10; 12/5; 5/2; 5/2; 5/2; 5/2; 13/5; 13/5; 5/2; 12/5; 51/20; 13/5; 5/2; 5/2; 28/11; 13/5; 12/5; 13/5; 28/11; 13/5; 5/2; 13/5; 5/2; ; 12/5; 12/5; 13/5
Chelsea; 5/2; 12/5; 5/2; 13/5; 5/2; 12/5; 27/10; 5/2; 5/2; 5/2; 5/2; 13/5; 49/20; 13/5; 13/5; 12/5; 13/5; 27/10; 5/2; 27/10; 13/5; 53/20; 13/5; 27/10; 5/2; ; 5/2; 5/2; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-02 01:45:36 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 21/20; 11/10; 21/20; 6/5; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 23/20; 21/20; 23/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 23/20; 17/16; 11/10; 11/10; ; 11/10; 21/20; 10/9
Draw; 13/5; 5/2; 27/10; 12/5; 5/2; 5/2; 5/2; 5/2; 13/5; 13/5; 5/2; 12/5; 51/20; 13/5; 5/2; 5/2; 28/11; 13/5; 12/5; 13/5; 28/11; 13/5; 5/2; 13/5; 5/2; ; 12/5; 12/5; 13/5
Chelsea; 13/5; 5/2; 5/2; 13/5; 5/2; 12/5; 27/10; 5/2; 5/2; 5/2; 5/2; 13/5; 49/20; 13/5; 13/5; 12/5; 13/5; 27/10; 5/2; 27/10; 13/5; 53/20; 27/10; 27/10; 5/2; ; 13/5; 13/5; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-02 03:45:36 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 21/20; 11/10; 21/20; 6/5; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 23/20; 21/20; 23/20; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 11/10; 23/20; 17/16; 11/10; 23/20; ; 11/10; 10/9; 10/9
Draw; 13/5; 5/2; 27/10; 12/5; 5/2; 5/2; 5/2; 5/2; 13/5; 13/5; 5/2; 12/5; 51/20; 13/5; 5/2; 5/2; 28/11; 13/5; 12/5; 13/5; 28/11; 13/5; 5/2; 13/5; 5/2; ; 12/5; 12/5; 13/5
Chelsea; 13/5; 5/2; 5/2; 13/5; 5/2; 12/5; 27/10; 5/2; 5/2; 5/2; 5/2; 13/5; 49/20; 13/5; 13/5; 12/5; 28/11; 27/10; 5/2; 27/10; 28/11; 53/20; 27/10; 27/10; 5/2; ; 5/2; 5/2; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-02 04:17:05 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 21/20; 11/10; 21/20; 6/5; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 23/20; 21/20; 23/20; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 11/10; 23/20; 17/16; 11/10; 23/20; ; 11/10; 10/9; 10/9
Draw; 13/5; 5/2; 27/10; 12/5; 5/2; 5/2; 5/2; 5/2; 13/5; 13/5; 5/2; 12/5; 51/20; 13/5; 5/2; 5/2; 28/11; 13/5; 12/5; 13/5; 28/11; 13/5; 5/2; 13/5; 5/2; ; 12/5; 12/5; 13/5
Chelsea; 13/5; 5/2; 5/2; 13/5; 5/2; 12/5; 27/10; 5/2; 5/2; 5/2; 5/2; 13/5; 49/20; 13/5; 13/5; 12/5; 28/11; 27/10; 5/2; 27/10; 28/11; 53/20; 27/10; 27/10; 5/2; ; 5/2; 5/2; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-02 05:45:37 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 21/20; 11/10; 21/20; 6/5; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 23/20; 21/20; 23/20; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 11/10; 23/20; 17/16; 11/10; 11/10; ; 11/10; 21/20; 10/9
Draw; 13/5; 5/2; 27/10; 12/5; 5/2; 5/2; 5/2; 5/2; 13/5; 13/5; 5/2; 12/5; 51/20; 13/5; 5/2; 5/2; 28/11; 13/5; 12/5; 13/5; 28/11; 13/5; 5/2; 13/5; 5/2; ; 12/5; 12/5; 13/5
Chelsea; 13/5; 5/2; 5/2; 13/5; 5/2; 12/5; 27/10; 5/2; 5/2; 5/2; 5/2; 13/5; 49/20; 13/5; 13/5; 12/5; 28/11; 27/10; 5/2; 27/10; 28/11; 53/20; 27/10; 27/10; 5/2; ; 5/2; 5/2; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-02 06:29:31 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 21/20; 11/10; 21/20; 6/5; ; 11/10; 11/10; 11/10; 11/10; 21/20; 23/20; 21/20; 23/20; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 11/10; 23/20; 17/16; 11/10; 11/10; ; 11/10; 21/20; 10/9
Draw; 13/5; 5/2; 27/10; 12/5; 5/2; ; 5/2; 5/2; 13/5; 13/5; 5/2; 12/5; 51/20; 13/5; 5/2; 5/2; 28/11; 13/5; 12/5; 13/5; 28/11; 13/5; 5/2; 13/5; 5/2; ; 12/5; 12/5; 13/5
Chelsea; 13/5; 5/2; 5/2; 13/5; 5/2; ; 27/10; 5/2; 5/2; 5/2; 5/2; 13/5; 49/20; 13/5; 13/5; 12/5; 28/11; 27/10; 5/2; 27/10; 28/11; 53/20; 27/10; 27/10; 5/2; ; 5/2; 5/2; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-02 07:45:38 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 21/20; 11/10; 21/20; 6/5; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 23/20; 21/20; 23/20; 21/20; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 23/20; 17/16; 11/10; 23/20; ; 11/10; 10/9; 10/9
Draw; 13/5; 5/2; 27/10; 12/5; 5/2; 5/2; 5/2; 5/2; 13/5; 13/5; 5/2; 12/5; 51/20; 5/2; 5/2; 5/2; 28/11; 13/5; 5/2; 13/5; 28/11; 13/5; 5/2; 13/5; 5/2; ; 12/5; 12/5; 13/5
