META; english/premier-league/bournemouth-v-tottenham; 2016-09-27 00:17:32 GMT+3; 2016-10-22 12:30; e70300-dr003
META; english/premier-league/bournemouth-v-tottenham; 2016-10-16 00:17:09 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 5/6; 5/6; 19/20; ; 9/10; 19/20; 19/20; 4/5; 10/11; 10/11; 5/6; 10/11; 9/10; 19/20; 9/10; 10/11; 13/15; 9/10; 5/6; 9/10; 13/15; 19/20; 10/11; 9/10; 10/11; ; 9/10; ; 
Draw; 12/5; 5/2; 5/2; ; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 5/2; 51/20; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 5/2; 5/2; 45/17; 5/2; 5/2; 12/5; ; 23/10; ; 
Bournemouth; 7/2; 10/3; 29/10; ; 10/3; 3; 16/5; 10/3; 3; 3; 10/3; 3; 3; 14/5; 16/5; 10/3; 58/19; 3; 3; 3; 58/19; 17/5; 41/13; 3; 3; ; 3; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-16 04:16:53 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 5/6; 5/6; 1; ; 9/10; 19/20; 19/20; 4/5; 10/11; 10/11; 5/6; 10/11; 9/10; 19/20; 9/10; 10/11; 10/11; 9/10; 5/6; 9/10; 10/11; 19/20; 10/11; 9/10; 10/11; ; 5/6; ; 
Draw; 12/5; 5/2; 5/2; ; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 5/2; 51/20; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 5/2; 5/2; 45/17; 5/2; 5/2; 12/5; ; 23/10; ; 
Bournemouth; 7/2; 10/3; 29/10; ; 10/3; 3; 16/5; 10/3; 3; 3; 10/3; 3; 3; 14/5; 16/5; 10/3; 3; 3; 3; 3; 3; 17/5; 41/13; 3; 3; ; 3; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-16 08:16:58 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 5/6; 1; ; 9/10; 19/20; 20/21; 4/5; 10/11; 10/11; 5/6; 10/11; 10/11; 19/20; 9/10; 10/11; 10/11; 9/10; 5/6; 9/10; 10/11; 19/20; 10/11; 9/10; 19/20; ; 5/6; ; 
Draw; 5/2; 5/2; 49/20; ; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 5/2; 5/2; 45/17; 5/2; 5/2; 12/5; ; 23/10; ; 
Bournemouth; 14/5; 10/3; 14/5; ; 10/3; 3; 16/5; 10/3; 3; 3; 10/3; 3; 3; 14/5; 16/5; 10/3; 3; 3; 3; 3; 3; 17/5; 41/13; 3; 11/4; ; 3; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-16 12:17:20 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 5/6; 1; 20/23; 9/10; 19/20; 20/21; 4/5; 10/11; 10/11; 5/6; 10/11; 10/11; 19/20; 9/10; 10/11; 10/11; 9/10; 5/6; 9/10; ; 19/20; 10/11; 9/10; 19/20; ; 5/6; ; 
Draw; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 5/2; 51/20; 13/5; 5/2; 13/5; 5/2; 5/2; 13/5; 5/2; ; 45/17; 5/2; 5/2; 5/2; ; 12/5; ; 
Bournemouth; 14/5; 10/3; 11/4; 3; 10/3; 3; 16/5; 10/3; 3; 14/5; 10/3; 3; 59/20; 27/10; 16/5; 10/3; 3; 3; 3; 3; ; 17/5; 41/13; 3; 11/4; ; 3; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-16 16:17:11 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 20/23; 9/10; 19/20; 20/21; 4/5; 10/11; 10/11; 5/6; 10/11; ; 1; 10/11; 10/11; 10/11; 9/10; 5/6; 9/10; 10/11; 19/20; 10/11; 9/10; 19/20; ; 10/11; ; 10/11
Draw; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 5/2; ; 13/5; 13/5; 13/5; 5/2; 5/2; 13/5; 5/2; 5/2; 45/17; 5/2; 5/2; 5/2; ; 12/5; ; 13/5
Bournemouth; 14/5; 11/4; 11/4; 3; 10/3; 3; 16/5; 10/3; 3; 14/5; 10/3; 3; ; 13/5; 3; 10/3; 58/19; 3; 3; 3; 3; 17/5; 41/13; 3; 11/4; ; 3; ; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-16 20:17:01 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 19/20; 10/11; 9/10; 10/11; 19/20; 4/5; 10/11; 10/11; 5/6; 10/11; 10/11; 10/11; 10/11; 19/20; 10/11; 9/10; 10/11; 9/10; 10/11; 28/29; 10/11; 9/10; 10/11; ; 9/10; 5/6; 10/11
Draw; 5/2; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 5/2; 51/20; 5/2; 13/5; 13/5; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 5/2; 5/2; 12/5; ; 12/5; 11/5; 13/5
Bournemouth; 14/5; 11/4; 29/10; 14/5; 10/3; 3; 16/5; 10/3; 3; 3; 10/3; 3; 59/20; 29/10; 3; 10/3; 58/19; 3; 27/10; 3; 58/19; 57/17; 41/13; 3; 14/5; ; 3; 13/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-17 00:16:56 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 10/11; 1; 1; 9/10; 19/20; 1; 4/5; 1; 20/21; 5/6; 10/11; 19/20; 1; 10/11; 19/20; 19/20; 9/10; 10/11; 9/10; 19/20; 28/29; 15/16; 9/10; 19/20; ; 10/11; 20/21; 20/21
Draw; 5/2; 13/5; 5/2; 23/10; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 13/5; 27/11; 28/11; 13/5; 5/2; 27/11; 13/5; 28/11; 28/11; 12/5; ; 12/5; 11/5; 13/5
Bournemouth; 14/5; 29/10; 27/10; 14/5; 10/3; 14/5; 3; 10/3; 14/5; 13/5; 10/3; 3; 14/5; 27/10; 3; 10/3; 37/13; 3; 27/10; 3; 37/13; 57/17; 29/10; 3; 11/4; ; 3; 12/5; 14/5
META; english/premier-league/bournemouth-v-tottenham; 2016-10-17 04:16:51 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 10/11; 1; 1; 9/10; 19/20; 20/21; 4/5; 1; 20/21; 5/6; 10/11; 10/11; 1; 10/11; 19/20; 19/20; 9/10; 10/11; 9/10; 19/20; 28/29; 15/16; 9/10; 19/20; ; 10/11; 10/11; 20/21
Draw; 5/2; 13/5; 5/2; 23/10; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 5/2; 51/20; 5/2; 13/5; 13/5; 5/2; 28/11; 13/5; 5/2; 5/2; 13/5; 28/11; 28/11; 12/5; ; 12/5; 11/5; 13/5
Bournemouth; 14/5; 29/10; 27/10; 14/5; 10/3; 14/5; 31/10; 10/3; 14/5; 11/4; 10/3; 3; 57/20; 27/10; 3; 10/3; 14/5; 3; 27/10; 3; 14/5; 57/17; 29/10; 3; 11/4; ; 3; 5/2; 14/5
META; english/premier-league/bournemouth-v-tottenham; 2016-10-17 08:16:46 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 10/11; 1; 1; 9/10; 19/20; 20/21; 4/5; 1; 20/21; 5/6; 10/11; 10/11; 1; 10/11; 19/20; 19/20; 9/10; 10/11; 9/10; 19/20; 28/29; 15/16; 9/10; 19/20; ; 10/11; 10/11; 20/21
Draw; 5/2; 13/5; 5/2; 23/10; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 5/2; 51/20; 12/5; 13/5; 13/5; 5/2; 28/11; 13/5; 5/2; 5/2; 13/5; 28/11; 28/11; 12/5; ; 5/2; 12/5; 13/5
Bournemouth; 14/5; 29/10; 11/4; 14/5; 10/3; 14/5; 31/10; 10/3; 14/5; 11/4; 10/3; 3; 57/20; 14/5; 3; 10/3; 37/13; 3; 27/10; 3; 37/13; 57/17; 29/10; 3; 11/4; ; 3; 14/5; 14/5
META; english/premier-league/bournemouth-v-tottenham; 2016-10-17 12:17:04 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 20/21; 9/10; 19/20; 1; 20/21; 1; 20/21; 1; 10/11; 19/20; 1; 19/20; 1; 19/20; 9/10; 10/11; 9/10; 19/20; 39/40; 22/23; 9/10; 19/20; ; 10/11; 20/21; 20/21
Draw; 5/2; 5/2; 5/2; 12/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; 13/5; 5/2; 28/11; 13/5; 5/2; 5/2; 13/5; 28/11; 28/11; 12/5; ; 5/2; 5/2; 13/5
Bournemouth; 14/5; 14/5; 11/4; 14/5; 10/3; 14/5; 3; 14/5; 14/5; 11/4; 3; 3; 14/5; 14/5; 14/5; 3; 37/13; 3; 27/10; 3; 37/13; 33/10; 37/13; 3; 11/4; ; 3; 3; 14/5
META; english/premier-league/bournemouth-v-tottenham; 2016-10-17 16:17:02 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 20/21; 1; 19/20; 1; 10/11; 1; 20/21; 1; 10/11; 19/20; 1; 19/20; 1; 19/20; 19/20; 10/11; 20/21; 19/20; 39/40; 22/23; 19/20; 1; ; 20/21; 20/21; 1
Draw; 5/2; 5/2; 5/2; 12/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; 13/5; 5/2; 28/11; 13/5; 5/2; 5/2; 13/5; 28/11; 28/11; 5/2; ; 5/2; 5/2; 13/5
Bournemouth; 14/5; 14/5; 14/5; 14/5; 3; 3; 3; 14/5; 14/5; 14/5; 3; 3; 57/20; 14/5; 14/5; 3; 56/19; 29/10; 27/10; 14/5; 56/19; 33/10; 37/13; 29/10; 14/5; ; 14/5; 3; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-17 20:17:08 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 20/21; 1; 1; 1; 10/11; 1; 20/21; 1; 10/11; 19/20; 1; 19/20; 1; 1; 19/20; 10/11; 20/21; 1; ; 28/29; 19/20; 1; ; 20/21; 20/21; 21/20
Draw; 5/2; 5/2; 5/2; 12/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; 13/5; 5/2; 28/11; 13/5; 5/2; 5/2; ; 28/11; 28/11; 5/2; ; 5/2; 5/2; 5/2
Bournemouth; 14/5; 14/5; 14/5; 14/5; 3; 14/5; 3; 14/5; 14/5; 13/5; 3; 3; 14/5; 14/5; 14/5; 3; 14/5; 29/10; 27/10; 14/5; 14/5; ; 37/13; 29/10; 14/5; ; 14/5; 3; 14/5
META; english/premier-league/bournemouth-v-tottenham; 2016-10-18 00:16:50 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 20/21; 1; 1; 1; 10/11; 1; 20/21; 1; 10/11; 19/20; 1; 19/20; 1; 1; 19/20; 10/11; 20/21; 1; 39/40; 28/29; 19/20; 1; ; 20/21; 20/21; 21/20
Draw; 5/2; 5/2; 5/2; 12/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; 13/5; 5/2; 28/11; 13/5; 5/2; 5/2; 13/5; 28/11; 28/11; 5/2; ; 5/2; 12/5; 5/2
Bournemouth; 14/5; 14/5; 14/5; 14/5; 3; 14/5; 3; 14/5; 14/5; 13/5; 3; 3; 14/5; 14/5; 14/5; 3; 14/5; 29/10; 27/10; 14/5; 14/5; 33/10; 37/13; 29/10; 14/5; ; 14/5; 14/5; 14/5
META; english/premier-league/bournemouth-v-tottenham; 2016-10-18 04:16:48 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 20/21; 1; 1; 1; 10/11; 1; 20/21; 1; 10/11; 19/20; 19/20; 19/20; 1; 19/20; 19/20; 10/11; 20/21; 19/20; 68/67; 1; 19/20; 1; ; 20/21; 20/21; 1
Draw; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; 13/5; 28/11; 28/11; 13/5; 5/2; 28/11; 33/13; 28/11; 28/11; 5/2; ; 5/2; 12/5; 5/2
Bournemouth; 14/5; 14/5; 14/5; 11/4; 3; 14/5; 3; 14/5; 14/5; 13/5; 3; 3; 57/20; 14/5; 14/5; 3; 56/19; 29/10; 27/10; 14/5; 56/19; 13/4; 27/10; 29/10; 14/5; ; 14/5; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-18 08:16:49 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 20/21; 1; 1; 1; 10/11; 1; 20/21; 1; 10/11; 19/20; 19/20; 19/20; 1; 19/20; 19/20; 10/11; 20/21; 19/20; 68/67; 1; 19/20; 1; ; 20/21; 20/21; 1
Draw; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; 13/5; 27/11; 28/11; 13/5; 5/2; 27/11; 33/13; 28/11; 28/11; 5/2; ; 5/2; 12/5; 5/2
Bournemouth; 14/5; 14/5; 14/5; 11/4; 3; 14/5; 3; 14/5; 14/5; 13/5; 3; 3; 57/20; 14/5; 14/5; 3; 29/10; 29/10; 27/10; 14/5; 29/10; 13/4; 27/10; 29/10; 14/5; ; 14/5; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-18 12:16:58 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 20/21; 1; 1; 1; 10/11; 1; 20/21; 1; 10/11; 19/20; 1; 19/20; 1; 19/20; 19/20; 10/11; 20/21; 19/20; 42/41; 28/29; 19/20; 1; ; 1; 1; 1
Draw; 5/2; 5/2; 5/2; 12/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; 13/5; 27/11; 28/11; 13/5; 5/2; 27/11; 13/5; 28/11; 28/11; 5/2; ; 5/2; 5/2; 5/2
Bournemouth; 14/5; 14/5; 11/4; 13/5; 3; 14/5; 3; 14/5; 14/5; 13/5; 3; 3; 57/20; 14/5; 14/5; 3; 29/10; 29/10; 27/10; 14/5; 29/10; 31/10; 14/5; 29/10; 14/5; ; 14/5; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-18 16:17:03 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 20/21; 1; 1; 1; 10/11; 1; 20/21; 1; 10/11; 19/20; 1; 19/20; 1; 19/20; 19/20; 10/11; 20/21; 19/20; ; 28/29; 19/20; 1; ; 20/21; 20/21; 1
Draw; 5/2; 5/2; 5/2; 12/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 13/5; 27/11; 28/11; 13/5; 5/2; 27/11; ; 28/11; 28/11; 5/2; ; 5/2; 5/2; 5/2
Bournemouth; 14/5; 14/5; 11/4; 13/5; 3; 14/5; 3; 3; 14/5; 14/5; 3; 3; 14/5; 14/5; 14/5; 3; 29/10; 29/10; 27/10; 14/5; 29/10; ; 14/5; 29/10; 14/5; ; 14/5; 3; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-18 20:17:10 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 20/21; 1; 19/20; 1; 10/11; 1; 20/21; 1; 10/11; 10/11; 19/20; 19/20; 1; 19/20; 19/20; 10/11; 20/21; 19/20; 42/41; 39/40; 19/20; 1; ; 20/21; 20/21; 1
Draw; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 5/2; 51/20; 5/2; 13/5; 13/5; 5/2; 28/11; 13/5; 5/2; 5/2; 13/5; 13/5; 28/11; 5/2; ; 5/2; 5/2; 13/5
Bournemouth; 14/5; 14/5; 14/5; 13/5; 3; 14/5; 3; 3; 14/5; 14/5; 3; 3; 29/10; 14/5; 14/5; 3; 56/19; 29/10; 27/10; 14/5; 56/19; 31/10; 27/10; 29/10; 14/5; ; 14/5; 3; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-19 00:16:47 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 20/21; 1; 19/20; 1; 10/11; 1; 20/21; 1; 10/11; 10/11; 19/20; 19/20; 1; 19/20; 19/20; 10/11; 20/21; 19/20; 42/41; 39/40; 19/20; 1; ; 20/21; 20/21; 1
Draw; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 5/2; 51/20; 12/5; 13/5; 13/5; 5/2; 28/11; 13/5; 5/2; 5/2; 13/5; 13/5; 28/11; 5/2; ; 5/2; 5/2; 13/5
Bournemouth; 14/5; 14/5; 14/5; 13/5; 3; 14/5; 3; 14/5; 14/5; 14/5; 3; 3; 57/20; 29/10; 14/5; 3; 29/10; 29/10; 27/10; 14/5; 29/10; 31/10; 27/10; 29/10; 14/5; ; 14/5; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-19 04:16:27 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 20/21; 1; 1; 1; 10/11; 1; 20/21; 1; 10/11; 19/20; 1; 19/20; 1; 1; 19/20; 10/11; 20/21; 1; 42/41; 39/40; 19/20; 1; ; 20/21; 20/21; 1
Draw; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 5/2; 51/20; 12/5; 13/5; 13/5; 5/2; 28/11; 13/5; 5/2; 5/2; 13/5; 13/5; 28/11; 5/2; ; 5/2; 12/5; 13/5
Bournemouth; 14/5; 11/4; 11/4; 13/5; 3; 14/5; 29/10; 14/5; 14/5; 13/5; 3; 3; 11/4; 11/4; 14/5; 3; 37/13; 29/10; 27/10; 14/5; 37/13; 31/10; 27/10; 29/10; 11/4; ; 14/5; 14/5; 14/5
META; english/premier-league/bournemouth-v-tottenham; 2016-10-19 08:16:33 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 20/21; 1; 1; 1; 10/11; 1; 20/21; 1; 10/11; 19/20; 1; 19/20; 1; 1; 19/20; 10/11; 20/21; 1; 42/41; 28/29; 19/20; 1; ; 20/21; 20/21; 1
Draw; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 27/10; 13/5; 13/5; 5/2; 5/2; 5/2; 51/20; 12/5; 13/5; 13/5; 5/2; 28/11; 13/5; 5/2; 5/2; 13/5; 13/5; 28/11; 5/2; ; 5/2; 12/5; 13/5
Bournemouth; 14/5; 11/4; 11/4; 11/4; 3; 14/5; 29/10; 14/5; 14/5; 13/5; 3; 3; 11/4; 11/4; 14/5; 3; 37/13; 29/10; 27/10; 14/5; 37/13; 31/10; 11/4; 29/10; 11/4; ; 14/5; 14/5; 14/5
META; english/premier-league/bournemouth-v-tottenham; 2016-10-19 12:17:05 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 20/21; 1; 1; 1; 10/11; 1; 20/21; 1; 10/11; 19/20; 1; 19/20; 1; 1; 1; 10/11; ; 1; 42/41; 28/29; ; 1; ; 20/21; 20/21; 1
Draw; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 27/10; 13/5; 13/5; 5/2; 5/2; 5/2; 51/20; 12/5; 13/5; 13/5; 5/2; 28/11; 13/5; ; 5/2; 13/5; 13/5; ; 5/2; ; 5/2; 12/5; 13/5
Bournemouth; 14/5; 13/5; 11/4; 11/4; 3; 14/5; 29/10; 14/5; 14/5; 13/5; 3; 3; 11/4; 11/4; 14/5; 3; 37/13; 29/10; 27/10; ; 37/13; 31/10; 11/4; ; 11/4; ; 14/5; 14/5; 14/5
META; english/premier-league/bournemouth-v-tottenham; 2016-10-19 16:16:45 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 20/21; 1; 1; 1; 10/11; 1; 20/21; 1; 10/11; 19/20; 1; 19/20; 1; 1; 1; 10/11; 1; 1; 1; 28/29; 1; 1; ; 20/21; 20/21; 1
Draw; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 27/10; 13/5; 13/5; 5/2; 5/2; 5/2; 51/20; 12/5; 13/5; 13/5; 28/11; 28/11; 13/5; 5/2; 28/11; 45/17; 13/5; 28/11; 5/2; ; 5/2; 12/5; 13/5
Bournemouth; 14/5; 11/4; 27/10; 11/4; 3; 14/5; 29/10; 14/5; 14/5; 13/5; 3; 3; 11/4; 27/10; 14/5; 3; 37/13; 29/10; 27/10; 14/5; 37/13; 31/10; 11/4; 29/10; 11/4; ; 14/5; 14/5; 14/5
META; english/premier-league/bournemouth-v-tottenham; 2016-10-19 20:16:36 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 20/21; 1; 1; 1; 10/11; 1; 20/21; 1; 10/11; 19/20; 1; 19/20; 1; 1; 42/41; 10/11; 1; 1; 1; 28/29; 42/41; 1; ; 20/21; 20/21; 1
Draw; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 27/10; 13/5; 13/5; 5/2; 5/2; 5/2; 51/20; 12/5; 13/5; 13/5; 28/11; 13/5; 13/5; 13/5; 28/11; 45/17; 13/5; 13/5; 5/2; ; 5/2; 12/5; 13/5
Bournemouth; 14/5; 11/4; 27/10; 11/4; 3; 14/5; 29/10; 14/5; 14/5; 13/5; 3; 3; 11/4; 27/10; 14/5; 3; 37/13; 3; 27/10; 3; 37/13; 31/10; 11/4; 3; 11/4; ; 14/5; 14/5; 14/5
META; english/premier-league/bournemouth-v-tottenham; 2016-10-20 00:16:27 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 1; 1; 20/21; 1; 1; 1; 19/20; 1; 20/21; 1; 10/11; 19/20; 1; 19/20; ; 1; 42/41; 10/11; 1; 1; 1; 28/29; 42/41; 1; ; 20/21; 20/21; 1
Draw; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 27/10; 13/5; 13/5; 5/2; 5/2; 5/2; 51/20; 12/5; 13/5; ; 5/2; 13/5; 13/5; 13/5; 5/2; 45/17; 13/5; 13/5; 5/2; ; 13/5; 12/5; 13/5
Bournemouth; 14/5; 13/5; 27/10; 11/4; 3; 14/5; 29/10; 14/5; 14/5; 13/5; 3; 3; 11/4; 27/10; 14/5; ; 37/13; 3; 27/10; 3; 37/13; 31/10; 11/4; 3; 11/4; ; 14/5; 14/5; 14/5
META; english/premier-league/bournemouth-v-tottenham; 2016-10-20 04:16:10 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 1; 1; 20/21; 1; 1; 1; 19/20; 1; ; 1; 10/11; 19/20; 1; 19/20; 1; 1; 42/41; 10/11; 1; 1; 1; 28/29; 42/41; 1; ; 20/21; 20/21; 1
Draw; 5/2; 13/5; 5/2; 12/5; 5/2; 13/5; 27/10; 13/5; 13/5; ; 5/2; 5/2; 51/20; 12/5; 13/5; 13/5; 28/11; 13/5; 13/5; 13/5; 28/11; 45/17; 13/5; 13/5; 5/2; ; 13/5; 12/5; 13/5
Bournemouth; 14/5; 13/5; 11/4; 14/5; 3; 14/5; 29/10; 14/5; 14/5; ; 3; 3; 11/4; 11/4; 14/5; 3; 56/19; 3; 27/10; 3; 56/19; 31/10; 11/4; 3; 11/4; ; 14/5; 14/5; 14/5
META; english/premier-league/bournemouth-v-tottenham; 2016-10-20 08:16:15 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 20/21; 1; 1; 1; 19/20; 1; 20/21; 1; 10/11; 19/20; 1; 19/20; 1; 1; 42/41; 10/11; 1; 1; 1; 28/29; 42/41; 1; ; 20/21; 20/21; 1
Draw; 5/2; 13/5; 5/2; 12/5; 5/2; 13/5; 27/10; 13/5; 13/5; 5/2; 5/2; 5/2; 51/20; 12/5; 13/5; 13/5; 28/11; 13/5; 13/5; 13/5; 28/11; 45/17; 13/5; 13/5; 5/2; ; 13/5; 12/5; 13/5
Bournemouth; 14/5; 13/5; 11/4; 14/5; 3; 14/5; 29/10; 14/5; 14/5; 13/5; 3; 3; 11/4; 11/4; 14/5; 3; 56/19; 3; 27/10; 3; 37/13; 31/10; 11/4; 3; 11/4; ; 14/5; 14/5; 14/5
META; english/premier-league/bournemouth-v-tottenham; 2016-10-20 12:16:12 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 20/21; 1; 1; 1; 19/20; 1; 20/21; 1; 10/11; 19/20; 1; 19/20; 1; 1; 42/41; 10/11; 1; 1; 1; 39/40; 42/41; 1; ; 20/21; 20/21; 1
Draw ; 5/2; 13/5; 5/2; 12/5; 11/4; 13/5; 27/10; 13/5; 13/5; 5/2; 13/5; 5/2; 51/20; 12/5; 13/5; 13/5; 28/11; 13/5; 13/5; 13/5; 28/11; 45/17; 13/5; 13/5; 5/2; ; 13/5; 13/5; 13/5
Bournemouth; 14/5; 13/5; 11/4; 14/5; 3; 14/5; 29/10; 14/5; 14/5; 13/5; 3; 3; 11/4; 11/4; 14/5; 3; 37/13; 3; 27/10; 3; 37/13; 31/10; 11/4; 3; 11/4; ; 14/5; 14/5; 14/5
META; english/premier-league/bournemouth-v-tottenham; 2016-10-20 16:16:13 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 20/21; 1; 19/20; 20/21; 19/20; 1; 20/21; 1; 1; 19/20; 19/20; 19/20; 1; 1; 42/41; 10/11; 1; 1; 1; 15/16; 42/41; 1; ; 20/21; 20/21; 1
Draw ; 5/2; 5/2; 5/2; 5/2; 11/4; 13/5; 27/10; 13/5; 13/5; 13/5; 13/5; 13/5; 51/20; 12/5; 13/5; 13/5; 28/11; 13/5; 13/5; 13/5; 28/11; 45/17; 13/5; 13/5; 5/2; ; 13/5; 13/5; 13/5
Bournemouth; 14/5; 14/5; 11/4; 11/4; 3; 14/5; 3; 14/5; 14/5; 11/4; 3; 14/5; 14/5; 14/5; 14/5; 3; 29/10; 3; 27/10; 3; 29/10; 31/10; 29/10; 3; 14/5; ; 14/5; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-20 20:16:40 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 20/21; 1; 19/20; 1; 19/20; 1; 20/21; 1; 1; 19/20; 19/20; 19/20; 1; 19/20; 22/23; 10/11; ; 19/20; 19/20; 39/40; 22/23; 19/20; ; 20/21; 20/21; 1
Draw ; 5/2; 13/5; 5/2; 5/2; 11/4; 13/5; 27/10; 13/5; 13/5; 13/5; 13/5; 13/5; 51/20; 12/5; 13/5; 13/5; 28/11; 45/17; 13/5; ; 28/11; 45/17; 13/5; 45/17; 5/2; ; 13/5; 13/5; 13/5
