META; english/premier-league/swansea-v-tottenham; 2017-03-19 16:16:57 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; ; ; 8/15; ; ; ; ; 4/6; 8/13; ; ; ; ; ; ; ; ; 4/7; ; ; 8/13; ; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 13/5; 14/5; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; ; 
Swansea; ; ; 5; ; ; ; ; 4; 5; ; ; ; ; ; ; ; ; 9/2; ; ; 29/5; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-19 20:16:43 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; ; ; 8/15; ; ; ; ; 4/6; 4/6; 4/6; 8/13; ; ; ; 4/6; 7/10; 8/13; 4/7; ; 8/13; 69/100; ; ; ; ; ; ; ; 
Any Other Score; ; ; 35; ; ; ; ; 35; 66; ; ; ; ; ; ; ; ; ; ; ; ; 40; ; 50; ; ; ; ; 
Rubin Kazan 3-0; 50; 50; 50; 50; ; 50; 60; 70; 66; 50; 55; 40; 66; ; 50; ; 183/4; ; 50; 183/4; ; 60; 50; 50; 50; ; ; 98; 
Zenit 4-2; 66; 66; 70; 80; ; 50; 75; 90; 100; 66; 70; 40; 66; ; 50; ; 62; ; 75; 62; ; 100; 75; 50; 75; ; ; ; 
Draw 3-3; 66; 80; 70; 80; ; 66; 80; 90; 100; 75; 80; 50; 75; ; 66; ; 267/4; ; 100; 267/4; ; 120; 100; 50; 100; ; ; 108; 
Zenit 5-0; 80; 100; ; 125; ; 80; 110; 150; 100; 100; 100; 50; 100; ; 80; ; 281/4; ; 90; 281/4; ; ; 90; 80; 90; ; ; ; 
Zenit 5-1; 80; 100; ; 125; ; 80; 110; 150; 100; 100; 100; 50; 100; ; 80; ; 295/4; ; 100; 295/4; ; ; 100; 80; 100; ; ; ; 
Rubin Kazan 4-1; 100; 100; 110; 100; ; 100; 110; 175; 100; 100; 100; 66; 125; ; 80; ; 157/2; ; 130; 157/2; ; 170; 130; 80; 130; ; ; ; 
Rubin Kazan 6-3; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rubin Kazan 7-2; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Zenit 6-3; ; ; ; ; ; ; ; ; ; ; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Zenit 7-2; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rubin Kazan 4-2; 125; 125; 125; 125; ; 100; 150; 225; 100; 125; 125; 66; 125; ; 100; ; 173/2; ; 180; 173/2; ; 200; 180; 80; 180; ; ; ; 
Zenit 4-3; 150; 150; 150; 150; ; 150; 150; 200; ; 150; 125; 66; 125; ; 125; ; ; ; 225; ; ; 200; 225; ; 225; ; ; ; 
Zenit 5-2; 150; 150; ; 250; ; 150; 150; 275; ; 175; 150; 66; 150; ; 150; ; ; ; 200; ; ; ; 200; ; 200; ; ; ; 
Rubin Kazan 4-0; 125; 125; 150; 125; ; 150; 150; 300; 100; 150; 125; 66; 150; ; 150; ; 173/2; ; 160; 173/2; ; 200; 160; 100; 160; ; ; ; 
Rubin Kazan 4-3; 250; 200; 200; 150; ; 200; 150; 325; ; 200; 150; 80; 150; ; 200; ; ; ; 375; ; ; 200; 375; ; 375; ; ; ; 
Draw 4-4; ; ; 250; 200; ; ; 150; 350; ; 325; 200; ; 175; ; ; ; ; ; 400; ; ; 200; 400; ; 400; ; ; ; 
Rubin Kazan 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rubin Kazan 5-0; ; 200; ; 500; ; ; 150; 500; 100; 375; 200; ; 175; ; ; ; ; ; ; ; ; ; ; 125; ; ; ; ; 
Rubin Kazan 5-1; 450; 250; ; 300; ; ; 150; 500; 100; 300; 200; ; 200; ; ; ; ; ; ; ; ; ; ; 125; ; ; ; ; 
Rubin Kazan 5-2; ; 200; ; 500; ; ; 150; 500; ; 350; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rubin Kazan 5-3; ; ; ; ; ; ; 150; 500; ; 450; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rubin Kazan 5-4; ; ; ; ; ; ; ; 500; ; ; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rubin Kazan 6-0; ; 200; ; ; ; ; 150; 500; 100; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; 125; ; ; ; ; 
Rubin Kazan 6-1; ; ; ; 500; ; ; 150; 500; ; ; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rubin Kazan 6-2; ; ; ; 500; ; ; 150; ; ; ; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rubin Kazan 7-0; ; ; ; ; ; ; 150; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rubin Kazan 7-1; ; ; ; ; ; ; 150; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rubin Kazan 8-0; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rubin Kazan 8-1; ; ; ; ; ; ; ; 500; ; ; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rubin Kazan 9-0; ; ; ; ; ; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Zenit 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Zenit 5-3; 500; ; ; ; ; ; 150; 500; ; 300; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Zenit 5-4; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Zenit 6-0; 250; 200; ; 300; ; ; 150; 500; 100; 250; 150; 80; 150; ; ; ; ; ; 275; ; ; ; 275; 100; 275; ; ; ; 
Zenit 6-1; 300; ; ; 300; ; ; 150; 500; ; 250; 150; 80; 150; ; ; ; ; ; 300; ; ; ; 300; ; 300; ; ; ; 
Zenit 6-2; ; ; ; 500; ; ; 150; ; ; 350; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Zenit 7-0; ; ; ; 500; ; ; 150; 500; ; 475; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Zenit 7-1; ; ; ; 500; ; ; 150; 500; ; 475; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Zenit 8-0; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Zenit 8-1; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Zenit 9-0; ; ; ; ; ; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-04-02 00:16:01 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 7/10; 7/10; 7/10; 4/6; 7/10; 7/10; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 7/10; 7/10; 7/10; 9/13; 8/13; 4/6; 9/13; 18/25; 4/6; 7/10; 4/6; 7/10; ; ; ; 
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 3; 14/5; 3; 14/5; 27/10; 14/5; 59/20; 29/10; 14/5; 31/10; 3; 29/10; 14/5; 3; 61/20; 3; 29/10; 14/5; 29/10; ; ; ; 
Swansea; 4; 18/5; 15/4; 19/5; 4; 19/5; 21/5; 4; 19/5; 15/4; 7/2; 15/4; 15/4; 4; 4; 4; 4; 4; 7/2; 4; 43/10; 50/13; 50/13; 15/4; 50/13; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-04-02 04:15:58 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 7/10; 7/10; 7/10; 4/6; 7/10; 7/10; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 7/10; 7/10; 7/10; 9/13; 8/13; 4/6; 9/13; 18/25; 4/6; 7/10; 4/6; 7/10; ; ; ; 
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 3; 14/5; 3; 14/5; 27/10; 14/5; 59/20; 29/10; 14/5; 31/10; 3; 29/10; 14/5; 3; 61/20; 3; 29/10; 14/5; 29/10; ; ; ; 
Swansea; 4; 18/5; 15/4; 19/5; 4; 19/5; 21/5; 4; 19/5; 15/4; 7/2; 15/4; 15/4; 4; 4; 4; 4; 4; 7/2; 4; 43/10; 50/13; 50/13; 15/4; 50/13; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-04-02 12:28:58 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 13/20; 3/4; 3/4; 7/10; 4/6; 3/4; 3/4; 4/6; 8/11; 8/11; 7/10; 8/11; 7/10; 3/4; 7/10; 8/11; 5/7; 8/13; 4/6; 5/7; 18/25; 4/6; 7/10; 7/10; 7/10; ; 4/6; ; 
Draw; 3; 11/4; 14/5; 14/5; 3; 3; 29/10; 14/5; 3; 14/5; 13/5; 13/5; 29/10; 14/5; 14/5; 3; 56/19; 29/10; 14/5; 56/19; 61/20; 3; 29/10; 14/5; 29/10; ; 14/5; ; 
Swansea; 15/4; 18/5; 18/5; 19/5; 4; 19/5; 4; 4; 7/2; 7/2; 17/5; 15/4; 15/4; 19/5; 4; 4; 75/19; 4; 7/2; 75/19; 43/10; 50/13; 50/13; 15/4; 50/13; ; 7/2; ; 
META; english/premier-league/swansea-v-tottenham; 2017-04-02 20:20:38 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 13/20; 8/11; 8/11; 7/10; 4/6; 8/11; 7/10; 4/6; 8/11; 7/10; 4/6; 8/11; 7/10; 8/11; 7/10; 8/11; 5/7; 8/13; 4/6; 5/7; 18/25; 7/10; 7/10; 4/6; 7/10; ; ; 8/11; 4/6
Draw; 3; 14/5; 14/5; 14/5; 3; 3; 3; 14/5; 14/5; 14/5; 27/10; 13/5; 29/10; 11/4; 14/5; 3; 29/10; 29/10; 14/5; 29/10; 61/20; 29/10; 29/10; 11/4; 29/10; ; ; 14/5; 14/5
Swansea; 15/4; 18/5; 19/5; 19/5; 4; 19/5; 17/4; 4; 19/5; 7/2; 18/5; 4; 15/4; 4; 4; 4; 4; 4; 7/2; 4; 43/10; 19/5; 50/13; 15/4; 50/13; ; ; 7/2; 4
META; english/premier-league/swansea-v-tottenham; 2017-04-02 20:20:45 GMT+3; 2017-04-01 15:00; e70300-dr003
Stevenage; 19/20; 21/20; 1; 19/20; 21/20; 19/20; 21/20; 10/11; 21/20; 1; 1; 21/20; 1; 1; 1; 1; 1; 1; 20/21; 1; 107/100; 30/29; 39/40; 1; 39/40; ; 1; 1; 21/20
Draw; 5/2; 12/5; 23/10; 23/10; 5/2; 23/10; 5/2; 9/4; 5/2; 12/5; 9/4; 23/10; 5/2; 12/5; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 13/5; 40/17; 27/11; 12/5; 27/11; ; 12/5; 23/10; 5/2
Barnet; 11/4; 13/5; 13/5; 13/5; 11/4; 12/5; 13/5; 5/2; 11/4; 13/5; 5/2; 13/5; 13/5; 27/10; 13/5; 27/10; 13/5; 13/5; 13/5; 13/5; 139/50; 11/5; 45/17; 13/5; 45/17; ; 13/5; 13/5; 11/4
META; english/premier-league/swansea-v-tottenham; 2017-04-05 10:20:05 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/11; 4/6; 8/11; 8/11; 7/10; 7/10; 7/10; 7/10; 4/6; 7/10; 7/10; 7/10; 7/10; 8/11; 7/10; 8/11; 5/7; 7/10; 4/6; 5/7; 73/100; 5/7; 9/13; 7/10; 13/18; ; ; 4/6; 4/6
Draw; 3; 14/5; 29/10; 14/5; 3; 14/5; 3; 14/5; 14/5; 14/5; 14/5; 14/5; 57/20; 29/10; 14/5; 29/10; 37/13; 27/10; 14/5; 37/13; 3; 56/19; 37/13; 14/5; 29/10; ; ; 14/5; 3
Swansea; 4; 4; 17/4; 4; 9/2; 4; 22/5; 4; 17/4; 15/4; 15/4; 4; 4; 9/2; 9/2; 4; 54/13; 17/4; 21/5; 54/13; 22/5; 39/10; 43/10; 5; 22/5; ; ; 21/5; 22/5
META; english/premier-league/swansea-v-tottenham; 2017-04-05 11:20:59 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/11; 4/6; 8/11; 8/11; 8/11; 7/10; 7/10; 7/10; 4/6; 7/10; 7/10; 7/10; 7/10; 7/10; 7/10; 8/11; 9/13; 7/10; 4/6; 9/13; 73/100; 5/7; 9/13; 7/10; 13/18; ; ; 4/6; 4/6
Draw; 3; 14/5; 29/10; 14/5; 3; 14/5; 29/10; 14/5; 14/5; 14/5; 14/5; 14/5; 57/20; 29/10; 14/5; 29/10; 37/13; 27/10; 14/5; 37/13; 3; 56/19; 37/13; 14/5; 29/10; ; ; 14/5; 3
Swansea; 4; 4; 17/4; 4; 4; 4; 9/2; 4; 17/4; 15/4; 15/4; 4; 4; 9/2; 9/2; 4; 21/5; 17/4; 21/5; 21/5; 22/5; 39/10; 43/10; 5; 22/5; ; ; 22/5; 22/5
META; english/premier-league/swansea-v-tottenham; 2017-04-05 13:00:16 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/11; 7/10; 8/11; 7/10; 8/11; 7/10; 7/10; 7/10; 4/6; 7/10; 7/10; 7/10; 7/10; 7/10; 7/10; 8/11; 9/13; 7/10; 4/6; 9/13; 73/100; 7/10; 9/13; 7/10; 13/18; ; ; 4/6; 4/6
Draw; 3; 14/5; 29/10; 14/5; 3; 14/5; 3; 14/5; 14/5; 3; 3; 14/5; 57/20; 29/10; 14/5; 29/10; 37/13; 27/10; 14/5; 37/13; 3; 56/19; 37/13; 14/5; 29/10; ; ; 14/5; 3
Swansea; 4; 19/5; 17/4; 19/5; 4; 4; 22/5; 4; 17/4; 4; 4; 4; 4; 9/2; 9/2; 4; 17/4; 17/4; 21/5; 17/4; 22/5; 4; 43/10; 5; 22/5; ; ; 21/5; 22/5
META; english/premier-league/swansea-v-tottenham; 2017-04-05 15:00:18 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 7/10; 4/6; 7/10; 7/10; 8/11; 7/10; 7/10; 7/10; 4/6; 7/10; 7/10; 7/10; 7/10; 7/10; 7/10; 7/10; 9/13; 7/10; 4/6; 9/13; 73/100; 9/13; ; 7/10; 13/18; ; ; 4/6; 4/6
Draw; 29/10; 14/5; 29/10; 14/5; 3; 14/5; 3; 14/5; 14/5; 3; 3; 14/5; 57/20; 29/10; 14/5; 29/10; 37/13; 27/10; 14/5; 37/13; 3; 56/19; ; 14/5; 29/10; ; ; 14/5; 3
Swansea; 9/2; 4; 17/4; 19/5; 4; 17/4; 9/2; 4; 17/4; 4; 4; 4; 4; 9/2; 9/2; 9/2; 74/17; 17/4; 21/5; 74/17; 22/5; 4; ; 5; 22/5; ; ; 22/5; 22/5
META; english/premier-league/swansea-v-tottenham; 2017-04-05 16:15:37 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 7/10; 4/6; 4/6; 8/11; 8/11; 4/6; 4/6; 7/10; 4/6; 7/10; 7/10; 7/10; 13/20; 4/6; 7/10; 7/10; 4/6; 7/10; 4/6; 4/6; 71/100; 13/19; 9/13; 7/10; 13/18; ; 4/6; 4/6; 4/6
Draw; 29/10; 14/5; 3; 14/5; 3; 3; 3; 14/5; 14/5; 3; 3; 3; 57/20; 29/10; 14/5; 29/10; 37/13; 27/10; 14/5; 37/13; 3; 56/19; 37/13; 3; 29/10; ; 14/5; 14/5; 3
Swansea; 9/2; 4; 9/2; 4; 4; 17/4; 19/4; 4; 17/4; 4; 4; 4; 9/2; 24/5; 9/2; 9/2; 49/11; 17/4; 21/5; 49/11; 9/2; 41/10; 43/10; 9/2; 22/5; ; 21/5; 22/5; 9/2
META; english/premier-league/swansea-v-tottenham; 2017-04-05 17:00:12 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 4/6; 4/6; 4/6; 8/11; 7/10; 4/6; 4/6; 7/10; 4/6; 4/6; 4/6; 7/10; 13/20; 4/6; 7/10; 7/10; 4/6; 7/10; 4/6; 4/6; 71/100; 13/19; 9/13; 7/10; 13/18; ; 4/6; 4/6; 4/6
Draw; 31/10; 14/5; 3; 14/5; 3; 3; 3; 14/5; 14/5; 3; 3; 3; 29/10; 29/10; 14/5; 3; 29/10; 27/10; 14/5; 37/13; 3; 56/19; 37/13; 3; 29/10; ; 14/5; 14/5; 3
Swansea; 9/2; 4; 9/2; 4; 21/5; 17/4; 19/4; 4; 17/4; 9/2; 17/4; 4; 9/2; 24/5; 9/2; 4; 49/11; 17/4; 21/5; 49/11; 9/2; 21/5; 43/10; 9/2; 22/5; ; 21/5; 22/5; 23/5
META; english/premier-league/swansea-v-tottenham; 2017-04-05 19:00:16 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 4/6; 8/13; 4/6; 4/6; 7/10; 13/20; 13/20; 4/6; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 4/6; 11/17; 4/6; 8/13; 11/17; 69/100; 7/11; 11/17; 7/10; 13/19; ; 8/13; 8/13; 4/6
Draw; 31/10; 29/10; 29/10; 14/5; 3; 3; 31/10; 3; 14/5; 3; 3; 3; 29/10; 3; 3; 3; 56/19; 11/4; 14/5; 56/19; 61/20; 56/19; 29/10; 3; 56/19; ; 14/5; 14/5; 3
Swansea; 9/2; 17/4; 19/4; 9/2; 21/5; 470/100; 19/4; 4; 9/2; 9/2; 17/4; 9/2; 9/2; 5; 9/2; 9/2; 50/11; 9/2; 23/5; 50/11; 23/5; 9/2; 23/5; 9/2; 79/17; ; 9/2; 23/5; 24/5
META; english/premier-league/swansea-v-tottenham; 2017-04-05 20:15:32 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 4/6; 8/13; 4/6; 4/6; 13/20; 8/13; 13/20; 8/13; 8/13; 4/6; 4/6; 8/13; 8/13; 7/10; 8/13; 4/6; 8/13; 11/17; 4/7; 8/13; 33/50; 11/17; 7/11; 4/6; 4/6; ; 4/7; 4/7; 8/13
Draw; 31/10; 29/10; 29/10; 14/5; 3; 3; 31/10; 3; 14/5; 3; 3; 3; 29/10; 3; 31/10; 31/10; 58/19; 14/5; 3; 58/19; 31/10; 3; 3; 16/5; 31/10; ; 14/5; 3; 3
Swansea; 9/2; 9/2; 19/4; 9/2; 19/4; 19/4; 5; 9/2; 9/2; 9/2; 17/4; 9/2; 19/4; 9/2; 19/4; 9/2; 50/11; 9/2; 22/5; 50/11; 49/10; 9/2; 22/5; 9/2; 9/2; ; 23/5; 24/5; 24/5
