META; english/premier-league/sunderland-v-arsenal; 2016-10-04 16:18:20 GMT+3; 2016-10-29 12:30; e70300-dr003
Sunderland; 7; 7; 13/2; 7; 7; 15/2; 8; 13/2; 13/2; 13/2; 13/2; 13/2; 15/2; 7; 7; 15/2; 7; 15/2; 13/2; 15/2; 7; 41/5; 13/2; 15/2; 7; ; 38/5; 15/2; 39/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-25 20:17:13 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; 4/11; 2/5; 2/5; 4/11; 4/11; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 3/8; 7/17; 4/11; 2/5; 3/8; 2/5; 2/5; 7/17; 2/5; ; 4/11; 4/11; 2/5
Draw; 15/4; 19/5; 37/10; 15/4; 4; 17/4; 21/5; 15/4; 17/4; 15/4; 15/4; 15/4; 15/4; 18/5; 15/4; 4; 39/10; 54/13; 4; 4; 39/10; 21/5; 41/10; 54/13; 15/4; ; 4; 4; 4
Sunderland; 7; 7; 13/2; 13/2; 7; 15/2; 8; 13/2; 13/2; 13/2; 13/2; 13/2; 15/2; 7; 7; 15/2; 7; 29/4; 13/2; 36/5; 7; 41/5; 13/2; 29/4; 7; ; 38/5; 15/2; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-26 00:17:00 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; 4/11; 2/5; 2/5; 4/11; 4/11; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 3/8; 7/17; 4/11; 2/5; 3/8; 2/5; 2/5; 7/17; 2/5; ; 4/11; 4/11; 2/5
Draw; 15/4; 19/5; 37/10; 15/4; 4; 17/4; 21/5; 15/4; 17/4; 15/4; 15/4; 15/4; 4; 18/5; 15/4; 4; 75/19; 54/13; 4; 4; 75/19; 21/5; 41/10; 54/13; 15/4; ; 4; 4; 21/5
Sunderland; 7; 7; 13/2; 6; 7; 15/2; 8; 13/2; 13/2; 13/2; 13/2; 13/2; 7; 7; 7; 15/2; 7; 29/4; 13/2; 36/5; 7; 41/5; 13/2; 29/4; 7; ; 38/5; 15/2; 39/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-26 04:16:55 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; 4/11; 2/5; 2/5; 4/11; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 3/8; 7/17; 4/11; 2/5; 3/8; 2/5; 2/5; 7/17; 2/5; ; 2/5; 4/11; 2/5
Draw; 15/4; 19/5; 37/10; 15/4; 4; 17/4; 21/5; 15/4; 17/4; 15/4; 15/4; 15/4; 4; 18/5; 15/4; 4; 75/19; 54/13; 4; 4; 75/19; 21/5; 41/10; 54/13; 15/4; ; 4; 4; 21/5
Sunderland; 7; 7; 13/2; 6; 7; 15/2; 15/2; 13/2; 13/2; 13/2; 13/2; 13/2; 7; 7; 7; 15/2; 7; 29/4; 13/2; 36/5; 7; 41/5; 13/2; 29/4; 7; ; 7; 15/2; 39/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-26 08:16:55 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 3/8; 7/17; 4/11; 2/5; 3/8; 2/5; 2/5; 7/17; 2/5; ; 2/5; ; 2/5
Draw; 15/4; 19/5; 37/10; 15/4; 4; 4; 21/5; 15/4; 17/4; 15/4; 15/4; 15/4; 4; 18/5; 15/4; 4; 75/19; 54/13; 4; 4; 75/19; 21/5; 41/10; 54/13; 15/4; ; 4; ; 21/5
Sunderland; 7; 13/2; 13/2; 6; 7; 13/2; 15/2; 13/2; 13/2; 13/2; 13/2; 13/2; 7; 7; 7; 15/2; 7; 29/4; 13/2; 36/5; 7; 41/5; 13/2; 29/4; 7; ; 7; ; 39/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-26 12:17:28 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 3/8; 7/17; 4/11; 2/5; 3/8; 7/17; 5/12; 7/17; 2/5; ; 2/5; 4/11; 2/5
Draw; 15/4; 19/5; 37/10; 7/2; 4; 4; 4; 15/4; 17/4; 15/4; 15/4; 15/4; 4; 18/5; 15/4; ; 75/19; 54/13; 4; 4; 75/19; 21/5; 75/19; 54/13; 15/4; ; 4; 7/2; 4
Sunderland; 7; 13/2; 13/2; 13/2; 7; 13/2; 15/2; 13/2; 13/2; 13/2; 13/2; 13/2; 7; 7; 7; 15/2; 27/4; 29/4; 13/2; 36/5; 27/4; 39/5; 32/5; 29/4; 13/2; ; 36/5; 34/5; 15/2
META; english/premier-league/sunderland-v-arsenal; 2016-10-26 16:17:28 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 7/18; 7/17; 4/11; 2/5; 7/18; 5/12; 5/12; 7/17; 2/5; ; 2/5; 2/5; 2/5
Draw; 15/4; 19/5; 37/10; 7/2; 4; 4; 4; 15/4; 4; 15/4; 15/4; 15/4; 15/4; 18/5; 15/4; 7/2; 4; 54/13; 4; 4; 4; 41/10; 75/19; 54/13; 15/4; ; 4; 4; 4
Sunderland; 7; 13/2; 13/2; 13/2; 7; 13/2; 15/2; 13/2; 13/2; 13/2; 13/2; 13/2; 7; 7; 7; 13/2; 7; 29/4; 13/2; 36/5; 7; 77/10; 32/5; 29/4; 13/2; ; 7; 7; 15/2
META; english/premier-league/sunderland-v-arsenal; 2016-10-26 20:17:13 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 4/11; 7/19; 7/17; 4/11; 2/5; 7/19; 5/12; 5/12; 7/17; 2/5; ; 2/5; 2/5; 2/5
Draw; 15/4; 19/5; 37/10; 7/2; 4; 4; 4; 15/4; 4; 15/4; 15/4; 15/4; 15/4; 18/5; 15/4; 4; 41/10; 54/13; 4; 4; 41/10; 21/5; 75/19; 54/13; 15/4; ; 7/2; 4; 4
Sunderland; 7; 13/2; 13/2; 7; 7; 13/2; 15/2; 13/2; 13/2; 13/2; 13/2; 13/2; 7; 7; 7; 7; 15/2; 29/4; 13/2; 36/5; 15/2; 37/5; 32/5; 29/4; 7; ; 7; 7; 15/2
META; english/premier-league/sunderland-v-arsenal; 2016-10-27 00:16:55 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; ; 2/5; 2/5; 4/11; 7/19; 2/5; 4/11; 2/5; 7/19; 5/12; ; 2/5; 2/5; ; 2/5; 2/5; 2/5
Draw; 15/4; 19/5; 37/10; 7/2; 4; 4; 4; 15/4; 4; 15/4; 15/4; 15/4; ; 15/4; 15/4; 4; 41/10; 21/5; 4; 21/5; 41/10; 21/5; ; 21/5; 15/4; ; 4; 4; 4
Sunderland; 7; 13/2; 13/2; 7; 7; 13/2; 15/2; 13/2; 13/2; 13/2; 13/2; 13/2; ; 7; 7; 7; 15/2; 15/2; 13/2; 15/2; 15/2; 37/5; ; 15/2; 7; ; 36/5; 7; 15/2
META; english/premier-league/sunderland-v-arsenal; 2016-10-27 04:16:58 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; ; 2/5; 2/5; 4/11; 7/19; 2/5; 4/11; 2/5; 7/19; 5/12; 5/12; 2/5; 2/5; ; 4/11; 2/5; 2/5
Draw; 15/4; 19/5; 37/10; 7/2; 4; 4; 4; 15/4; 4; 15/4; 15/4; 15/4; ; 15/4; 15/4; 4; 41/10; 21/5; 4; 21/5; 41/10; 21/5; 75/19; 21/5; 15/4; ; 4; 4; 21/5
Sunderland; 7; 13/2; 13/2; 7; 7; 13/2; 15/2; 13/2; 13/2; 13/2; 13/2; 13/2; ; 7; 7; 7; 15/2; 15/2; 13/2; 15/2; 15/2; 37/5; 32/5; 15/2; 7; ; 38/5; 7; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-27 08:17:05 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 4/11; 7/19; 2/5; 4/11; 2/5; 7/19; 5/12; 5/12; 2/5; 2/5; ; 4/11; 2/5; 2/5
Draw; 15/4; 19/5; 37/10; 7/2; 4; 4; 4; 15/4; 4; 15/4; 15/4; 15/4; 15/4; 15/4; 15/4; 4; 41/10; 41/10; 4; 4; 41/10; 21/5; 75/19; 41/10; 15/4; ; 4; 4; 21/5
Sunderland; 7; 13/2; 13/2; 7; 7; 13/2; 15/2; 13/2; 13/2; 13/2; 13/2; 13/2; 15/2; 7; 7; 7; 15/2; 77/10; 13/2; 38/5; 15/2; 37/5; 32/5; 77/10; 7; ; 38/5; 7; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-27 12:17:23 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 3/8; 2/5; 4/11; 2/5; 3/8; 5/12; 5/12; 2/5; 2/5; ; 4/11; 2/5; 2/5
Draw; 15/4; 19/5; 15/4; 7/2; 4; 4; 21/5; 15/4; 4; 15/4; 15/4; 15/4; 15/4; 15/4; 15/4; 7/2; 77/19; 41/10; 4; 4; 77/19; 21/5; 75/19; 41/10; 15/4; ; 4; 4; 21/5
Sunderland; 7; 13/2; 13/2; 7; 7; 13/2; 15/2; 13/2; 13/2; 13/2; 13/2; 13/2; 15/2; 7; 7; 13/2; 29/4; 77/10; 13/2; 38/5; 29/4; 37/5; 32/5; 77/10; 7; ; 38/5; 7; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-27 16:17:11 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 3/8; 2/5; 4/11; 2/5; 3/8; 5/12; 5/12; 2/5; 2/5; ; 4/11; 2/5; 2/5
Draw; 15/4; 19/5; 15/4; 7/2; 21/5; 4; 21/5; 15/4; 4; 4; 15/4; 15/4; 4; 15/4; 15/4; 7/2; 77/19; 41/10; 4; 4; 77/19; 21/5; 75/19; 41/10; 15/4; ; 4; 4; 21/5
Sunderland; 7; 13/2; 7; 7; 15/2; 13/2; 15/2; 13/2; 13/2; 7; 13/2; 13/2; 15/2; 7; 7; 13/2; 29/4; 77/10; 13/2; 38/5; 29/4; 37/5; 32/5; 77/10; 7; ; 38/5; 7; 39/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-28 00:17:06 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 4/11; 3/8; 2/5; 4/11; 2/5; 3/8; 2/5; 5/12; 2/5; 2/5; ; 4/11; 2/5; 2/5
Draw; 15/4; 19/5; 15/4; 7/2; 21/5; 4; 21/5; 4; 4; 4; 15/4; 4; 4; 15/4; 15/4; 4; 77/19; 41/10; 4; 4; 77/19; 21/5; 75/19; 41/10; 15/4; ; 4; 4; 21/5
Sunderland; 7; 13/2; 7; 7; 15/2; 13/2; 15/2; 13/2; 13/2; 7; 13/2; 7; 15/2; 7; 7; 13/2; 29/4; 77/10; 13/2; 38/5; 29/4; 39/5; 32/5; 77/10; 7; ; 38/5; 7; 39/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-28 00:55:43 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 4/11; 3/8; 2/5; 4/11; 2/5; 3/8; 2/5; 5/12; 2/5; 2/5; ; 4/11; 2/5; 2/5
Draw; 15/4; 19/5; 15/4; 7/2; 21/5; 4; 21/5; 4; 4; 4; 15/4; 4; 4; 15/4; 15/4; 4; 77/19; 41/10; 4; 4; 77/19; 21/5; 75/19; 41/10; 15/4; ; 4; 4; 21/5
Sunderland; 7; 13/2; 7; 7; 15/2; 13/2; 15/2; 13/2; 13/2; 7; 13/2; 7; 15/2; 7; 7; 13/2; 29/4; 77/10; 13/2; 38/5; 29/4; 39/5; 32/5; 77/10; 7; ; 38/5; 7; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-28 01:45:50 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 4/11; 3/8; 2/5; 2/5; 2/5; 3/8; 2/5; 5/12; 2/5; 2/5; ; 4/11; 2/5; 2/5
Draw; 15/4; 19/5; 15/4; 7/2; 21/5; 4; 21/5; 4; 4; 4; 15/4; 4; 4; 15/4; 15/4; 4; 77/19; 41/10; 17/4; 4; 77/19; 21/5; 75/19; 41/10; 15/4; ; 4; 4; 21/5
Sunderland; 7; 13/2; 7; 7; 15/2; 13/2; 15/2; 13/2; 13/2; 7; 13/2; 7; 15/2; 7; 7; 13/2; 29/4; 77/10; 7; 38/5; 29/4; 39/5; 32/5; 77/10; 7; ; 38/5; 7; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-28 03:45:45 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 7/20; 2/5; 2/5; 4/11; 3/8; 2/5; 2/5; 2/5; 3/8; 2/5; 5/12; 2/5; 2/5; ; 4/11; 2/5; 2/5
Draw; 4; 19/5; 15/4; 7/2; 21/5; 4; 21/5; 4; 4; 4; 15/4; 4; 4; 15/4; 15/4; 4; 77/19; 41/10; 17/4; 4; 77/19; 21/5; 75/19; 41/10; 15/4; ; 4; 4; 21/5
Sunderland; 8; 13/2; 7; 7; 15/2; 13/2; 15/2; 13/2; 13/2; 7; 13/2; 7; 15/2; 7; 7; 13/2; 29/4; 77/10; 7; 38/5; 29/4; 39/5; 32/5; 77/10; 7; ; 38/5; 7; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-28 04:17:05 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 7/20; 2/5; 2/5; 4/11; 7/19; 2/5; 2/5; 2/5; 7/19; 2/5; 5/12; 2/5; 2/5; ; 4/11; 2/5; 2/5
Draw; 4; 19/5; 15/4; 7/2; 21/5; 4; 21/5; 4; 4; 4; 15/4; 4; 4; 15/4; 15/4; 4; 41/10; 41/10; 17/4; 4; 41/10; 21/5; 75/19; 41/10; 15/4; ; 4; 4; 21/5
Sunderland; 8; 13/2; 7; 7; 15/2; 13/2; 15/2; 13/2; 13/2; 7; 13/2; 7; 15/2; 7; 7; 7; 15/2; 77/10; 7; 38/5; 15/2; 39/5; 32/5; 77/10; 7; ; 38/5; 7; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-28 05:45:51 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 7/20; 2/5; 2/5; 4/11; 7/19; 2/5; 2/5; 2/5; 7/19; 2/5; 5/12; 2/5; 2/5; ; 4/11; 2/5; 2/5
Draw; 4; 19/5; 15/4; 7/2; 21/5; 4; 21/5; 4; 4; 4; 15/4; 4; 4; 15/4; 15/4; 4; 41/10; 41/10; 17/4; 4; 41/10; 21/5; 75/19; 41/10; 15/4; ; 4; 4; 21/5
Sunderland; 8; 13/2; 7; 7; 15/2; 13/2; 8; 13/2; 13/2; 7; 13/2; 7; 15/2; 7; 7; 13/2; 15/2; 77/10; 7; 38/5; 15/2; 39/5; 32/5; 77/10; 7; ; 38/5; 7; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-28 06:32:06 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 4/11; 3/8; 2/5; 2/5; 2/5; 3/8; ; 5/12; 2/5; 2/5; ; 4/11; 2/5; 2/5
Draw; 4; 19/5; 15/4; 7/2; 21/5; 4; 21/5; 4; 4; 4; 15/4; 4; 4; 15/4; 15/4; 4; 77/19; 41/10; 17/4; 4; 77/19; ; 75/19; 41/10; 15/4; ; 4; 4; 21/5
Sunderland; 8; 13/2; 7; 7; 15/2; 13/2; 8; 13/2; 13/2; 7; 13/2; 7; 15/2; 7; 7; 7; 29/4; 77/10; 7; 38/5; 29/4; ; 32/5; 77/10; 7; ; 38/5; 7; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-28 07:45:42 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 4/11; 3/8; 2/5; 2/5; 2/5; 3/8; 2/5; 5/12; 2/5; 2/5; ; 4/11; 2/5; 2/5
Draw; 4; 19/5; 15/4; 7/2; 21/5; 4; 21/5; 4; 4; 4; 15/4; 4; 4; 15/4; 15/4; 4; 77/19; 41/10; 17/4; 4; 77/19; 21/5; 75/19; 41/10; 15/4; ; 4; 4; 21/5
Sunderland; 8; 13/2; 7; 7; 15/2; 13/2; 8; 13/2; 13/2; 7; 13/2; 7; 15/2; 7; 7; 7; 29/4; 77/10; 7; 38/5; 29/4; 39/5; 32/5; 77/10; 7; ; 38/5; 7; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-28 08:17:08 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 4/11; 3/8; 2/5; 2/5; 2/5; 3/8; 2/5; 5/12; 2/5; 2/5; ; 4/11; 2/5; 2/5
Draw; 4; 19/5; 15/4; 7/2; 21/5; 4; 21/5; 4; 4; 4; 15/4; 4; 4; 15/4; 15/4; 4; 77/19; 41/10; 17/4; 4; 77/19; 21/5; 75/19; 41/10; 15/4; ; 4; 4; 21/5
Sunderland; 8; 13/2; 7; 7; 15/2; 13/2; 8; 13/2; 13/2; 7; 13/2; 7; 15/2; 7; 7; 7; 15/2; 77/10; 7; 38/5; 29/4; 39/5; 32/5; 77/10; 7; ; 38/5; 7; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-28 09:45:45 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 4/11; 3/8; 2/5; 2/5; 2/5; 3/8; 2/5; 5/12; 2/5; 2/5; ; 4/11; 2/5; 2/5
Draw; 4; 19/5; 15/4; 7/2; 21/5; 4; 21/5; 4; 4; 4; 15/4; 4; 4; 15/4; 15/4; 4; 77/19; 41/10; 17/4; 4; 77/19; 21/5; 75/19; 41/10; 15/4; ; 4; 4; 21/5
Sunderland; 8; 13/2; 7; 7; 15/2; 13/2; 8; 13/2; 13/2; 7; 13/2; 7; 15/2; 7; 7; 7; 15/2; 77/10; 7; 38/5; 15/2; 39/5; 32/5; 77/10; 7; ; 38/5; 7; 39/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-28 11:45:53 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 4/11; 3/8; 2/5; 2/5; 2/5; 3/8; 2/5; 5/12; 2/5; 2/5; ; 4/11; 2/5; 2/5
Draw; 4; 19/5; 4; 7/2; 21/5; 4; 21/5; 4; 4; 4; 15/4; 4; 15/4; 15/4; 4; 4; 4; 41/10; 17/4; 4; 4; 21/5; 75/19; 41/10; 15/4; ; 4; 4; 4
Sunderland; 8; 13/2; 15/2; 7; 15/2; 7; 8; 13/2; 13/2; 7; 13/2; 7; 15/2; 7; 15/2; 7; 29/4; 77/10; 7; 38/5; 29/4; 39/5; 32/5; 77/10; 13/2; ; 38/5; 7; 39/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-28 12:17:40 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 3/8; 2/5; 2/5; 2/5; 3/8; 2/5; 5/12; 2/5; 2/5; ; 4/11; 2/5; 2/5
Draw; 4; 19/5; 4; 7/2; 21/5; 4; 21/5; 4; 4; 4; 15/4; 4; 15/4; 15/4; 4; 7/2; 4; 41/10; 17/4; 4; 4; 21/5; 75/19; 41/10; 15/4; ; 4; 4; 21/5
Sunderland; 8; 13/2; 15/2; 7; 15/2; 7; 8; 13/2; 13/2; 7; 13/2; 7; 15/2; 7; 15/2; 13/2; 29/4; 77/10; 7; 38/5; 29/4; 39/5; 32/5; 77/10; 13/2; ; 38/5; 7; 39/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-28 13:00:11 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 2/5; 2/5; 4/9; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 7/18; 2/5; 2/5; 2/5; 7/18; 7/17; 7/17; 2/5; 2/5; ; 2/5; 2/5; 2/5
Draw; 4; 19/5; 19/5; 15/4; 21/5; 4; 4; 4; 4; 4; 15/4; 4; 4; 18/5; 17/4; 7/2; 4; 41/10; 17/4; 4; 4; 21/5; 75/19; 41/10; 15/4; ; 7/2; 4; 4
Sunderland; 8; 13/2; 7; 6; 15/2; 7; 15/2; 13/2; 13/2; 7; 13/2; 7; 15/2; 7; 7; 13/2; 7; 77/10; 7; 38/5; 7; 39/5; 33/5; 77/10; 13/2; ; 37/5; 7; 39/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-28 13:45:42 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 2/5; 2/5; 4/9; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 7/18; 2/5; 2/5; 2/5; 7/18; 7/17; 7/17; 2/5; 2/5; ; 2/5; 2/5; 2/5
Draw; 4; 19/5; 19/5; 7/2; 21/5; 4; 21/5; 4; 4; 4; 15/4; 4; 4; 4; 17/4; 7/2; 4; 41/10; 17/4; 4; 4; 21/5; 75/19; 41/10; 15/4; ; 7/2; 4; 4
Sunderland; 8; 13/2; 7; 13/2; 15/2; 7; 15/2; 13/2; 13/2; 7; 13/2; 7; 15/2; 15/2; 7; 13/2; 7; 77/10; 7; 38/5; 7; 39/5; 33/5; 77/10; 13/2; ; 37/5; 7; 39/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-28 15:45:41 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 2/5; 2/5; 4/9; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 3/8; 2/5; 2/5; 2/5; 3/8; 7/17; 7/17; 2/5; 2/5; ; 2/5; 2/5; 2/5
Draw; 4; 19/5; 19/5; 7/2; 21/5; 4; 4; 4; 4; 4; 15/4; 19/5; 15/4; 4; 17/4; 7/2; 4; 41/10; 17/4; 4; 4; 41/10; 75/19; 41/10; 15/4; ; 7/2; 4; 4
Sunderland; 8; 13/2; 7; 13/2; 15/2; 7; 15/2; 13/2; 13/2; 7; 13/2; 15/2; 15/2; 15/2; 7; 7; 29/4; 77/10; 7; 38/5; 29/4; 77/10; 33/5; 77/10; 13/2; ; 37/5; 7; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-28 16:17:00 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 2/5; 2/5; 4/9; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 3/8; 2/5; 2/5; 2/5; 3/8; 7/17; 7/17; 2/5; 2/5; ; 2/5; 2/5; 2/5
Draw; 4; 19/5; 19/5; 7/2; 21/5; 4; 4; 4; 4; 4; 15/4; 19/5; 15/4; 4; 17/4; 7/2; 4; 41/10; 17/4; 4; 4; 41/10; 75/19; 41/10; 15/4; ; 7/2; 4; 4
Sunderland; 8; 13/2; 7; 13/2; 15/2; 7; 15/2; 13/2; 13/2; 7; 13/2; 15/2; 15/2; 15/2; 7; 7; 29/4; 77/10; 7; 38/5; 29/4; 77/10; 33/5; 77/10; 13/2; ; 37/5; 7; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-28 17:45:39 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 2/5; 2/5; 4/9; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 7/18; 2/5; 2/5; 2/5; 7/18; 7/17; 7/17; 2/5; 4/9; ; 2/5; 2/5; 2/5
Draw; 4; 19/5; 4; 15/4; 21/5; 4; 21/5; 4; 4; 4; 15/4; 19/5; 15/4; 4; 17/4; 4; 75/19; 41/10; 17/4; 4; 75/19; 41/10; 75/19; 41/10; 15/4; ; 7/2; 4; 4
Sunderland; 8; 13/2; 7; 8; 15/2; 7; 15/2; 13/2; 13/2; 7; 15/2; 15/2; 15/2; 15/2; 7; 7; 7; 77/10; 7; 38/5; 7; 77/10; 33/5; 77/10; 13/2; ; 37/5; 7; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-28 18:32:20 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 2/5; 2/5; 4/9; 4/9; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 7/18; 2/5; 2/5; 2/5; 7/18; 5/12; 7/17; 2/5; 4/9; ; 2/5; 2/5; 2/5
Draw; 4; 19/5; 4; 15/4; 21/5; 4; 21/5; 4; 4; 4; 15/4; 19/5; 15/4; 4; 17/4; 7/2; 75/19; 41/10; 17/4; 4; 75/19; 41/10; 75/19; 41/10; 15/4; ; 7/2; 4; 4
