META; english/premier-league/west-ham-v-stoke; 2016-10-22 20:17:54 GMT+3; 2016-11-05 15:00; e70300-dr003
Stoke; 3; 11/4; 27/10; 14/5; 3; 3; 29/10; 11/4; 14/5; 3; 14/5; 3; 29/10; 3; 11/4; ; 29/10; 58/19; 14/5; 3; 37/13; 56/19; 56/19; ; 14/5; ; 14/5; 3; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-05 15:45:16 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 21/20; 21/20; 11/10; 21/20; 21/20; 1; 11/10; 21/20; 21/20; 1; 11/10; 21/20; 19/20; 21/20; 21/20; 21/20; 1; 13/12; 1; 21/20; 1; 13/12; 17/16; 13/12; 11/10; ; 1; 21/20; 21/20
Draw; 5/2; 13/5; 13/5; 12/5; 5/2; 13/5; 12/5; 5/2; 13/5; 5/2; 23/10; 12/5; 53/20; 5/2; 13/5; 5/2; 27/11; 5/2; 5/2; 5/2; 27/11; 13/5; 5/2; 5/2; 12/5; ; 5/2; 12/5; 13/5
Stoke; 29/10; 12/5; 13/5; 14/5; 3; 14/5; 11/4; 13/5; 14/5; 3; 11/4; 11/4; 29/10; 14/5; 11/4; 11/4; 37/13; 29/10; 14/5; 14/5; 37/13; 37/13; 27/10; 29/10; 14/5; ; 14/5; 14/5; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-05 16:16:07 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 21/20; 21/20; 11/10; 21/20; 21/20; 1; 11/10; 21/20; 21/20; 1; 21/20; 21/20; 1; 21/20; 21/20; 21/20; 21/20; 13/12; 1; 21/20; 21/20; 13/12; 68/67; 13/12; 21/20; ; 1; 21/20; 21/20
Draw; 5/2; 5/2; 13/5; 12/5; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 12/5; 12/5; 13/5; 5/2; 13/5; 5/2; 27/11; 5/2; 5/2; 5/2; 27/11; 13/5; 5/2; 5/2; 12/5; ; 12/5; 12/5; 5/2
Stoke; 29/10; 5/2; 13/5; 14/5; 3; 14/5; 14/5; 13/5; 13/5; 3; 14/5; 11/4; 27/10; 14/5; 11/4; 11/4; 14/5; 29/10; 14/5; 14/5; 14/5; 37/13; 56/19; 29/10; 14/5; ; 14/5; 14/5; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-05 17:45:13 GMT+2; 2016-11-05 15:00; In Play; e70300-dr003
West Ham; 13/10; 5/4; 27/20; 13/10; ; 13/10; ; 11/8; ; 7/5; 13/10; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; 13/10; 11/8; 13/10
Draw; 7/4; 6/4; 7/4; 7/4; ; 17/10; ; 8/5; ; 7/5; 31/20; ; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; 9/5; 9/5; 13/8
Stoke; 3; 11/4; 14/5; 14/5; ; 14/5; ; 3; ; 14/5; 11/4; ; ; 29/10; ; ; ; ; ; ; ; ; ; ; ; ; 14/5; 14/5; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-05 18:36:39 GMT+2; 2016-11-05 15:00; In Play; e70300-dr003
West Ham; 2/11; ; ; 1/5; ; 2/11; ; 1/7; ; 1/6; 2/11; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; 2/9; 2/9
Draw; 9/2; ; ; 4; ; 17/4; ; 9/2; ; 9/2; 9/2; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 22/5; 9/2; 21/5
Stoke; 33; ; ; 28; ; 33; ; 35; ; 33; 28; ; ; 25; ; ; ; ; ; ; ; ; ; ; ; ; 33; 28; 23
