Bournemouth; 7/5; 3/2; 6/4; ; 6/4; 31/20; 31/20; 13/10; 8/5; 7/5; 29/20; 6/4; 29/20; ; 6/4; 6/4; 6/4; 17/11; ; 6/4; 33/20; ; ; ; ; 21/20; ; 
West Ham; 9/5; 7/4; 33/20; ; 19/10; 37/20; 15/8; 19/10; 7/4; 7/4; 33/20; 9/5; 9/5; ; 9/5; 15/8; 17/10; 28/17; ; 17/10; 46/25; ; ; ; ; 5/4; ; 
Draw; 12/5; 23/10; 9/4; ; 13/5; 12/5; 5/2; 23/10; 5/2; 5/2; 23/10; 12/5; 12/5; ; 12/5; 5/2; 40/17; 23/10; ; 40/17; 5/2; ; ; ; ; 17/10; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-27 00:16:13 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; 7/5; 3/2; 6/4; ; 6/4; 31/20; 31/20; 13/10; 8/5; 7/5; 29/20; 6/4; 29/20; ; 6/4; 6/4; 6/4; 17/11; 7/5; 6/4; 33/20; ; 7/5; ; ; 5/4; ; 
West Ham; 9/5; 7/4; 33/20; ; 19/10; 37/20; 15/8; 19/10; 7/4; 7/4; 33/20; 9/5; 9/5; ; 9/5; 15/8; 7/4; 28/17; 9/5; 7/4; 46/25; ; 24/13; ; ; 6/4; ; 
Draw; 12/5; 23/10; 9/4; ; 13/5; 12/5; 5/2; 23/10; 5/2; 5/2; 23/10; 12/5; 12/5; ; 12/5; 5/2; 40/17; 23/10; 12/5; 40/17; 5/2; ; 12/5; ; ; 11/5; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-27 04:16:14 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; 7/5; 3/2; 6/4; ; 6/4; 31/20; 31/20; 13/10; 8/5; 7/5; 29/20; 6/4; 29/20; ; 6/4; 6/4; 6/4; 17/11; 7/5; 6/4; 33/20; ; 7/5; ; ; 5/4; ; 
West Ham; 9/5; 7/4; 33/20; ; 19/10; 37/20; 15/8; 19/10; 7/4; 7/4; 33/20; 9/5; 9/5; ; 9/5; 15/8; 7/4; 28/17; 9/5; 7/4; 46/25; ; 24/13; ; ; 6/4; ; 
Draw; 12/5; 23/10; 9/4; ; 13/5; 12/5; 5/2; 23/10; 5/2; 5/2; 23/10; 12/5; 12/5; ; 12/5; 5/2; 40/17; 23/10; 12/5; 40/17; 5/2; ; 12/5; ; ; 11/5; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-27 08:16:12 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; 7/5; 3/2; 6/4; ; 6/4; 31/20; 31/20; 13/10; 8/5; 7/5; 29/20; 6/4; 29/20; ; 6/4; 6/4; 6/4; 17/11; 7/5; 6/4; 33/20; ; 7/5; ; ; 5/4; ; 
West Ham; 9/5; 7/4; 33/20; ; 19/10; 37/20; 15/8; 19/10; 7/4; 7/4; 33/20; 9/5; 9/5; ; 9/5; 15/8; 9/5; 28/17; 9/5; 9/5; 46/25; ; 24/13; ; ; 6/4; ; 
Draw; 12/5; 23/10; 9/4; ; 13/5; 12/5; 5/2; 23/10; 5/2; 5/2; 23/10; 12/5; 12/5; ; 12/5; 5/2; 23/10; 23/10; 12/5; 23/10; 5/2; ; 12/5; ; ; 11/5; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-27 12:16:20 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; 7/5; 3/2; 6/4; ; 6/4; 31/20; 31/20; 13/10; 8/5; 7/5; 29/20; 6/4; 29/20; ; 6/4; 6/4; 16/11; 17/11; 7/5; 16/11; 33/20; 23/15; 7/5; ; ; 5/4; ; 
West Ham; 9/5; 7/4; 33/20; ; 19/10; 37/20; 15/8; 19/10; 7/4; 17/10; 33/20; 7/4; 9/5; ; 9/5; 15/8; 9/5; 28/17; 9/5; 9/5; 46/25; 16/9; 24/13; ; ; 6/4; ; 
Draw; 12/5; 23/10; 9/4; ; 13/5; 12/5; 5/2; 23/10; 5/2; 5/2; 23/10; 12/5; 49/20; ; 12/5; 5/2; 23/10; 23/10; 12/5; 23/10; 5/2; 12/5; 12/5; ; ; 11/5; ; 
