Draw; 12/5; 23/10; 11/5; 21/10; 12/5; 12/5; 23/10; 11/5; 23/10; 9/4; ; 11/5; 9/4; 12/5; 9/4; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 12/5; ; 23/10; ; 
Burnley; 12/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; ; 5/2; 13/5; 5/2; 11/4; 13/5; 28/11; 27/10; 12/5; 27/10; 28/11; 27/10; 5/2; 27/10; 5/2; ; 5/2; ; 
META; english/premier-league/burnley-v-southampton; 2017-01-05 12:16:09 GMT+2; 2017-01-14 15:00; e70300-dr003
Southampton; 11/10; 23/20; 23/20; 23/20; 6/5; 23/20; 6/5; 6/5; 11/10; 11/10; ; 23/20; 11/10; 23/20; 11/10; 15/13; 11/10; 11/10; 11/10; 11/10; 11/10; 31/25; 10/9; 11/10; 23/20; ; 23/20; ; 
Draw; 12/5; 9/4; 11/5; 21/10; 12/5; 12/5; 23/10; 11/5; 23/10; 9/4; ; 11/5; 23/10; 12/5; 9/4; 23/10; 9/4; 23/10; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 12/5; ; 23/10; ; 
Burnley; 12/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; ; 5/2; 51/20; 5/2; 11/4; 5/2; 28/11; 27/10; 12/5; 27/10; 28/11; 53/20; 5/2; 27/10; 5/2; ; 5/2; ; 
META; english/premier-league/burnley-v-southampton; 2017-01-05 16:16:10 GMT+2; 2017-01-14 15:00; e70300-dr003
Southampton; 11/10; 23/20; 23/20; 23/20; ; 23/20; 6/5; 11/10; 11/10; 11/10; ; 23/20; 11/10; 23/20; 11/10; 15/13; 11/10; 11/10; 11/10; 11/10; 11/10; 31/25; 10/9; 11/10; 23/20; ; 23/20; ; 
Draw; 12/5; 9/4; 11/5; 21/10; ; 12/5; 23/10; 11/5; 23/10; 9/4; ; 11/5; 23/10; 12/5; 9/4; 23/10; 9/4; 23/10; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 23/10; ; 23/10; ; 
Burnley; 12/5; 5/2; 13/5; 13/5; ; 13/5; 5/2; 13/5; 13/5; 5/2; ; 5/2; 51/20; 5/2; 11/4; 5/2; 5/2; 27/10; 12/5; 27/10; 5/2; 53/20; 5/2; 27/10; 5/2; ; 5/2; ; 
META; english/premier-league/burnley-v-southampton; 2017-01-05 20:16:03 GMT+2; 2017-01-14 15:00; e70300-dr003
Southampton; 11/10; 23/20; 23/20; 23/20; 6/5; 23/20; 6/5; 11/10; 11/10; 11/10; ; 23/20; 11/10; 23/20; 11/10; 15/13; 11/10; 11/10; 11/10; 11/10; 11/10; 31/25; 10/9; 11/10; 23/20; ; 23/20; 23/20; 
Draw; 12/5; 9/4; 11/5; 21/10; 12/5; 12/5; 23/10; 23/10; 23/10; 9/4; ; 11/5; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 23/10; ; 23/10; 23/10; 
Burnley; 12/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 13/5; 5/2; ; 5/2; 51/20; 5/2; 11/4; 5/2; 27/11; 27/10; 12/5; 27/10; 5/2; 53/20; 5/2; 27/10; 5/2; ; 5/2; 5/2; 
META; english/premier-league/burnley-v-southampton; 2017-01-06 00:16:07 GMT+2; 2017-01-14 15:00; e70300-dr003
Southampton; 11/10; 11/10; 23/20; 23/20; 6/5; 23/20; 6/5; 11/10; 11/10; 11/10; ; 23/20; 11/10; 23/20; 11/10; 15/13; 11/10; 11/10; 11/10; 11/10; 11/10; 31/25; 10/9; 11/10; 23/20; ; 23/20; 23/20; 
Draw; 12/5; 9/4; 11/5; 21/10; 12/5; 12/5; 23/10; 23/10; 23/10; 9/4; ; 11/5; 23/10; 12/5; 9/4; 23/10; 9/4; 23/10; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 12/5; ; 23/10; 23/10; 
Burnley; 12/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 13/5; 13/5; ; 5/2; 51/20; 5/2; 11/4; 5/2; 28/11; 27/10; 12/5; 27/10; 28/11; 53/20; 5/2; 27/10; 5/2; ; 12/5; 5/2; 
META; english/premier-league/burnley-v-southampton; 2017-01-06 04:16:04 GMT+2; 2017-01-14 15:00; e70300-dr003
Southampton; 11/10; 11/10; 23/20; 23/20; 6/5; 23/20; 6/5; 11/10; 11/10; 11/10; ; 23/20; 11/10; 23/20; 11/10; 15/13; 11/10; 11/10; 11/10; 11/10; 11/10; 31/25; 10/9; 11/10; 23/20; ; 23/20; 23/20; 
Draw; 12/5; 9/4; 11/5; 21/10; 12/5; 12/5; 23/10; 23/10; 23/10; 9/4; ; 11/5; 23/10; 12/5; 9/4; 23/10; 9/4; 23/10; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 12/5; ; 23/10; 23/10; 
Burnley; 12/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 13/5; 13/5; ; 5/2; 51/20; 5/2; 11/4; 5/2; 28/11; 27/10; 12/5; 27/10; 28/11; 53/20; 5/2; 27/10; 5/2; ; 5/2; 5/2; 
META; english/premier-league/burnley-v-southampton; 2017-01-06 08:16:03 GMT+2; 2017-01-14 15:00; e70300-dr003
