Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; 5/2; 51/20; 12/5; 12/5; 23/10; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; ; 12/5; ; 5/2; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 23/10; 5/2; 12/5; 5/2; 9/4; 21/10; 9/4; 47/20; 9/4; 23/10; 23/10; 9/4; 5/2; 12/5; 5/2; 9/4; 45/17; ; 21/10; ; 23/10; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-11 00:17:05 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 11/10; 6/5; 6/5; 11/10; 5/4; 11/10; 23/20; 6/5; 23/20; 23/20; 6/5; 6/5; 11/10; 15/13; 11/10; 15/13; 11/10; 15/13; 6/5; ; 6/5; ; 6/5; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; 5/2; 51/20; 5/2; 12/5; 23/10; 27/11; 40/17; 11/5; 23/10; 27/11; 5/2; ; 12/5; ; 12/5; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 12/5; 5/2; 23/10; 5/2; 9/4; 21/10; 9/4; 47/20; 11/5; 23/10; 23/10; 9/4; 5/2; 12/5; 5/2; 9/4; 45/17; ; 11/5; ; 9/4; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-11 04:16:40 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; 11/10; ; ; 11/10; 5/4; 6/5; 11/10; 5/4; 11/10; 23/20; 11/10; 23/20; 23/20; 6/5; 6/5; 11/10; 15/13; 11/10; 15/13; 11/10; 15/13; 6/5; 15/13; 6/5; ; 6/5; ; 
Draw; 12/5; 12/5; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 9/4; 5/2; 51/20; 5/2; 12/5; 23/10; 27/11; 40/17; 11/5; 23/10; 27/11; 5/2; 5/2; 12/5; ; 12/5; ; 
Liverpool; 12/5; 12/5; ; ; 5/2; 23/10; 12/5; 5/2; 23/10; 5/2; 9/4; 5/2; 9/4; 47/20; 21/10; 23/10; 23/10; 9/4; 5/2; 12/5; 5/2; 9/4; 45/17; 23/10; 11/5; ; 11/5; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-11 08:16:46 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; 11/10; ; ; 11/10; 5/4; 6/5; 11/10; 5/4; 11/10; 23/20; 11/10; 23/20; 23/20; 6/5; 6/5; 11/10; 15/13; 11/10; 15/13; 11/10; 15/13; 6/5; 15/13; 6/5; ; 6/5; ; 
Draw; 12/5; 12/5; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 9/4; 5/2; 51/20; 5/2; 12/5; 23/10; 27/11; 40/17; 11/5; 23/10; 27/11; 5/2; 5/2; 12/5; ; 12/5; ; 
Liverpool; 12/5; 12/5; ; ; 5/2; 23/10; 12/5; 5/2; 23/10; 5/2; 9/4; 5/2; 9/4; 47/20; 21/10; 23/10; 23/10; 9/4; 5/2; 12/5; 5/2; 9/4; 45/17; 23/10; 11/5; ; 11/5; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-11 12:17:11 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; 11/10; ; ; 11/10; 5/4; 6/5; 11/10; 5/4; 11/10; 23/20; 11/10; 23/20; 23/20; 6/5; 6/5; 11/10; 15/13; 11/10; 15/13; 11/10; 15/13; 16/13; 15/13; 6/5; ; 6/5; ; 
Liverpool; 12/5; 12/5; ; ; 5/2; 23/10; 12/5; 5/2; 23/10; 5/2; 9/4; 5/2; 9/4; 47/20; 21/10; 23/10; 23/10; 9/4; 5/2; 12/5; 5/2; 9/4; 5/2; 23/10; 11/5; ; 11/5; ; 
Draw; 12/5; 12/5; ; ; 5/2; 5/2; 13/5; 23/10; 5/2; 40/17; 12/5; 9/4; 5/2; 51/20; 5/2; 12/5; 23/10; 27/11; 40/17; 11/5; 23/10; 27/11; 28/11; 5/2; 12/5; ; 12/5; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-11 16:17:06 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 6/5; 11/10; ; ; 11/10; 13/10; 13/10; 5/4; 13/10; 5/4; 5/4; 11/10; 23/20; 13/10; 5/4; 5/4; 11/10; 5/4; 5/4; 15/13; 5/4; 5/4; 13/10; 5/4; 5/4; ; 6/5; 6/5; 
Liverpool; 11/5; 12/5; ; ; 5/2; 11/5; 9/4; 11/5; 11/5; 11/5; 2; 5/2; 9/4; 21/10; 2; 11/5; 11/5; 39/19; 11/5; 12/5; 11/5; 39/19; 12/5; 21/10; 2; ; 11/5; 2; 
Draw; 12/5; 5/2; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 9/4; 5/2; 5/2; 12/5; 12/5; 23/10; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; 12/5; ; 12/5; 11/5; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-11 20:16:43 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 6/5; 11/10; ; 5/4; 11/10; 13/10; 13/10; 5/4; 13/10; 5/4; 13/10; 11/10; 23/20; 13/10; 13/10; 13/10; 11/10; 5/4; 5/4; 6/5; 13/10; 5/4; 39/29; 13/10; 13/10; ; 5/4; 5/4; 
Liverpool; 11/5; 12/5; ; 2; 5/2; 21/10; 85/40; 11/5; 2; 11/5; 2; 5/2; 9/4; 2; 2; 21/10; 23/10; 39/19; 11/5; 11/5; 2; 39/19; 23/10; 2; 2; ; 21/10; 19/10; 
Draw; 12/5; 5/2; ; 5/2; 5/2; 5/2; 13/5; 23/10; 5/2; 40/17; 12/5; 9/4; 5/2; 51/20; 12/5; 12/5; 23/10; 27/11; 40/17; 23/10; 12/5; 27/11; 5/2; 28/11; 12/5; ; 12/5; 11/5; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-12 00:16:37 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 6/5; 11/10; 13/10; 5/4; 5/4; 5/4; 13/10; 5/4; 13/10; 13/10; 5/4; 11/10; 23/20; 5/4; 5/4; 5/4; 15/13; 5/4; 13/10; 13/10; 13/10; 5/4; 39/29; 13/10; 5/4; ; 5/4; 6/5; 
Liverpool; 11/5; 12/5; 41/20; 2; 9/4; 11/5; 85/40; 11/5; 85/40; 2; 2; 5/2; 9/4; 21/10; 2; 21/10; 11/5; 39/19; 2; 2; 2; 39/19; 23/10; 2; 2; ; 11/5; 9/5; 
Draw; 12/5; 5/2; 5/2; 5/2; 12/5; 5/2; 13/5; 23/10; 5/2; 27/11; 5/2; 9/4; 5/2; 13/5; 5/2; 5/2; 23/10; 5/2; 27/11; 23/10; 12/5; 5/2; 5/2; 28/11; 12/5; ; 12/5; 11/5; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-12 04:16:39 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 13/10; 11/10; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4; 13/10; 13/10; 5/4; 11/10; 23/20; 5/4; 5/4; 5/4; 15/13; 5/4; 13/10; 13/10; 13/10; 5/4; 39/29; 23/18; 5/4; ; 5/4; 6/5; 
Liverpool; 2; 12/5; 41/20; 2; 9/4; 11/5; 85/40; 11/5; 85/40; 2; 2; 5/2; 9/4; 21/10; 21/10; 21/10; 11/5; 39/19; 2; 2; 2; 39/19; 23/10; 2; 2; ; 11/5; 19/10; 
Draw; 12/5; 5/2; 5/2; 5/2; 12/5; 5/2; 13/5; 23/10; 5/2; 27/11; 12/5; 9/4; 5/2; 13/5; 12/5; 5/2; 23/10; 27/11; 27/11; 23/10; 12/5; 27/11; 5/2; 28/11; 12/5; ; 12/5; 11/5; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-12 08:16:36 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 13/10; 11/10; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4; 13/10; 13/10; 5/4; 11/10; 23/20; 5/4; 5/4; 5/4; 15/13; 5/4; 13/10; 13/10; 13/10; 5/4; ; 23/18; 5/4; ; 5/4; 23/20; 
Liverpool; 2; 12/5; 21/10; 2; 9/4; 11/5; 85/40; 11/5; 85/40; 2; 21/10; 5/2; 9/4; 21/10; 21/10; 21/10; 11/5; 21/10; 2; 2; 2; 21/10; ; 2; 21/10; ; 11/5; 2; 
Draw; 12/5; 5/2; 5/2; 5/2; 12/5; 5/2; 13/5; 23/10; 5/2; 27/11; 12/5; 9/4; 5/2; 13/5; 12/5; 5/2; 23/10; 27/11; 27/11; 23/10; 12/5; 27/11; ; 28/11; 12/5; ; 12/5; 11/5; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-12 12:16:46 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 13/10; 11/10; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4; 13/10; 13/10; 5/4; 11/10; 23/20; 5/4; 5/4; 5/4; 15/13; 5/4; 13/10; 13/10; 13/10; 5/4; 4/3; 23/18; 5/4; ; 5/4; 5/4; 
Liverpool; 2; 12/5; 21/10; 21/10; 9/4; 11/5; 85/40; 11/5; 85/40; 2; 21/10; 5/2; 9/4; 21/10; 21/10; 21/10; 11/5; 21/10; 2; 2; 2; 21/10; 41/18; 2; 21/10; ; 11/5; 11/5; 
Draw; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; 13/5; 23/10; 5/2; 27/11; 12/5; 9/4; 5/2; 13/5; 12/5; 5/2; 23/10; 27/11; 27/11; 23/10; 12/5; 27/11; 23/9; 28/11; 12/5; ; 12/5; 12/5; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-12 16:16:47 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 13/10; 6/5; 5/4; 13/10; 5/4; 5/4; 13/10; 5/4; 13/10; 26/19; 5/4; 11/10; 23/20; 5/4; 5/4; 5/4; 5/4; 5/4; 26/19; 13/10; 11/8; 5/4; 25/19; 23/18; 5/4; ; 5/4; 13/10; 13/10
Liverpool; 2; 11/5; 21/10; 21/10; 9/4; 11/5; 85/40; 11/5; 85/40; 37/19; 21/10; 5/2; 9/4; 21/10; 21/10; 21/10; 12/5; 21/10; 37/19; 2; 19/10; 21/10; 40/17; 2; 2; ; 11/5; 11/5; 23/10
Draw; 12/5; 12/5; 5/2; 23/10; 12/5; 5/2; 13/5; 23/10; 5/2; 27/11; 12/5; 9/4; 5/2; 13/5; 12/5; 5/2; 5/2; 27/11; 27/11; 23/10; 12/5; 27/11; 5/2; 28/11; 12/5; ; 12/5; 12/5; 12/5
META; english/premier-league/chelsea-v-liverpool; 2016-09-12 20:16:57 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 13/10; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 5/4; 13/10; 13/10; 5/4; 13/10; 23/20; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 13/10; 13/10; 5/4; 25/19; 23/18; 13/10; ; 5/4; 13/10; 13/10
Liverpool; 21/10; 2; 21/10; 21/10; 9/4; 11/5; 85/40; 11/5; 85/40; 21/10; 21/10; 11/5; 9/4; 21/10; 21/10; 21/10; 12/5; 21/10; 21/10; 2; 21/10; 21/10; 40/17; 2; 21/10; ; 11/5; 11/5; 23/10
Draw; 12/5; 5/2; 5/2; 23/10; 12/5; 5/2; 13/5; 23/10; 5/2; 5/2; 12/5; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 5/2; 5/2; 23/10; 5/2; 5/2; 5/2; 28/11; 12/5; ; 12/5; 12/5; 12/5
META; english/premier-league/chelsea-v-liverpool; 2016-09-13 00:16:42 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 5/4; 6/5; 6/5; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 6/5; 5/4; 23/20; 6/5; 6/5; 5/4; 13/10; 6/5; 5/4; 13/10; 5/4; 6/5; 13/10; 22/19; 6/5; ; ; 5/4; 5/4
Liverpool; 11/5; 2; 43/20; 11/5; 9/4; 11/5; 23/10; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 9/4; 9/4; 21/10; 11/5; 9/4; 11/5; 2; 11/5; 9/4; 12/5; 23/10; 9/4; ; ; 11/5; 23/10
Draw; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; 23/10; 5/2; 5/2; 12/5; 5/2; 5/2; 51/20; 12/5; 5/2; 5/2; 27/11; 5/2; 23/10; 5/2; 27/11; 5/2; 28/11; 12/5; ; ; 12/5; 12/5
META; english/premier-league/chelsea-v-liverpool; 2016-09-13 04:16:48 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 5/4; 6/5; 6/5; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 6/5; 5/4; 23/20; 6/5; 6/5; 5/4; 13/10; 6/5; 5/4; 6/5; 5/4; 6/5; 13/10; 13/11; 6/5; ; 6/5; 5/4; 5/4
Liverpool; 11/5; 2; 43/20; 11/5; 9/4; 11/5; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; 9/4; 21/10; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 12/5; 9/4; 9/4; ; 23/10; 9/4; 12/5
Draw; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; 13/5; 23/10; 5/2; 5/2; 12/5; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 27/11; 5/2; 23/10; 5/2; 27/11; 5/2; 28/11; 12/5; ; 12/5; 12/5; 12/5
META; english/premier-league/chelsea-v-liverpool; 2016-09-13 08:16:39 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 5/4; 6/5; 6/5; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 6/5; 5/4; 23/20; 6/5; 6/5; 5/4; 5/4; 6/5; 5/4; 6/5; 5/4; 6/5; 13/10; 13/11; 6/5; ; ; 5/4; 5/4
Liverpool; 11/5; 2; 43/20; 11/5; 9/4; 11/5; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; 9/4; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 12/5; 9/4; 9/4; ; ; 9/4; 12/5
Draw; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; 13/5; 23/10; 5/2; 5/2; 12/5; 5/2; 5/2; 13/5; 12/5; 5/2; 13/5; 27/11; 5/2; 23/10; 5/2; 27/11; 5/2; 28/11; 12/5; ; ; 12/5; 12/5
META; english/premier-league/chelsea-v-liverpool; 2016-09-13 12:16:56 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 5/4; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 23/20; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4; 6/5; 5/4; 5/4; 13/10; 13/11; 6/5; ; 6/5; 5/4; 5/4
Liverpool; 11/5; 2; 43/20; 11/5; 9/4; 11/5; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 21/10; 11/5; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 12/5; 9/4; 9/4; ; 23/10; 9/4; 12/5
Draw; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; 13/5; 23/10; 5/2; 5/2; 23/10; 5/2; 5/2; 51/20; 12/5; 5/2; 13/5; 12/5; 5/2; 23/10; 5/2; 12/5; 5/2; 28/11; 12/5; ; 12/5; 12/5; 12/5
META; english/premier-league/chelsea-v-liverpool; 2016-09-13 16:17:07 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 5/4; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 23/20; 5/4; 6/5; 5/4; 13/10; 5/4; 5/4; 6/5; 5/4; 5/4; 23/18; 13/11; 6/5; ; 5/4; 5/4; 13/10
Liverpool; 11/5; 2; 43/20; 11/5; 9/4; 11/5; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 21/10; 11/5; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 12/5; 9/4; 9/4; ; 9/4; 11/5; 23/10
Draw; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; 13/5; 23/10; 5/2; 5/2; 23/10; 5/2; 5/2; 51/20; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 5/2; 12/5; 28/11; 28/11; 12/5; ; 12/5; 12/5; 12/5
META; english/premier-league/chelsea-v-liverpool; 2016-09-13 20:17:05 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 5/4; 5/4; 6/5; 5/4; 5/4; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 23/20; 5/4; 6/5; 5/4; 13/10; 5/4; 5/4; 6/5; 5/4; 5/4; 23/18; 13/11; 6/5; ; 5/4; 5/4; 13/10
Liverpool; 11/5; 2; 43/20; 11/5; 9/4; 11/5; 9/4; 11/5; 11/5; 11/5; 21/10; 11/5; 9/4; 21/10; 11/5; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 12/5; 9/4; 9/4; ; 9/4; 11/5; 23/10
Draw; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 5/2; 51/20; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 5/2; 12/5; 28/11; 28/11; 12/5; ; 12/5; 12/5; 12/5
META; english/premier-league/chelsea-v-liverpool; 2016-09-14 00:16:44 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 5/4; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 23/20; 5/4; 6/5; 5/4; 13/10; 5/4; 5/4; 6/5; 5/4; 5/4; 23/18; 13/11; 5/4; ; 5/4; 5/4; 13/10
Liverpool; 11/5; 2; 21/10; 11/5; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 21/10; 11/5; 9/4; 21/10; 11/5; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 12/5; 9/4; 11/5; ; 9/4; 11/5; 23/10
Draw; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; 13/5; 23/10; 5/2; 5/2; 12/5; 5/2; 5/2; 51/20; 12/5; 5/2; 5/2; 27/11; 5/2; 23/10; 5/2; 27/11; 28/11; 28/11; 12/5; ; 12/5; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-14 04:16:29 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 5/4; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 23/20; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 6/5; 5/4; 5/4; 23/18; 6/5; 5/4; ; 5/4; 5/4; 13/10
Liverpool; 11/5; 2; 21/10; 11/5; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 21/10; 11/5; 9/4; 21/10; 11/5; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 12/5; 11/5; 11/5; ; 9/4; 11/5; 23/10
Draw; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; 13/5; 23/10; 5/2; 5/2; 12/5; 5/2; 5/2; 51/20; 12/5; 5/2; 13/5; 27/11; 5/2; 23/10; 5/2; 27/11; 28/11; 28/11; 12/5; ; 12/5; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-14 08:16:32 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 23/20; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 6/5; 5/4; 5/4; 23/18; 6/5; 5/4; ; 5/4; ; 13/10
Liverpool; 11/5; 2; 21/10; 11/5; 9/4; 23/10; 11/5; 11/5; 11/5; 11/5; 21/10; 11/5; 9/4; 21/10; 11/5; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 12/5; 11/5; 11/5; ; 9/4; ; 23/10
Draw; 12/5; 5/2; 5/2; 23/10; 12/5; 5/2; 13/5; 23/10; 5/2; 5/2; 12/5; 5/2; 5/2; 51/20; 12/5; 5/2; 13/5; 27/11; 5/2; 23/10; 5/2; 27/11; 28/11; 28/11; 12/5; ; 12/5; ; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-14 12:16:34 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; ; 5/4; 5/4; 23/20; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 6/5; 5/4; 5/4; 23/18; 6/5; 5/4; ; 5/4; 5/4; 13/10
Liverpool; 11/5; 2; 21/10; 9/4; 9/4; 23/10; 11/5; 11/5; 11/5; ; 21/10; 11/5; 9/4; 21/10; 11/5; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 12/5; 11/5; 11/5; ; 9/4; 11/5; 23/10
Draw; 12/5; 5/2; 5/2; 9/4; 12/5; 5/2; 13/5; 23/10; 5/2; ; 12/5; 5/2; 5/2; 51/20; 12/5; 5/2; 13/5; 27/11; 5/2; 23/10; 5/2; 27/11; 28/11; 5/2; 12/5; ; 12/5; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-14 16:16:38 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; ; 6/5; 5/4; 23/20; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4; 6/5; 5/4; 5/4; 13/10; 6/5; 5/4; ; 5/4; 5/4; 13/10
Liverpool; 11/5; 2; 21/10; 21/10; 9/4; 23/10; 11/5; 11/5; 11/5; ; 21/10; 11/5; 9/4; 21/10; 11/5; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 40/17; 11/5; 11/5; ; 9/4; 11/5; 23/10
Draw; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; 13/5; 23/10; 5/2; ; 12/5; 5/2; 5/2; 13/5; 12/5; 5/2; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 28/11; 5/2; 12/5; ; 12/5; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-14 20:16:30 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 6/5; 5/4; 13/10; 5/4; 6/5; 5/4; 5/4; 5/4; 13/10; 6/5; 13/10; 5/4; 13/10; 6/5; 5/4; ; 5/4; 5/4; 13/10
Liverpool; 11/5; 2; 21/10; 21/10; 9/4; 23/10; 9/4; 23/10; 11/5; 9/4; 21/10; 11/5; 19/10; 21/10; 11/5; 21/10; 9/4; 11/5; 9/4; 11/5; 9/4; 11/5; 40/17; 11/5; 11/5; ; 9/4; 11/5; 23/10
Draw; 12/5; 5/2; 13/5; 12/5; 12/5; 5/2; 5/2; 23/10; 5/2; 28/11; 12/5; 5/2; 13/5; 13/5; 12/5; 5/2; 13/5; 5/2; 28/11; 23/10; 5/2; 5/2; 28/11; 5/2; 5/2; ; 12/5; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-15 00:16:28 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 6/5; 5/4; 13/10; 5/4; 6/5; 5/4; ; 5/4; 13/10; 6/5; 13/10; 5/4; 13/10; 6/5; 5/4; ; 5/4; 13/10; 13/10
Liverpool; 11/5; 2; 21/10; 21/10; 9/4; 23/10; 9/4; 23/10; 11/5; 9/4; 21/10; 11/5; 19/10; 21/10; 11/5; 21/10; ; 11/5; 9/4; 11/5; 9/4; 11/5; 40/17; 11/5; 11/5; ; 11/5; 21/10; 23/10
Draw; 12/5; 5/2; 13/5; 12/5; 12/5; 5/2; 5/2; 23/10; 5/2; 28/11; 12/5; 5/2; 13/5; 13/5; 12/5; 5/2; ; 5/2; 28/11; 23/10; 5/2; 5/2; 28/11; 5/2; 5/2; ; 12/5; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-15 01:01:06 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 5/4; 6/5; 5/4; 5/4; 5/4; 13/10; 6/5; 13/10; 5/4; 13/10; 6/5; 5/4; ; 5/4; 13/10; 13/10
Liverpool; 11/5; 2; 21/10; 21/10; 9/4; 23/10; 9/4; 23/10; 11/5; 9/4; 21/10; 11/5; 19/10; 21/10; 11/5; 21/10; 11/5; 11/5; 9/4; 11/5; 9/4; 11/5; 40/17; 11/5; 11/5; ; 11/5; 21/10; 23/10
Draw; 12/5; 5/2; 13/5; 12/5; 12/5; 5/2; 5/2; 23/10; 5/2; 28/11; 12/5; 5/2; 13/5; 51/20; 12/5; 5/2; 5/2; 5/2; 28/11; 23/10; 5/2; 5/2; 28/11; 5/2; 12/5; ; 12/5; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-15 01:46:04 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 5/4; 6/5; 5/4; 5/4; 5/4; 13/10; 6/5; 13/10; 5/4; 13/10; 6/5; 5/4; ; 5/4; 13/10; 13/10
Liverpool; 11/5; 2; 21/10; 21/10; 9/4; 23/10; 9/4; 23/10; 11/5; 9/4; 21/10; 11/5; 19/10; 21/10; 11/5; 21/10; 11/5; 11/5; 9/4; 11/5; 9/4; 11/5; 40/17; 11/5; 11/5; ; 11/5; 21/10; 23/10
Draw; 12/5; 13/5; 13/5; 12/5; 12/5; 5/2; 5/2; 23/10; 5/2; 28/11; 12/5; 5/2; 13/5; 51/20; 12/5; 5/2; 5/2; 5/2; 28/11; 23/10; 5/2; 5/2; 28/11; 5/2; 12/5; ; 12/5; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-15 03:46:06 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 5/4; 6/5; 5/4; 5/4; 5/4; 13/10; 6/5; 13/10; 5/4; 13/10; 6/5; 5/4; ; 5/4; 13/10; 13/10
Liverpool; 11/5; 21/10; 21/10; 21/10; 9/4; 9/4; 11/5; 23/10; 11/5; 9/4; 21/10; 11/5; 19/10; 21/10; 11/5; 21/10; 11/5; 11/5; 9/4; 11/5; 9/4; 11/5; 40/17; 11/5; 11/5; ; 11/5; 21/10; 23/10
Draw; 12/5; 5/2; 13/5; 12/5; 12/5; 5/2; 5/2; 23/10; 5/2; 28/11; 12/5; 5/2; 13/5; 51/20; 12/5; 5/2; 5/2; 5/2; 28/11; 23/10; 5/2; 5/2; 28/11; 5/2; 12/5; ; 12/5; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-15 04:16:06 GMT+3; 2016-09-16 20:00; e70300-dr003
