META; english/premier-league/man-utd-v-arsenal; 2016-10-25 20:18:13 GMT+3; 2016-11-19 12:30; e70300-dr003
Arsenal; 7/4; 9/5; 7/4; 17/10; 7/4; 15/8; 19/10; 13/8; 9/5; 9/5; 9/5; 13/8; 7/4; 9/5; 9/5; 7/4; 9/5; 7/4; 17/10; 7/4; 9/5; 21/11; 9/5; 7/4; 9/5; ; 9/5; 7/4; 19/10
Draw; 23/10; 23/10; 23/10; 11/5; 9/4; 9/4; 23/10; 23/10; 23/10; 21/10; 9/4; 12/5; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; 28/13; 40/17; 11/5; 28/13; 21/10; ; 11/5; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-12 08:17:16 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 8/5; 31/20; 13/8; 5/3; 13/8; 13/8; 13/8; 8/5; 6/4; 8/5; 31/20; 13/8; 17/10; 17/11; 17/11; 28/17; 8/5; 13/8; 17/11; 32/19; 8/5; 28/17; 8/5; ; 13/8; 6/4; 13/8
Arsenal; 7/4; 9/5; 7/4; 17/10; 7/4; 15/8; 19/10; 13/8; 9/5; 9/5; 9/5; 13/8; 7/4; 9/5; 9/5; 7/4; 9/5; 7/4; 17/10; 7/4; 9/5; 21/11; 9/5; 7/4; 9/5; ; 9/5; 7/4; 19/10
Draw; 23/10; 23/10; 23/10; 11/5; 9/4; 9/4; 23/10; 23/10; 23/10; 21/10; 9/4; 12/5; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; 28/13; 40/17; 11/5; 28/13; 21/10; ; 11/5; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-12 12:17:56 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 8/5; 31/20; 13/8; 5/3; 13/8; 13/8; 13/8; 8/5; 6/4; 8/5; 31/20; 13/8; 17/10; 17/11; 17/11; 28/17; 8/5; 13/8; 17/11; 32/19; 8/5; 28/17; 8/5; ; 13/8; 6/4; 13/8
Arsenal; 7/4; 9/5; 9/5; 17/10; 7/4; 15/8; 19/10; 13/8; 9/5; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 9/5; 9/5; 7/4; 17/10; 7/4; 9/5; 21/11; 9/5; 7/4; 9/5; ; 9/5; 7/4; 19/10
Draw; 23/10; 23/10; 23/10; 11/5; 9/4; 9/4; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; 28/13; 40/17; 11/5; 28/13; 21/10; ; 11/5; 19/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-12 16:17:34 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 8/5; 31/20; 13/8; 5/3; 13/8; 13/8; 13/8; 8/5; 6/4; 8/5; 31/20; 13/8; 17/10; 17/11; 17/11; 28/17; 8/5; 13/8; 17/11; 28/17; 8/5; 28/17; 8/5; ; 13/8; 6/4; 13/8
Arsenal; 7/4; 9/5; 7/4; 17/10; 7/4; 15/8; 19/10; 13/8; 9/5; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 7/4; 9/5; 7/4; 17/10; 7/4; 9/5; 37/19; 9/5; 7/4; 9/5; ; 9/5; 7/4; 19/10
Draw; 23/10; 23/10; 23/10; 11/5; 9/4; 9/4; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 23/10; 21/10; 21/10; 9/4; 28/13; 28/13; 11/5; 21/10; 28/13; 40/17; 11/5; 28/13; 21/10; ; 11/5; 21/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-12 20:17:34 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 8/5; 31/20; 13/8; 5/3; 13/8; 13/8; 13/8; 8/5; 6/4; 8/5; 31/20; 8/5; 17/10; 17/11; 17/11; 28/17; 8/5; 13/8; 17/11; 28/17; 8/5; ; 8/5; ; 13/8; 6/4; 13/8
Arsenal; 7/4; 9/5; 7/4; 17/10; 7/4; 15/8; 19/10; 13/8; 9/5; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 7/4; 9/5; 7/4; 17/10; 7/4; 9/5; 37/19; 9/5; ; 9/5; ; 9/5; 7/4; 19/10
Draw; 23/10; 23/10; 23/10; 11/5; 9/4; 9/4; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 23/10; 21/10; 21/10; 9/4; 28/13; 11/5; 11/5; 11/5; 28/13; 40/17; 11/5; ; 21/10; ; 9/4; 11/5; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-13 00:16:52 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 8/5; 31/20; 13/8; 5/3; 13/8; 13/8; 13/8; 8/5; 6/4; 8/5; 31/20; 8/5; 17/10; 17/11; 17/11; 28/17; 8/5; 13/8; 17/11; 28/17; 8/5; 28/17; 8/5; ; 13/8; 6/4; 13/8
Arsenal; 7/4; 9/5; 7/4; 17/10; 7/4; 37/20; 19/10; 13/8; 9/5; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 7/4; 7/4; 7/4; 17/10; 7/4; 7/4; 37/19; 9/5; 7/4; 9/5; ; 9/5; 7/4; 19/10
Draw; 23/10; 23/10; 23/10; 11/5; 9/4; 9/4; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 23/10; 21/10; 21/10; 9/4; 28/13; 11/5; 11/5; 11/5; 28/13; 40/17; 11/5; 11/5; 21/10; ; 9/4; 21/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-13 04:16:54 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 8/5; 31/20; 13/8; 5/3; 13/8; 13/8; 13/8; 8/5; 6/4; 8/5; 31/20; 8/5; 17/10; 17/11; 17/11; 28/17; 8/5; 13/8; 17/11; 28/17; 8/5; 28/17; 8/5; ; 13/8; 6/4; 13/8
Arsenal; 7/4; 9/5; 9/5; 17/10; 7/4; 37/20; 19/10; 13/8; 9/5; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 7/4; 7/4; 7/4; 17/10; 7/4; 7/4; 37/19; 9/5; 7/4; 9/5; ; 9/5; 7/4; 19/10
Draw; 23/10; 23/10; 23/10; 11/5; 9/4; 9/4; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 23/10; 21/10; 21/10; 9/4; 28/13; 11/5; 11/5; 11/5; 28/13; 40/17; 11/5; 11/5; 21/10; ; 9/4; 11/5; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-13 08:16:52 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 8/5; 31/20; 13/8; 5/3; 13/8; 13/8; 13/8; 8/5; 6/4; 8/5; 31/20; 8/5; 17/10; 17/11; 17/11; 28/17; 8/5; 13/8; 17/11; 28/17; 8/5; 28/17; 8/5; ; 13/8; 6/4; 13/8
Arsenal; 7/4; 9/5; 9/5; 17/10; 7/4; 37/20; 19/10; 13/8; 9/5; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 7/4; 7/4; 7/4; 17/10; 7/4; 7/4; 37/19; 9/5; 7/4; 9/5; ; 9/5; 7/4; 19/10
Draw; 23/10; 23/10; 23/10; 11/5; 9/4; 9/4; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 23/10; 21/10; 21/10; 9/4; 28/13; 11/5; 11/5; 11/5; 28/13; 40/17; 11/5; 11/5; 21/10; ; 9/4; 11/5; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-13 12:17:04 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 8/5; 31/20; 13/8; 5/3; 13/8; 13/8; 13/8; 8/5; 6/4; 8/5; 31/20; 8/5; 17/10; 17/11; 17/11; 28/17; 8/5; 13/8; 17/11; 28/17; 8/5; 28/17; 8/5; ; 13/8; 6/4; 13/8
Arsenal; 7/4; 9/5; 9/5; 17/10; 7/4; 15/8; 19/10; 13/8; 9/5; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 7/4; 7/4; 7/4; 17/10; 7/4; 7/4; 37/19; 9/5; 7/4; 9/5; ; 9/5; 7/4; 19/10
Draw; 23/10; 23/10; 23/10; 11/5; 9/4; 9/4; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 23/10; 21/10; 21/10; 9/4; 28/13; 11/5; 11/5; 11/5; 28/13; 40/17; 11/5; 11/5; 21/10; ; 9/4; 11/5; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-13 16:17:11 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 8/5; 31/20; 13/8; 5/3; 13/8; 13/8; 13/8; 6/4; 6/4; 8/5; 31/20; 8/5; 17/10; 17/11; 17/11; 28/17; 8/5; 13/8; 17/11; 28/17; 8/5; ; 6/4; ; 13/8; 6/4; 13/8
Arsenal; 7/4; 9/5; 9/5; 9/5; 7/4; 15/8; 19/10; 13/8; 9/5; 9/5; 9/5; 7/4; 9/5; 9/5; 9/5; 7/4; 9/5; 7/4; 17/10; 7/4; 9/5; 37/19; 9/5; ; 9/5; ; 9/5; 7/4; 19/10
Draw; 23/10; 23/10; 23/10; 9/4; 9/4; 9/4; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 9/4; 21/10; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 40/17; 11/5; ; 21/10; ; 11/5; 11/5; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-13 20:17:23 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 8/5; 31/20; 13/8; 5/3; 13/8; 13/8; 13/8; 6/4; 31/20; 8/5; 31/20; 8/5; 17/10; 17/11; 8/5; 28/17; 8/5; 13/8; 8/5; 28/17; 11/7; ; 8/5; ; 13/8; 6/4; 13/8
Arsenal; 7/4; 9/5; 9/5; 9/5; 7/4; 15/8; 19/10; 13/8; 9/5; 9/5; 7/4; 7/4; 7/4; 9/5; 9/5; 7/4; 9/5; 7/4; 17/10; 7/4; 9/5; 37/19; 35/19; ; 9/5; ; 9/5; 7/4; 19/10
Draw; 23/10; 23/10; 23/10; 9/4; 9/4; 9/4; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 23/10; 21/10; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 40/17; 11/5; ; 21/10; ; 11/5; 11/5; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-14 00:16:50 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 31/20; 31/20; 8/5; 33/20; 13/8; 13/8; 13/8; 6/4; 31/20; 8/5; 31/20; 8/5; 17/10; 17/11; 8/5; 28/17; 8/5; 13/8; 8/5; 28/17; 14/9; 28/17; 8/5; ; 13/8; 6/4; 13/8
Arsenal; 7/4; 9/5; 9/5; 9/5; 9/5; 15/8; 19/10; 13/8; 9/5; 9/5; 7/4; 7/4; 7/4; 9/5; 9/5; 7/4; 9/5; 7/4; 17/10; 7/4; 9/5; 37/19; 24/13; 7/4; 9/5; ; 9/5; 7/4; 19/10
Draw; 23/10; 23/10; 23/10; 9/4; 9/4; 9/4; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 23/10; 21/10; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 40/17; 11/5; 11/5; 21/10; ; 11/5; 11/5; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-14 04:16:43 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 31/20; 31/20; 8/5; 33/20; 13/8; 13/8; 13/8; 6/4; 31/20; 8/5; 31/20; 8/5; 17/10; 17/11; 8/5; 28/17; 8/5; 13/8; 8/5; 28/17; 14/9; 28/17; 8/5; ; 13/8; 6/4; 13/8
Arsenal; 7/4; 9/5; 9/5; 9/5; 9/5; 19/10; 19/10; 13/8; 9/5; 9/5; 7/4; 7/4; 7/4; 9/5; 9/5; 7/4; 9/5; 7/4; 17/10; 7/4; 9/5; 37/19; 24/13; 7/4; 9/5; ; 9/5; 7/4; 19/10
Draw; 23/10; 23/10; 23/10; 9/4; 9/4; 9/4; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 23/10; 21/10; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 40/17; 11/5; 11/5; 21/10; ; 9/4; 11/5; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-14 08:16:45 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 31/20; 31/20; 8/5; 33/20; 13/8; 13/8; 13/8; 8/5; 31/20; 8/5; 31/20; 8/5; 17/10; 17/11; 8/5; 28/17; 8/5; 13/8; 8/5; 28/17; 14/9; 28/17; 8/5; ; 13/8; 6/4; 13/8
Arsenal; 7/4; 9/5; 9/5; 9/5; 9/5; 19/10; 19/10; 13/8; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 9/5; 7/4; 9/5; 7/4; 17/10; 7/4; 9/5; 37/19; 24/13; 7/4; 9/5; ; 9/5; 7/4; 19/10
Draw; 23/10; 23/10; 23/10; 9/4; 9/4; 9/4; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 9/4; 21/10; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 40/17; 11/5; 11/5; 21/10; ; 9/4; 11/5; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-14 12:16:58 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 31/20; 31/20; 8/5; 33/20; 13/8; 13/8; 13/8; 8/5; 31/20; 8/5; 31/20; 8/5; 17/10; 17/11; 8/5; 28/17; 8/5; 13/8; ; 48/29; 14/9; 28/17; 8/5; ; 13/8; 8/5; 13/8
Arsenal; 7/4; 9/5; 9/5; 9/5; 9/5; 19/10; 19/10; 13/8; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 9/5; 7/4; 9/5; 7/4; 17/10; 7/4; ; 27/14; 24/13; 7/4; 9/5; ; 9/5; 9/5; 19/10
Draw; 23/10; 23/10; 23/10; 9/4; 9/4; 9/4; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 9/4; 21/10; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; ; 40/17; 11/5; 11/5; 21/10; ; 9/4; 9/4; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-14 20:16:53 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 31/20; 31/20; 8/5; 33/20; 13/8; 13/8; 13/8; 6/4; 31/20; 8/5; 31/20; 8/5; 17/10; 17/11; 8/5; 28/17; 8/5; 13/8; 8/5; 48/29; 28/17; 28/17; 8/5; ; 13/8; 8/5; 13/8
Arsenal; 7/4; 9/5; 9/5; 7/4; 9/5; 19/10; 19/10; 13/8; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 9/5; 7/4; 9/5; 7/4; 17/10; 7/4; 9/5; 27/14; 24/13; 7/4; 9/5; ; 9/5; 9/5; 19/10
Draw; 23/10; 23/10; 23/10; 11/5; 9/4; 9/4; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 9/4; 21/10; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 40/17; 11/5; 11/5; 11/5; ; 9/4; 9/4; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-15 00:16:59 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 31/20; 31/20; 8/5; 33/20; 13/8; 13/8; 13/8; 6/4; 31/20; 8/5; 31/20; 8/5; 17/10; 17/11; 8/5; 28/17; 8/5; 13/8; 8/5; 48/29; 28/17; 28/17; 8/5; ; 13/8; 8/5; 13/8
Arsenal; 7/4; 9/5; 9/5; 7/4; 9/5; 19/10; 19/10; 13/8; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 9/5; 7/4; 9/5; 7/4; 17/10; 7/4; 9/5; 27/14; 24/13; 7/4; 9/5; ; 9/5; 9/5; 9/5
Draw; 23/10; 23/10; 23/10; 11/5; 9/4; 9/4; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 9/4; 21/10; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 40/17; 11/5; 11/5; 11/5; ; 9/4; 23/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-15 04:17:01 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 31/20; 31/20; 8/5; 33/20; 13/8; 13/8; 13/8; 6/4; 31/20; 8/5; 31/20; 8/5; 17/10; 17/11; 8/5; 28/17; 8/5; 13/8; 8/5; 48/29; 28/17; 28/17; 8/5; ; 13/8; 8/5; 13/8
Arsenal; 7/4; 9/5; 9/5; 7/4; 9/5; 19/10; 19/10; 13/8; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 9/5; 7/4; 9/5; 7/4; 17/10; 7/4; 9/5; 27/14; 24/13; 7/4; 9/5; ; 9/5; 9/5; 9/5
Draw; 23/10; 23/10; 23/10; 11/5; 9/4; 9/4; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 9/4; 21/10; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 40/17; 11/5; 11/5; 11/5; ; 9/4; 23/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-15 08:16:51 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 31/20; 31/20; 8/5; 33/20; 13/8; 13/8; 13/8; 6/4; 31/20; 8/5; 31/20; 8/5; 17/10; 17/11; 8/5; 28/17; 8/5; 13/8; 8/5; 48/29; 28/17; 28/17; 8/5; ; 13/8; 8/5; 13/8
Arsenal; 7/4; 9/5; 9/5; 7/4; 9/5; 19/10; 19/10; 13/8; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 9/5; 7/4; 9/5; 7/4; 17/10; 7/4; 9/5; 27/14; 24/13; 7/4; 9/5; ; 9/5; 9/5; 19/10
Draw; 23/10; 23/10; 23/10; 11/5; 9/4; 9/4; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 9/4; 21/10; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 40/17; 11/5; 11/5; 11/5; ; 9/4; 23/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-15 12:17:00 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 31/20; 31/20; 8/5; 33/20; 13/8; 13/8; 13/8; 6/4; 31/20; 8/5; 31/20; 8/5; 13/8; 17/11; 8/5; 28/17; 8/5; 13/8; 8/5; 48/29; 28/17; 28/17; 8/5; ; 13/8; 8/5; 13/8
Arsenal; 7/4; 9/5; 9/5; 7/4; 9/5; 19/10; 19/10; 13/8; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 9/5; 7/4; 9/5; 7/4; 17/10; 7/4; 9/5; 27/14; 24/13; 7/4; 9/5; ; 9/5; 9/5; 19/10
Draw; 23/10; 23/10; 23/10; 11/5; 9/4; 9/4; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 9/4; 21/10; 11/5; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 40/17; 11/5; 11/5; 11/5; ; 9/4; 23/10; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-15 16:17:25 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 31/20; 31/20; 8/5; 33/20; 13/8; 13/8; 13/8; 6/4; 31/20; 8/5; 6/4; 8/5; 13/8; 17/11; 8/5; 28/17; 8/5; 13/8; 8/5; 48/29; 28/17; 28/17; 8/5; ; 13/8; 13/8; 13/8
Arsenal; 7/4; 9/5; 9/5; 7/4; 9/5; 19/10; 19/10; 13/8; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 9/5; 7/4; 9/5; 7/4; 17/10; 7/4; 9/5; 27/14; 24/13; 7/4; 15/8; ; 9/5; 9/5; 15/8
Draw; 23/10; 23/10; 23/10; 11/5; 9/4; 9/4; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 23/10; 21/10; 11/5; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 40/17; 11/5; 11/5; 11/5; ; 9/4; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-15 20:17:09 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 31/20; 6/4; 8/5; 13/8; 13/8; 13/8; 13/8; 6/4; 31/20; 8/5; 6/4; 8/5; 13/8; 17/11; 8/5; 28/17; 8/5; 13/8; 8/5; 48/29; 28/17; 28/17; 8/5; ; 13/8; 13/8; 13/8
Arsenal; 7/4; 9/5; 9/5; 17/10; 9/5; 19/10; 19/10; 13/8; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 9/5; 7/4; 9/5; 7/4; 17/10; 7/4; 9/5; 27/14; 24/13; 7/4; 15/8; ; 9/5; 9/5; 15/8
Draw; 23/10; 23/10; 23/10; 11/5; 9/4; 9/4; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 23/10; 21/10; 11/5; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 40/17; 11/5; 11/5; 11/5; ; 9/4; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-16 00:16:50 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 31/20; 6/4; 8/5; 13/8; 13/8; 13/8; 13/8; 6/4; 31/20; 8/5; 6/4; 8/5; 13/8; 17/11; 8/5; 28/17; 8/5; 13/8; 8/5; 48/29; 28/17; 28/17; 8/5; ; 13/8; 13/8; 13/8
Arsenal; 7/4; 9/5; 9/5; 17/10; 9/5; 19/10; 19/10; 13/8; 9/5; 9/5; 7/4; 7/4; 9/5; 15/8; 9/5; 7/4; 9/5; 7/4; 17/10; 7/4; 9/5; 27/14; 24/13; 7/4; 15/8; ; 9/5; 9/5; 15/8
Draw; 23/10; 23/10; 23/10; 11/5; 9/4; 9/4; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 23/10; 21/10; 11/5; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 40/17; 11/5; 11/5; 11/5; ; 11/5; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-16 04:19:31 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 13/8; 6/4; 31/20; 6/4; 8/5; 33/20; 13/8; 13/8; 13/8; 6/4; 31/20; 8/5; 31/20; 8/5; 13/8; 17/11; 8/5; 28/17; 8/5; 13/8; 8/5; ; 28/17; 28/17; 8/5; ; 13/8; 13/8; 17/10
Arsenal; 7/4; 9/5; 9/5; 17/10; 9/5; 19/10; 19/10; 13/8; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 9/5; 7/4; 9/5; 7/4; 17/10; 7/4; 9/5; ; 24/13; 7/4; 15/8; ; 9/5; 9/5; 15/8
Draw; 9/4; 23/10; 23/10; 11/5; 9/4; 9/4; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 9/4; 21/10; 11/5; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; ; 11/5; 11/5; 11/5; ; 11/5; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-16 08:16:46 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 13/8; 6/4; 31/20; 6/4; 8/5; 13/8; 13/8; 13/8; 13/8; 6/4; 31/20; 8/5; 31/20; 8/5; 13/8; 17/11; 8/5; 28/17; 8/5; 13/8; 8/5; 48/29; 28/17; 28/17; 8/5; ; 13/8; ; 17/10
Arsenal; 7/4; 9/5; 37/20; 9/5; 9/5; 19/10; 19/10; 13/8; 9/5; 9/5; 7/4; 7/4; 9/5; 15/8; 9/5; 7/4; 9/5; 7/4; 17/10; 7/4; 9/5; 27/14; 24/13; 7/4; 15/8; ; 9/5; ; 15/8
Draw; 9/4; 23/10; 23/10; 11/5; 9/4; 9/4; 23/10; 23/10; 23/10; 11/5; 9/4; 23/10; 9/4; 21/10; 11/5; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 40/17; 11/5; 11/5; 11/5; ; 11/5; ; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-16 12:17:20 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 13/8; 6/4; 31/20; 6/4; 8/5; 13/8; 31/20; 13/8; 13/8; 6/4; 31/20; 8/5; 6/4; 8/5; 13/8; 17/11; 8/5; 13/8; 8/5; 13/8; 8/5; 48/29; 14/9; ; 8/5; ; 13/8; 13/8; 13/8
Arsenal; 7/4; 9/5; 37/20; 7/4; 9/5; 19/10; 19/10; 13/8; 9/5; 9/5; 7/4; 7/4; 9/5; 15/8; 9/5; 7/4; 9/5; 24/13; 17/10; 9/5; 9/5; 27/14; 37/19; ; 15/8; ; 9/5; 7/4; 15/8
Draw; 9/4; 23/10; 23/10; 11/5; 9/4; 9/4; 12/5; 23/10; 23/10; 21/10; 9/4; 23/10; 23/10; 21/10; 11/5; 9/4; 11/5; 9/4; 11/5; 9/4; 11/5; 40/17; 11/5; ; 11/5; ; 11/5; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-16 16:16:40 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 6/4; 6/4; 8/5; 31/20; 31/20; 13/8; 6/4; 6/4; 6/4; 8/5; 6/4; 6/4; 13/8; 17/11; 8/5; 13/8; 8/5; 13/8; 8/5; 29/18; 14/9; 13/8; 6/4; ; 6/4; 6/4; 6/4
Arsenal; 9/5; 9/5; 15/8; 15/8; 9/5; 39/20; 19/10; 17/10; 15/8; 19/10; 9/5; 7/4; 15/8; 19/10; 9/5; 7/4; 24/13; 24/13; 17/10; 9/5; 24/13; 2; 37/19; 24/13; 15/8; ; 19/10; 9/5; 19/10
Draw ; 23/10; 23/10; 23/10; 23/10; 9/4; 23/10; 23/10; 12/5; 23/10; 21/10; 23/10; 23/10; 23/10; 21/10; 11/5; 12/5; 9/4; 9/4; 11/5; 9/4; 9/4; 40/17; 11/5; 9/4; 11/5; ; 9/4; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-16 20:17:05 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 6/4; 6/4; 8/5; 31/20; 31/20; 13/8; 6/4; ; 6/4; 8/5; 6/4; 6/4; 6/4; 17/11; 17/11; 11/7; 8/5; ; ; 29/18; 20/13; ; 6/4; ; 6/4; 6/4; 8/5
Arsenal; 9/5; 9/5; 15/8; 15/8; 9/5; 39/20; 19/10; 17/10; 15/8; ; 9/5; 7/4; 19/10; 19/10; 19/10; 7/4; 19/10; 2; 17/10; ; ; 2; 37/19; ; 15/8; ; 19/10; 19/10; 19/10
Draw ; 23/10; 23/10; 23/10; 23/10; 9/4; 23/10; 23/10; 12/5; 23/10; ; 23/10; 23/10; 23/10; 21/10; 9/4; 12/5; 9/4; 23/10; 11/5; ; ; 40/17; 9/4; ; 11/5; ; 9/4; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-17 00:16:43 GMT+2; 2016-11-19 12:30; e70300-dr003
