META; english/premier-league/watford-v-hull; 2016-10-15 20:17:22 GMT+3; 2016-10-29 15:00; e70300-dr003
Draw; 11/4; 13/5; 13/5; 13/5; 13/5; 13/5; 11/4; 13/5; 13/5; 13/5; 11/4; 5/2; ; 27/10; 13/5; 11/4; ; 27/10; 11/4; 27/10; 13/5; 25/9; 13/5; 27/10; 11/4; ; 13/5; 13/5; 
Hull; 17/4; 19/5; 17/4; 9/2; 9/2; 4; 22/5; 4; 17/4; 9/2; 9/2; 9/2; 17/4; 9/2; 9/2; 9/2; ; 9/2; 4; 9/2; 74/17; 23/5; 41/10; 9/2; 17/4; ; 21/5; 9/2; 
META; english/premier-league/watford-v-hull; 2016-10-29 12:54:04 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 7/10; 4/6; 8/11; 3/4; 3/4; 8/11; 8/11; 3/4; 4/6; 8/11; 8/11; 3/4; ; 3/4; 3/4; 8/11; ; 3/4; 13/18; 8/11; 5/7; 8/11; 13/18; 3/4; 8/11; ; 4/6; 8/11; 
Draw; 11/4; 11/4; 13/5; 5/2; 13/5; 27/10; 11/4; 13/5; 11/4; 13/5; 13/5; 5/2; ; 27/10; 13/5; 11/4; ; 27/10; 11/4; 27/10; 27/10; 11/4; 13/5; 27/10; 11/4; ; 13/5; 13/5; 
Hull; 19/4; 4; 17/4; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 9/2; 9/2; 9/2; 17/4; 9/2; 9/2; 9/2; ; 9/2; 4; 9/2; 22/5; 49/10; 9/2; 9/2; 17/4; ; 9/2; 9/2; 
META; english/premier-league/watford-v-hull; 2016-10-29 15:45:34 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 8/11; 7/10; 7/10; 3/4; 3/4; 7/10; 8/11; 3/4; 4/6; 8/11; 7/10; 3/4; 7/10; 7/10; 3/4; 8/11; ; 13/18; 13/18; 4/6; 9/13; 5/7; 9/13; 7/10; 7/10; ; 4/6; 4/6; 
Draw; 11/4; 13/5; 11/4; 13/5; 13/5; 11/4; 27/10; 13/5; 11/4; 13/5; 13/5; 5/2; 27/10; 11/4; 13/5; 11/4; ; 25/9; 11/4; 11/4; 27/10; 14/5; 11/4; 25/9; 13/5; ; 27/10; 27/10; 
Hull; 9/2; 4; 19/4; 9/2; 9/2; 460/100; 19/4; 4; 9/2; 9/2; 19/4; 9/2; 17/4; 5; 9/2; 9/2; ; 55/12; 4; 24/5; 47/10; 49/10; 9/2; 24/5; 9/2; ; 23/5; 23/5; 
META; english/premier-league/watford-v-hull; 2016-10-29 16:17:25 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 8/11; 7/10; 7/10; 3/4; 8/11; 7/10; 8/11; 3/4; 4/6; 8/11; 7/10; 3/4; 7/10; 7/10; 3/4; 8/11; ; 7/10; 13/18; 4/6; 9/13; 5/7; 9/13; 7/10; 7/10; ; 4/6; 4/6; 
Draw; 11/4; 13/5; 11/4; 13/5; 11/4; 11/4; 27/10; 13/5; 11/4; 13/5; 13/5; 5/2; 27/10; 11/4; 13/5; 11/4; ; 25/9; 11/4; 11/4; 45/17; 14/5; 11/4; 25/9; 13/5; ; 27/10; 27/10; 
Hull; 9/2; 4; 19/4; 9/2; 9/2; 460/100; 19/4; 4; 9/2; 9/2; 19/4; 9/2; 17/4; 5; 9/2; 9/2; ; 24/5; 4; 24/5; 47/10; 49/10; 9/2; 24/5; 9/2; ; 23/5; 23/5; 
META; english/premier-league/watford-v-hull; 2016-10-29 17:45:30 GMT+3; 2016-10-29 15:00; In Play; e70300-dr003
Watford; 8/11; ; ; ; ; 19/20; 7/10; ; ; 10/11; ; ; 19/20; ; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; ; ; ; ; 17/10; 5/2; ; ; ; ; ; 17/10; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; 
Hull; 9/2; ; ; ; ; 470/100; 17/4; ; ; 19/4; ; ; 19/4; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/watford-v-hull; 2016-10-29 18:31:06 GMT+3; 2016-10-29 15:00; In Play; e70300-dr003
Watford; 15/8; 7/4; 10/11; 9/10; ; 39/20; 15/8; 13/8; ; 19/10; 15/8; 4/5; 8/5; 13/20; ; ; ; ; 9/5; ; ; ; ; ; ; ; 10/11; 21/20; 
Draw; 8/11; 8/11; 37/20; 13/8; ; 7/10; 8/11; 4/5; ; 8/11; 7/10; 21/10; 9/10; 5/2; ; ; ; ; 3/4; ; ; ; ; ; ; ; 7/4; 8/5; 
Hull; 13/2; 5; 19/4; 4; ; 13/2; 13/2; 11/2; ; 6; 6; 9/2; 11/2; 24/5; ; ; ; ; 6; ; ; ; ; ; ; ; 24/5; 5; 
