META; english/premier-league/burnley-v-man-city; 2016-11-01 04:17:55 GMT+3; 2016-11-26 12:30; e70300-dr003
Draw; 9/2; 9/2; 17/4; 9/2; 9/2; 5; 22/5; 9/2; 19/4; 9/2; 4; 4; 9/2; 9/2; 9/2; 9/2; 24/5; 74/17; 19/4; 21/5; 24/5; 49/10; 49/10; 74/17; 9/2; ; 22/5; ; 5
Burnley; 17/2; 9; 9; 9; 17/2; 19/2; 19/2; 8; 17/2; 9; 10; 8; 9; 9; 9; 9; 9; 17/2; 8; 17/2; 9; 19/2; 87/10; 17/2; 8; ; 17/2; ; 49/5
META; english/premier-league/burnley-v-man-city; 2016-11-20 16:17:08 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; 3/10; 3/10; 2/7; 3/10; 3/10; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 2/7; 30/100; 1/3; 5/19; 5/18; 3/11; 1/4; 5/19; 1/3; 2/7; 5/18; 2/7; ; 3/10; ; 2/7
Draw; 9/2; 9/2; 17/4; 9/2; 9/2; 5; 22/5; 9/2; 19/4; 9/2; 4; 4; 9/2; 9/2; 9/2; 9/2; 63/13; 19/4; 19/4; 23/5; 63/13; 49/10; 49/10; 19/4; 9/2; ; 22/5; ; 5
Burnley; 17/2; 17/2; 9; 9; 17/2; 19/2; 19/2; 8; 17/2; 9; 10; 8; 9; 9; 9; 9; 37/4; 9; 8; 9; 37/4; 19/2; 87/10; 9; 8; ; 9; ; 49/5
META; english/premier-league/burnley-v-man-city; 2016-11-20 20:16:59 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 3/10; 30/100; 1/3; 3/11; 5/18; 3/11; 1/4; 3/11; 1/3; 2/7; 5/18; 2/7; ; 1/3; ; 3/10
Draw; 9/2; 9/2; 17/4; 4; 9/2; 19/4; 5; 9/2; 19/4; 9/2; 4; 4; 19/4; 9/2; 9/2; 9/2; 24/5; 19/4; 19/4; 23/5; 24/5; 49/10; 49/10; 19/4; 17/4; ; 23/5; ; 5
Burnley; 17/2; 17/2; 9; 10; 17/2; 9; 8; 8; 17/2; 9; 10; 8; 8; 17/2; 9; 9; 37/4; 9; 8; 9; 37/4; 19/2; 87/10; 9; 17/2; ; 17/2; ; 47/5
META; english/premier-league/burnley-v-man-city; 2016-11-21 00:16:42 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; 3/10; 2/7; 1/4; 3/10; 3/10; 1/3; 3/10; 3/10; 2/7; 3/10; 1/3; 2/7; 2/7; 30/100; 1/3; 3/11; 5/18; 3/11; 1/4; 3/11; 1/3; 2/7; 5/18; 2/7; ; 1/3; ; 3/10
Draw; 9/2; 9/2; 9/2; 4; 9/2; 19/4; 5; 9/2; 5; 9/2; 4; 4; 19/4; 9/2; 9/2; 9/2; 24/5; 19/4; 19/4; 23/5; 24/5; 49/10; 49/10; 19/4; 9/2; ; 23/5; ; 5
Burnley; 17/2; 17/2; 9; 9; 17/2; 9; 8; 8; 9; 9; 10; 8; 8; 9; 9; 9; 9; 9; 8; 9; 9; 19/2; 87/10; 9; 8; ; 17/2; ; 47/5
META; english/premier-league/burnley-v-man-city; 2016-11-21 04:16:42 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/4; 3/10; 2/7; 1/4; 3/10; 3/10; 1/3; 3/10; 3/10; 2/7; 3/10; 1/3; 2/7; 2/7; 30/100; 3/10; 3/11; 5/18; 3/11; 1/4; 3/11; 1/3; 2/7; 5/18; 2/7; ; 1/3; ; 3/10
Draw; 5; 17/4; 9/2; 4; 9/2; 19/4; 5; 9/2; 5; 9/2; 4; 4; 19/4; 9/2; 9/2; 5; 24/5; 19/4; 19/4; 23/5; 24/5; 49/10; 47/10; 19/4; 9/2; ; 23/5; ; 24/5
Burnley; 9; 9; 9; 9; 17/2; 9; 8; 8; 9; 9; 10; 8; 8; 17/2; 9; 9; 9; 9; 8; 9; 9; 19/2; 87/10; 9; 8; ; 17/2; ; 47/5
META; english/premier-league/burnley-v-man-city; 2016-11-21 08:16:44 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/4; 3/10; 2/7; 1/4; 3/10; 3/10; 1/3; 3/10; 3/10; 2/7; 3/10; 1/3; 2/7; 2/7; 30/100; 3/10; 3/11; 5/18; 3/11; 1/4; 3/11; 1/3; 2/7; 5/18; 2/7; ; 1/3; ; 3/10
Draw; 5; 17/4; 9/2; 4; 9/2; 19/4; 5; 9/2; 5; 9/2; 4; 4; 19/4; 24/5; 9/2; 5; 24/5; 19/4; 19/4; 23/5; 24/5; 49/10; 47/10; 19/4; 9/2; ; 23/5; ; 24/5
Burnley; 9; 9; 9; 9; 17/2; 9; 8; 8; 9; 9; 10; 8; 8; 17/2; 9; 9; 9; 9; 8; 9; 9; 19/2; 87/10; 9; 8; ; 17/2; ; 47/5
META; english/premier-league/burnley-v-man-city; 2016-11-21 12:16:49 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/4; 3/10; 2/7; 1/4; 3/10; 3/10; 1/3; 3/10; 3/10; 2/7; 3/10; 1/3; 2/7; 1/4; 2/7; 3/10; 3/11; 5/18; 5/18; 1/4; 3/11; 1/3; 2/7; 5/18; 2/7; ; 3/10; 3/10; 3/10
Draw; 5; 17/4; 9/2; 9/2; 9/2; 19/4; 5; 9/2; 5; 9/2; 4; 4; 19/4; 24/5; 5; 5; 63/13; 63/13; 19/4; 24/5; 63/13; 49/10; 47/10; 63/13; 9/2; ; 23/5; 24/5; 24/5
Burnley; 9; 9; 9; 9; 17/2; 9; 8; 8; 9; 9; 10; 8; 17/2; 9; 9; 9; 9; 9; 8; 9; 9; 19/2; 87/10; 9; 17/2; ; 17/2; 17/2; 47/5
META; english/premier-league/burnley-v-man-city; 2016-11-21 16:16:49 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; 3/10; 2/7; 2/7; 3/10; 3/10; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 2/7; 30/100; 1/3; 2/7; 5/18; 5/18; 1/4; 2/7; 6/19; 2/7; 5/18; 3/10; ; 1/3; 1/3; 1/3
Draw; 19/4; 17/4; 9/2; 4; 9/2; 19/4; 5; 9/2; 5; 9/2; 4; 4; 19/4; 24/5; 9/2; 9/2; 47/10; 63/13; 19/4; 24/5; 47/10; 26/5; 47/10; 63/13; 9/2; ; 23/5; 23/5; 5
Burnley; 8; 9; 9; 17/2; 17/2; 9; 8; 8; 9; 9; 10; 8; 8; 9; 9; 9; 9; 19/2; 8; 19/2; 9; 19/2; 97/12; 19/2; 17/2; ; 17/2; 17/2; 47/5
META; english/premier-league/burnley-v-man-city; 2016-11-21 20:16:54 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; 3/10; 2/7; 2/7; 3/10; 3/10; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 2/7; 30/100; 1/3; 2/7; 3/10; 5/18; 3/10; 2/7; 1/3; 2/7; 3/10; 3/10; ; 1/3; 1/3; 1/3
Draw; 19/4; 9/2; 9/2; 4; 9/2; 19/4; 5; 9/2; 5; 9/2; 4; 4; 19/4; 9/2; 9/2; 9/2; 24/5; 19/4; 19/4; 23/5; 24/5; 51/10; 24/5; 19/4; 9/2; ; 23/5; 23/5; 5
Burnley; 8; 17/2; 9; 17/2; 17/2; 9; 8; 8; 9; 9; 10; 8; 8; 9; 9; 9; 35/4; 9; 8; 9; 35/4; 9; 17/2; 9; 17/2; ; 17/2; 17/2; 47/5
META; english/premier-league/burnley-v-man-city; 2016-11-22 00:16:14 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; 3/10; 1/4; 1/4; 3/10; 3/10; 1/3; 3/10; 3/10; 1/4; 3/10; 1/3; 1/4; 1/4; 2/7; 1/3; 3/11; 3/10; 5/18; 3/10; 3/11; 1/3; ; 3/10; 2/7; ; 3/10; 3/10; 1/3
Draw; 19/4; 9/2; 19/4; 9/2; 9/2; 19/4; 5; 9/2; 21/4; 19/4; 4; 4; 5; 24/5; 5; 9/2; 5; 19/4; 19/4; 23/5; 5; 51/10; ; 19/4; 5; ; 24/5; 24/5; 5
Burnley; 8; 17/2; 9; 9; 17/2; 9; 8; 8; 10; 10; 10; 8; 9; 10; 9; 9; 9; 9; 8; 9; 9; 9; ; 9; 17/2; ; 9; 46/5; 47/5
META; english/premier-league/burnley-v-man-city; 2016-11-22 04:16:43 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; 3/10; 2/7; 1/4; 3/10; 3/10; 1/3; 3/10; 3/10; 1/4; 3/10; 1/3; 2/7; 2/7; 2/7; 1/3; 3/11; 3/10; 5/18; 3/10; 3/11; 1/3; 2/7; 3/10; 2/7; ; 3/10; 3/10; 1/3
Draw; 19/4; 9/2; 19/4; 4; 9/2; 19/4; 5; 9/2; 5; 19/4; 4; 4; 5; 24/5; 5; 9/2; 96/19; 19/4; 19/4; 23/5; 96/19; 51/10; 24/5; 19/4; 5; ; 24/5; 24/5; 5
Burnley; 8; 17/2; 9; 9; 17/2; 9; 8; 8; 9; 10; 10; 8; 17/2; 17/2; 9; 9; 35/4; 9; 8; 9; 35/4; 9; 17/2; 9; 17/2; ; 9; 43/5; 47/5
META; english/premier-league/burnley-v-man-city; 2016-11-22 08:16:53 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; 3/10; 2/7; 1/4; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 1/3; 2/7; 2/7; 2/7; 1/3; 3/11; 3/10; 5/18; 3/10; 3/11; 1/3; 2/7; 3/10; 2/7; ; 3/10; 3/10; 1/3
Draw; 19/4; 9/2; 19/4; 4; 9/2; 5; 5; 9/2; 5; 19/4; 4; 4; 5; 24/5; 5; 9/2; 96/19; 19/4; 19/4; 23/5; 96/19; 51/10; 24/5; 19/4; 5; ; 24/5; 24/5; 5
Burnley; 8; 17/2; 9; 9; 17/2; 19/2; 8; 8; 9; 10; 10; 8; 17/2; 17/2; 9; 9; 35/4; 9; 8; 9; 35/4; 9; 17/2; 9; 17/2; ; 9; 43/5; 47/5
META; english/premier-league/burnley-v-man-city; 2016-11-22 12:16:55 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; 2/7; 2/7; 1/4; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 2/7; 2/7; 1/4; 2/7; 3/10; 3/11; 3/10; 5/18; 3/10; 3/11; 6/19; 2/7; 3/10; 2/7; ; 3/10; 3/10; 1/3
Draw; 19/4; 9/2; 19/4; 9/2; 9/2; 5; 5; 9/2; 5; 19/4; 4; 9/2; 5; 24/5; 5; 5; 51/10; 19/4; 19/4; 23/5; 51/10; 26/5; 24/5; 19/4; 5; ; 24/5; 24/5; 5
Burnley; 8; 9; 9; 17/2; 17/2; 19/2; 8; 8; 9; 10; 10; 9; 17/2; 9; 9; 9; 9; 9; 8; 9; 9; 19/2; 17/2; 9; 17/2; ; 9; 43/5; 47/5
META; english/premier-league/burnley-v-man-city; 2016-11-22 16:17:12 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; 2/7; 2/7; 1/4; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 2/7; 2/7; 2/7; 1/4; 2/7; 3/10; 3/11; 3/10; 5/18; 3/10; 3/11; 8/25; 3/11; 3/10; 2/7; ; 3/10; 3/10; 1/3
Draw; 19/4; 9/2; 19/4; 4; 9/2; 5; 5; 9/2; 5; 19/4; 9/2; 9/2; 5; 24/5; 5; 5; 96/19; 19/4; 19/4; 23/5; 96/19; 26/5; 5; 19/4; 5; ; 24/5; 24/5; 5
Burnley; 8; 9; 9; 10; 17/2; 19/2; 8; 8; 9; 10; 17/2; 9; 17/2; 9; 9; 9; 9; 9; 8; 9; 9; 19/2; 9; 9; 17/2; ; 17/2; 17/2; 47/5
META; english/premier-league/burnley-v-man-city; 2016-11-22 20:17:01 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; 2/7; 2/7; 1/4; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 2/7; 2/7; 2/7; 1/4; 2/7; 3/10; 3/11; 3/10; 5/18; 3/10; 3/11; 8/25; 3/11; 3/10; 2/7; ; 3/10; 3/10; 1/3
Draw; 19/4; 9/2; 19/4; 9/2; 9/2; 5; 5; 9/2; 5; 19/4; 9/2; 9/2; 5; 24/5; 5; 5; 96/19; 19/4; 19/4; 23/5; 96/19; 26/5; 5; 19/4; 5; ; 24/5; 24/5; 5
Burnley; 8; 9; 9; 10; 17/2; 19/2; 8; 17/2; 9; 10; 17/2; 9; 17/2; 9; 9; 9; 9; 9; 8; 9; 9; 19/2; 9; 9; 17/2; ; 17/2; 43/5; 47/5
META; english/premier-league/burnley-v-man-city; 2016-11-23 00:16:33 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; 2/7; 2/7; 1/4; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 2/7; 2/7; 2/7; 1/4; 2/7; 3/10; 3/11; 3/10; 5/18; 3/10; 3/11; 8/25; 3/11; 3/10; 2/7; ; 3/10; 3/10; 1/3
Draw; 19/4; 9/2; 19/4; 9/2; 9/2; 5; 5; 9/2; 5; 19/4; 9/2; 9/2; 5; 24/5; 5; 5; 96/19; 19/4; 19/4; 23/5; 96/19; 26/5; 5; 19/4; 5; ; 24/5; 24/5; 5
Burnley; 8; 9; 9; 10; 17/2; 19/2; 8; 8; 9; 10; 17/2; 9; 17/2; 9; 9; 9; 9; 9; 8; 9; 9; 19/2; 9; 9; 17/2; ; 17/2; 17/2; 47/5
META; english/premier-league/burnley-v-man-city; 2016-11-23 04:16:33 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; 2/7; 2/7; 1/4; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 2/7; 2/7; 2/7; 1/4; 2/7; 3/10; 3/11; 3/10; 5/18; 3/10; 3/11; 8/25; 3/11; 3/10; 2/7; ; 3/10; 3/10; 1/3
Draw; 19/4; 9/2; 19/4; 9/2; 9/2; 5; 5; 9/2; 5; 19/4; 9/2; 9/2; 5; 24/5; 5; 5; 5; 19/4; 19/4; 23/5; 5; 26/5; 5; 19/4; 5; ; 24/5; 24/5; 5
Burnley; 8; 9; 9; 10; 17/2; 19/2; 8; 8; 9; 10; 17/2; 9; 17/2; 9; 9; 9; 9; 9; 8; 9; 9; 19/2; 9; 9; 17/2; ; 9; 43/5; 47/5
META; english/premier-league/burnley-v-man-city; 2016-11-23 08:16:20 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; 2/7; 2/7; 1/4; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 2/7; 2/7; 2/7; 1/4; 2/7; 3/10; 3/11; 3/10; 5/18; 3/10; 3/11; 8/25; 3/11; 3/10; 2/7; ; 3/10; ; 1/3
Draw; 19/4; 9/2; 19/4; 9/2; 9/2; 5; 5; 9/2; 5; 19/4; 9/2; 9/2; 5; 24/5; 5; 5; 5; 19/4; 19/4; 23/5; 5; 26/5; 5; 19/4; 5; ; 24/5; ; 5
Burnley; 8; 9; 9; 10; 17/2; 19/2; 8; 8; 9; 10; 17/2; 9; 17/2; 10; 9; 9; 9; 9; 8; 9; 9; 19/2; 9; 9; 17/2; ; 9; ; 47/5
META; english/premier-league/burnley-v-man-city; 2016-11-23 12:16:31 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; 2/7; 2/7; 1/4; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 2/7; 2/7; 2/7; 1/4; 2/7; 3/10; 3/11; 3/10; 5/18; 3/10; 3/11; 8/25; 3/11; 3/10; 2/7; ; 3/10; 3/10; 1/3
Draw; 19/4; 9/2; 19/4; 9/2; 9/2; 5; 5; 9/2; 5; 19/4; 9/2; 9/2; 5; 24/5; 5; 5; 96/19; 94/19; 19/4; 24/5; 96/19; 26/5; 5; 94/19; 5; ; 24/5; 24/5; 5
Burnley; 8; 9; 9; 10; 17/2; 19/2; 8; 8; 9; 9; 17/2; 9; 17/2; 10; 9; 9; 9; 9; 8; 9; 9; 19/2; 9; 9; 17/2; ; 9; 43/5; 47/5
META; english/premier-league/burnley-v-man-city; 2016-11-23 16:16:23 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; 2/7; 2/7; 1/4; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 2/7; 2/7; 2/7; 1/4; 2/7; 3/10; 5/18; 3/10; 5/18; 3/10; 5/18; 8/25; 3/11; 3/10; 2/7; ; 3/10; 3/10; 1/3
Draw; 19/4; 9/2; 19/4; 9/2; 9/2; 5; 5; 9/2; 5; 19/4; 9/2; 9/2; 5; 24/5; 5; 5; 67/13; 94/19; 19/4; 24/5; 67/13; 26/5; 5; 94/19; 5; ; 24/5; 24/5; 5
Burnley; 8; 9; 9; 10; 17/2; 19/2; 8; 8; 9; 9; 17/2; 9; 17/2; 10; 9; 9; 37/4; 9; 8; 9; 37/4; 19/2; 9; 9; 17/2; ; 9; 43/5; 47/5
META; english/premier-league/burnley-v-man-city; 2016-11-23 20:16:28 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; 2/7; 2/7; 1/4; 1/3; 2/7; 1/3; 3/10; 3/10; 1/4; 2/7; 2/7; 2/7; 1/4; 2/7; 3/10; 5/18; 3/10; 5/18; 3/10; 5/18; 8/25; 3/11; 3/10; 2/7; ; 3/10; 3/10; 1/3
Draw; 19/4; 9/2; 9/2; 4; 5; 5; 5; 9/2; 5; 19/4; 9/2; 9/2; 5; 24/5; 5; 5; 67/13; 21/4; 19/4; 26/5; 67/13; 26/5; 5; 21/4; 5; ; 24/5; 24/5; 5
Burnley; 8; 9; 9; 9; 17/2; 19/2; 8; 8; 9; 10; 17/2; 9; 17/2; 10; 9; 9; 37/4; 19/2; 31/4; 19/2; 37/4; 19/2; 9; 19/2; 17/2; ; 9; 43/5; 47/5
META; english/premier-league/burnley-v-man-city; 2016-11-24 00:16:06 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; 2/7; 2/7; 1/4; 1/3; 2/7; 1/3; 3/10; 3/10; 1/4; 2/7; 2/7; 2/7; 1/4; 2/7; 3/10; 3/11; 3/10; 5/18; 3/10; 3/11; 8/25; 5/18; 3/10; 2/7; ; 3/10; 2/7; 1/3
Draw; 19/4; 9/2; 9/2; 4; 5; 5; 5; 9/2; 5; 19/4; 9/2; 9/2; 5; 24/5; 5; 5; 26/5; 21/4; 19/4; 26/5; 26/5; 26/5; 51/10; 21/4; 5; ; 24/5; 9/2; 5
Burnley; 8; 9; 9; 9; 17/2; 17/2; 8; 9; 9; 10; 17/2; 9; 17/2; 10; 9; 9; 37/4; 19/2; 31/4; 19/2; 37/4; 19/2; 83/10; 19/2; 17/2; ; 17/2; 8; 47/5
META; english/premier-league/burnley-v-man-city; 2016-11-24 04:15:59 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; 2/7; 2/7; 1/4; 1/3; 2/7; 1/3; 3/10; 3/10; 1/4; 2/7; 2/7; 2/7; 1/4; 2/7; 3/10; 5/18; 3/10; 5/18; 3/10; 5/18; 8/25; 5/18; 3/10; 2/7; ; 3/10; 3/10; 1/3
Draw; 19/4; 9/2; 19/4; 4; 5; 5; 5; 9/2; 5; 19/4; 9/2; 9/2; 5; 24/5; 5; 5; 67/13; 21/4; 19/4; 26/5; 67/13; 26/5; 51/10; 21/4; 5; ; 24/5; 24/5; 5
Burnley; 8; 9; 9; 9; 17/2; 17/2; 8; 9; 9; 9; 17/2; 9; 17/2; 10; 9; 9; 37/4; 19/2; 31/4; 19/2; 37/4; 19/2; 83/10; 19/2; 17/2; ; 9; 43/5; 48/5
META; english/premier-league/burnley-v-man-city; 2016-11-24 08:16:02 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; 2/7; 2/7; 1/4; 1/3; 2/7; 1/3; 3/10; 3/10; 1/4; 2/7; 2/7; 2/7; 1/4; 2/7; 3/10; 3/11; 3/10; 5/18; 3/10; 3/11; 8/25; 5/18; 3/10; 2/7; ; 3/10; 3/10; 1/3
Draw; 19/4; 9/2; 19/4; 4; 5; 5; 5; 9/2; 5; 19/4; 9/2; 9/2; 5; 24/5; 5; 5; 26/5; 21/4; 19/4; 26/5; 26/5; 26/5; 51/10; 21/4; 5; ; 24/5; 24/5; 5
Burnley; 8; 9; 9; 9; 17/2; 17/2; 8; 9; 9; 9; 17/2; 9; 17/2; 10; 9; 9; 37/4; 19/2; 31/4; 19/2; 37/4; 19/2; 83/10; 19/2; 17/2; ; 9; 43/5; 48/5
META; english/premier-league/burnley-v-man-city; 2016-11-24 12:16:10 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/4; 2/7; 2/7; 1/4; 1/3; 2/7; 1/3; 3/10; 3/10; 2/7; 2/7; 2/7; 2/7; 2/7; 2/7; 3/10; 5/18; 3/10; 5/18; 3/10; 5/18; ; 5/18; 3/10; 2/7; ; 3/10; 3/10; 1/3
Draw; 5; 9/2; 9/2; 4; 5; 5; 5; 9/2; 5; 19/4; 19/4; 9/2; 5; 24/5; 5; 5; 51/10; 21/4; 19/4; 26/5; 51/10; ; 51/10; 21/4; 5; ; 24/5; 24/5; 5
Burnley; 9; 9; 9; 9; 17/2; 17/2; 8; 9; 9; 9; 9; 9; 9; 10; 9; 9; 37/4; 19/2; 31/4; 19/2; 37/4; ; 83/10; 19/2; 17/2; ; 9; 43/5; 48/5
META; english/premier-league/burnley-v-man-city; 2016-11-24 16:16:22 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; 3/10; 2/7; 1/4; 1/3; 2/7; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 1/3; 2/7; 3/10; 5/18; 3/10; 5/18; 3/10; 5/18; 8/25; 5/18; 3/10; 3/10; ; 3/10; 3/10; 1/3
Draw; 9/2; 17/4; 9/2; 4; 5; 5; 5; 9/2; 5; 5; 9/2; 9/2; 5; 24/5; 5; 5; 96/19; 21/4; 19/4; 26/5; 96/19; 26/5; 5; 21/4; 5; ; 24/5; 24/5; 5
Burnley; 17/2; 17/2; 9; 9; 17/2; 17/2; 8; 9; 9; 9; 8; 17/2; 9; 9; 9; 9; 37/4; 19/2; 31/4; 19/2; 37/4; 19/2; 42/5; 19/2; 17/2; ; 9; 43/5; 48/5
META; english/premier-league/burnley-v-man-city; 2016-11-24 20:16:32 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; 3/10; 3/10; 1/4; 1/3; 2/7; 1/3; 3/10; 3/10; 3/10; 2/7; 1/3; 2/7; 1/3; 2/7; 3/10; 5/18; 3/10; 5/18; 3/10; 5/18; 8/25; 5/18; 3/10; 3/10; ; 3/10; 3/10; 1/3
Draw; 9/2; 17/4; 19/4; 4; 5; 5; 5; 9/2; 5; 5; 19/4; 9/2; 5; 24/5; 5; 5; 96/19; 21/4; 19/4; 26/5; 96/19; 26/5; 5; 21/4; 5; ; 24/5; 24/5; 5
Burnley; 17/2; 17/2; 9; 9; 17/2; 17/2; 8; 9; 9; 9; 8; 17/2; 9; 17/2; 9; 17/2; 37/4; 19/2; 31/4; 19/2; 37/4; 9; 42/5; 19/2; 17/2; ; 9; 43/5; 47/5
META; english/premier-league/burnley-v-man-city; 2016-11-25 00:15:56 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 2/7; 3/10; 3/10; 1/4; 1/3; 2/7; 1/3; 3/10; 3/10; 3/10; 1/3; 1/3; 3/10; 1/3; 30/100; 1/3; 3/10; 6/19; 5/18; 3/10; 3/10; 8/25; 5/18; 6/19; 3/10; ; 3/10; 3/10; 1/3
Draw; 9/2; 17/4; 19/4; 4; 5; 5; 5; 9/2; 5; 5; 17/4; 9/2; 5; 24/5; 9/2; 9/2; 49/10; 51/10; 19/4; 5; 49/10; 26/5; 5; 51/10; 9/2; ; 23/5; 23/5; 24/5
Burnley; 17/2; 17/2; 9; 9; 17/2; 17/2; 8; 9; 9; 9; 7; 17/2; 8; 17/2; 9; 17/2; 35/4; 35/4; 31/4; 43/5; 35/4; 9; 42/5; 35/4; 8; ; 9; 43/5; 47/5
META; english/premier-league/burnley-v-man-city; 2016-11-25 01:45:23 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; 3/10; 3/10; 1/4; 1/3; 2/7; 1/3; 3/10; 3/10; 3/10; 1/3; 1/3; 3/10; 1/3; 30/100; 1/3; 3/10; 6/19; 5/18; 3/10; 3/10; 8/25; 5/18; 6/19; 3/10; ; 3/10; 3/10; 1/3
Draw; 5; 17/4; 19/4; 4; 5; 5; 5; 9/2; 5; 5; 17/4; 9/2; 5; 24/5; 9/2; 9/2; 24/5; 51/10; 19/4; 5; 24/5; 26/5; 5; 51/10; 9/2; ; 23/5; 23/5; 24/5
Burnley; 8; 17/2; 9; 9; 17/2; 17/2; 8; 9; 9; 9; 7; 17/2; 8; 17/2; 9; 17/2; 35/4; 35/4; 31/4; 43/5; 35/4; 9; 42/5; 35/4; 8; ; 9; 43/5; 47/5
META; english/premier-league/burnley-v-man-city; 2016-11-25 03:45:24 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; 3/10; 3/10; 1/4; 1/3; 2/7; 1/3; 3/10; 3/10; 3/10; 1/3; 1/3; 3/10; 1/3; 30/100; 1/3; 3/10; 6/19; 5/18; 3/10; 3/10; 8/25; 5/18; 6/19; 3/10; ; 3/10; 3/10; 1/3
Draw; 5; 17/4; 19/4; 4; 5; 5; 5; 9/2; 5; 5; 17/4; 9/2; 5; 24/5; 9/2; 9/2; 63/13; 51/10; 19/4; 5; 63/13; 26/5; 5; 51/10; 9/2; ; 23/5; 23/5; 5
Burnley; 8; 17/2; 9; 9; 17/2; 17/2; 8; 9; 9; 9; 7; 17/2; 8; 17/2; 9; 17/2; 35/4; 35/4; 31/4; 43/5; 35/4; 9; 42/5; 35/4; 8; ; 9; 43/5; 47/5
META; english/premier-league/burnley-v-man-city; 2016-11-25 04:15:42 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; 3/10; 3/10; 1/4; 1/3; 2/7; 1/3; 3/10; 3/10; 3/10; 1/3; 1/3; 3/10; 1/3; 30/100; 1/3; 3/10; 6/19; 5/18; 3/10; 3/10; 8/25; 5/18; 6/19; 3/10; ; 3/10; 3/10; 1/3
Draw; 5; 17/4; 19/4; 4; 5; 5; 5; 9/2; 5; 5; 17/4; 9/2; 5; 24/5; 9/2; 9/2; 63/13; 51/10; 19/4; 5; 63/13; 26/5; 5; 51/10; 9/2; ; 23/5; 23/5; 5
Burnley; 8; 17/2; 9; 9; 17/2; 17/2; 8; 9; 9; 9; 7; 17/2; 8; 17/2; 9; 8; 35/4; 35/4; 31/4; 43/5; 35/4; 9; 42/5; 35/4; 8; ; 9; 43/5; 47/5
META; english/premier-league/burnley-v-man-city; 2016-11-25 05:45:25 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; 3/10; 2/7; 1/4; 1/3; 2/7; 1/3; 3/10; 3/10; 3/10; 1/3; 1/3; 3/10; 1/3; 30/100; 1/3; 3/10; 6/19; 5/18; 3/10; 3/10; 8/25; 5/18; 6/19; 3/10; ; 3/10; 3/10; 1/3
Draw; 5; 17/4; 19/4; 4; 5; 5; 5; 9/2; 5; 5; 17/4; 9/2; 5; 24/5; 9/2; 9/2; 24/5; 51/10; 5; 5; 24/5; 26/5; 5; 51/10; 9/2; ; 23/5; 23/5; 5
