Hull; 29/20; 6/4; 6/4; 6/4; 39/25; 6/4; 6/4; 6/4; 19/12; 6/4; 6/4; 6/4; 17/10; 6/4; 8/5; 6/4; 16/11; 6/4; 16/11; 7/5; 17/11; 6/4; 6/4; 6/4; 6/4; ; 6/4; 7/5; 6/4
Sunderland; 19/10; 19/10; 19/10; 15/8; 21/10; 19/10; 19/10; 15/8; 19/10; 19/10; 19/10; 19/10; 33/20; 39/20; 19/10; 19/10; 37/19; 2; 37/19; 16/9; 24/13; 2; 19/10; 2; 2; ; 19/10; 9/5; 21/10
Draw; 11/5; 11/5; 21/10; 11/5; 113/50; 9/4; 21/10; 11/5; 11/5; 21/10; 11/5; 11/5; 11/5; 43/20; 21/10; 21/10; 21/10; 21/10; 21/10; 23/10; 28/13; 11/5; 23/10; 21/10; 28/13; ; 11/5; 2; 21/10
META; english/championship/sunderland-v-hull; 2018-01-18 10:20:15 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Hull; 29/20; 6/4; 6/4; 6/4; 39/25; 6/4; 6/4; 6/4; 19/12; 6/4; 6/4; 6/4; 17/10; 6/4; 8/5; 6/4; 16/11; 6/4; 16/11; 7/5; 17/11; 6/4; 6/4; 6/4; 6/4; ; 2/5; 7/5; 6/4
Sunderland; 19/10; 19/10; 19/10; 15/8; 21/10; 19/10; 19/10; 15/8; 19/10; 19/10; 19/10; 19/10; 33/20; 39/20; 19/10; 19/10; 37/19; 2; 37/19; 16/9; 24/13; 2; 19/10; 2; 2; ; 19/10; 9/5; 21/10
Draw; 11/5; 11/5; 21/10; 11/5; 113/50; 9/4; 21/10; 11/5; 11/5; 21/10; 11/5; 11/5; 11/5; 43/20; 21/10; 21/10; 21/10; 21/10; 21/10; 23/10; 28/13; 11/5; 23/10; 21/10; 28/13; ; 11/5; 2; 21/10
META; english/championship/sunderland-v-hull; 2018-01-18 14:20:14 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Hull; 29/20; 6/4; 6/4; 6/4; 39/25; 6/4; 6/4; 6/4; 19/12; 6/4; 6/4; 6/4; 17/10; 6/4; 8/5; 6/4; 16/11; 6/4; 16/11; 7/5; 17/11; 6/4; 6/4; 6/4; 6/4; ; 7/5; 7/5; 6/4
Sunderland; 19/10; 19/10; 19/10; 15/8; 21/10; 19/10; 19/10; 15/8; 19/10; 19/10; 19/10; 19/10; 33/20; 39/20; 19/10; 19/10; 37/19; 2; 37/19; 16/9; 24/13; 2; 19/10; 2; 2; ; 19/10; 9/5; 21/10
Draw; 11/5; 11/5; 21/10; 11/5; 113/50; 9/4; 21/10; 11/5; 11/5; 21/10; 11/5; 11/5; 11/5; 43/20; 21/10; 11/5; 21/10; 21/10; 21/10; 23/10; 28/13; 11/5; 23/10; 21/10; 28/13; ; 11/5; 11/5; 21/10
META; english/championship/sunderland-v-hull; 2018-01-18 18:20:20 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Hull; 11/8; 6/4; 16/11; 6/4; 77/50; 6/4; 6/4; 6/4; 19/12; 29/20; 29/20; 29/20; 17/10; 29/20; 6/4; 7/5; 16/11; 16/11; 16/11; 13/9; 17/11; 6/4; 31/20; 6/4; 16/11; ; 7/5; 7/5; 13/8
Sunderland; 2; 19/10; 2; 15/8; 21/10; 19/10; 2; 15/8; 19/10; 2; 19/10; 2; 33/20; 2; 2; 2; 37/19; 2; 37/19; 45/23; 24/13; 2; 2; 2; 39/19; ; 2; 19/10; 21/10
Draw; 11/5; 11/5; 21/10; 11/5; 57/25; 9/4; 21/10; 11/5; 11/5; 21/10; 11/5; 21/10; 11/5; 43/20; 11/5; 11/5; 21/10; 28/13; 21/10; 23/10; 28/13; 11/5; 23/10; 21/10; 28/13; ; 11/5; 21/10; 21/10
META; english/championship/sunderland-v-hull; 2018-01-18 22:21:40 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
