META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-21 02:20:38 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Draw; 13/5; 29/10; 27/10; 11/4; 11/4; 13/5; 29/10; 11/4; 27/10; 27/10; 11/4; ; ; 29/10; 13/5; 11/4; 5/2; 45/17; 45/17; 29/10; ; 45/17; 11/4; 11/4; 27/10; ; 2; 5/2; 14/5
Betis; 3; 14/5; 29/10; 3; 16/5; 3; 3; 3; 29/10; 14/5; 3; ; ; 3; 3; 3; 29/10; 37/13; 3; 17/5; ; 37/13; 14/5; 29/10; 14/5; ; 11/4; 11/4; 10/3
META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-26 10:19:51 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Real Sociedad; 17/20; 17/20; 11/13; 17/20; 17/20; 9/10; 17/20; 5/6; 9/10; 17/20; 20/23; ; ; 17/20; 10/11; 17/20; 9/10; 9/10; 5/6; 9/10; 11/13; 9/10; 9/10; 20/23; 9/10; ; 8/11; 4/5; 5/6
Draw; 13/5; 29/10; 27/10; 11/4; 3; 27/10; 29/10; 11/4; 27/10; 27/10; 13/5; ; ; 29/10; 13/5; 11/4; 5/2; 45/17; 45/17; 72/25; 11/4; 45/17; 11/4; 11/4; 27/10; ; 13/5; 11/4; 14/5
Betis; 3; 14/5; 29/10; 3; 3; 16/5; 3; 3; 29/10; 14/5; 3; ; ; 3; 3; 3; 29/10; 37/13; 56/19; 10/3; 13/5; 37/13; 14/5; 29/10; 14/5; ; 5/2; 11/4; 3
META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-26 14:20:04 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Real Sociedad; 17/20; 17/20; 13/15; 17/20; 17/20; 9/10; 17/20; 5/6; 9/10; 20/23; 20/23; ; ; 17/20; 10/11; 17/20; 9/10; 9/10; 13/15; 10/11; 11/13; 9/10; 9/10; 20/23; 9/10; ; 4/5; 5/6; 5/6
Draw; 13/5; 14/5; 27/10; 11/4; 3; 27/10; 29/10; 11/4; 27/10; 13/5; 13/5; ; ; 29/10; 13/5; 13/5; 5/2; 45/17; 45/17; 29/10; 11/4; 45/17; 11/4; 11/4; 27/10; ; 13/5; 11/4; 14/5
Betis; 3; 14/5; 14/5; 3; 3; 16/5; 29/10; 3; 29/10; 14/5; 3; ; ; 3; 3; 14/5; 29/10; 37/13; 56/19; 13/4; 13/5; 37/13; 14/5; 29/10; 14/5; ; 11/4; 14/5; 3
META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-26 18:19:55 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Real Sociedad; 17/20; 17/20; 19/20; 17/20; 10/11; 9/10; 37/40; 5/6; 9/10; 10/11; 10/11; 19/20; ; 9/10; 10/11; 10/11; 9/10; 9/10; 10/11; 49/50; 10/11; ; 9/10; 10/11; 9/10; ; 5/6; 10/11; 20/21
Draw; 13/5; 14/5; 13/5; 11/4; 11/4; 27/10; 14/5; 13/5; 27/10; 13/5; 13/5; 27/10; ; 11/4; 13/5; 13/5; 5/2; 45/17; 45/17; 71/25; 11/4; ; 11/4; 13/5; 27/10; ; 2; 27/10; 14/5
Betis; 3; 14/5; 13/5; 3; 3; 16/5; 11/4; 11/4; 29/10; 13/5; 14/5; 27/10; ; 3; 3; 14/5; 29/10; 37/13; 11/4; 3; 27/11; ; 14/5; 11/4; 14/5; ; 27/10; 14/5; 14/5
META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-26 22:19:48 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Real Sociedad; 17/20; 17/20; 19/20; 17/20; 10/11; 9/10; 37/40; 5/6; 9/10; 10/11; 10/11; 19/20; ; 9/10; 10/11; 10/11; 9/10; 9/10; 10/11; 49/50; 10/11; 9/10; 9/10; 10/11; 9/10; ; 5/6; 10/11; 20/21
Draw; 13/5; 14/5; 13/5; 11/4; 11/4; 27/10; 14/5; 13/5; 27/10; 13/5; 13/5; 27/10; ; 11/4; 13/5; 13/5; 5/2; 45/17; 45/17; 71/25; 11/4; 45/17; 11/4; 13/5; 27/10; ; 13/5; 27/10; 14/5
Betis; 3; 14/5; 13/5; 3; 3; 16/5; 11/4; 11/4; 29/10; 13/5; 14/5; 27/10; ; 3; 3; 14/5; 29/10; 37/13; 11/4; 3; 27/11; 37/13; 14/5; 11/4; 14/5; ; 9/5; 23/10; 14/5
META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-27 02:19:44 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Real Sociedad; 17/20; 10/11; 19/20; 17/20; 10/11; 9/10; 10/11; 5/6; 9/10; 10/11; 10/11; 19/20; ; 9/10; 10/11; 10/11; 9/10; 9/10; 10/11; 1; 10/11; 9/10; 9/10; 10/11; 9/10; ; 5/6; 9/10; 20/21
Draw; 13/5; 29/10; 13/5; 11/4; 11/4; 27/10; 29/10; 13/5; 27/10; 13/5; 13/5; 27/10; ; 11/4; 13/5; 13/5; 5/2; 45/17; 45/17; 141/50; 11/4; 45/17; 11/4; 13/5; 27/10; ; 13/5; 5/2; 14/5
Betis; 3; 13/5; 13/5; 3; 3; 16/5; 27/10; 11/4; 29/10; 13/5; 14/5; 27/10; ; 3; 3; 14/5; 29/10; 37/13; 11/4; 147/50; 27/11; 37/13; 14/5; 11/4; 14/5; ; 2; 23/10; 14/5
