META; spain/la-liga-primera/alaves-v-eibar; 2017-10-29 22:20:29 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Draw; 2; 2; 2; 2; 21/10; 21/10; 2; 2; 21/10; 19/10; 21/10; 19/10; ; 2; 2; 2; 2; 2; 85/40; 39/19; 21/10; 2; 21/10; 2; 39/19; ; 19/10; 2; 2
Eibar; 11/5; 21/10; 2; 19/10; 21/10; 2; 19/10; 2; 39/19; 19/10; 2; 2; ; 39/20; 2; 2; 2; 2; 21/10; 2; 39/19; 2; 19/10; 21/10; 39/19; ; 19/10; 9/5; 2
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-21 10:19:45 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 7/5; 13/8; 17/11; 8/5; 31/20; 13/8; 6/4; 6/4; 6/4; 31/20; 8/5; 8/5; ; 13/8; 8/5; 6/4; 16/11; 17/11; 42/25; 17/11; 6/4; 6/4; 8/5; 6/4; 17/11; ; 6/4; 6/4; 13/8
Draw; 2; 2; 2; 2; 21/10; 21/10; 2; 2; 21/10; 19/10; 21/10; 19/10; ; 2; 2; 2; 2; 2; 85/40; 39/19; 21/10; 2; 21/10; 2; 39/19; ; 19/10; 2; 2
Eibar; 11/5; 19/10; 19/10; 19/10; 21/10; 2; 19/10; 2; 39/19; 19/10; 2; 2; ; 39/20; 2; 19/10; 2; 2; 21/10; 2; 39/19; 2; 19/10; 21/10; 39/19; ; 2; 21/10; 2
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-21 14:19:46 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 31/20; 13/8; 17/11; 8/5; 31/20; 13/8; 6/4; 6/4; 6/4; 31/20; 8/5; 8/5; ; 13/8; 8/5; 6/4; 16/11; 17/11; 41/25; 17/11; 6/4; 8/5; 8/5; 31/20; 17/11; ; 7/5; 7/5; 13/8
Draw; 2; 2; 2; 2; 21/10; 2; 2; 2; 21/10; 19/10; 21/10; 19/10; ; 2; 2; 19/10; 2; 2; 85/40; 39/19; 21/10; 2; 21/10; 2; 39/19; ; 19/10; ; 2
Eibar; 2; 19/10; 19/10; 19/10; 21/10; 21/10; 2; 2; 39/19; 19/10; 2; 2; ; 39/20; 2; 19/10; 2; 2; 54/25; 2; 39/19; 2; 19/10; 2; 39/19; ; 2; ; 21/10
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-21 18:19:46 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 31/20; 13/8; 17/11; 8/5; 31/20; 13/8; 6/4; 6/4; 6/4; 31/20; 8/5; 31/20; ; 8/5; 8/5; 6/4; 16/11; 17/11; 41/25; 23/15; 6/4; 8/5; 8/5; 31/20; 17/11; ; 7/5; 7/5; 13/8
Draw; 2; 2; 2; 2; 21/10; 2; 2; 2; 21/10; 19/10; 2; 2; ; 2; 2; 19/10; 2; 39/19; 85/40; 39/19; 21/10; 2; 2; 2; 39/19; ; 19/10; 15/8; 2
Eibar; 2; 19/10; 2; 19/10; 21/10; 21/10; 2; 2; 39/19; 19/10; 21/10; 19/10; ; 39/20; 2; 19/10; 2; 2; 54/25; 39/19; 39/19; 2; 2; 2; 39/19; ; 2; ; 21/10
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-21 22:19:36 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 31/20; 13/8; ; 8/5; 31/20; 13/8; 8/5; 6/4; 6/4; ; 8/5; 8/5; ; 8/5; 8/5; 6/4; 16/11; 17/11; 41/25; 23/15; 6/4; 8/5; 8/5; 31/20; 17/11; ; 7/5; 7/5; 13/8
Draw; 2; 2; ; 2; 21/10; 2; 2; 2; 21/10; ; 2; 19/10; ; 2; 2; 19/10; 2; 39/19; 85/40; 39/19; 21/10; 2; 2; 2; 39/19; ; 19/10; 15/8; 2
Eibar; 2; 19/10; ; 19/10; 21/10; 21/10; 2; 2; 39/19; ; 21/10; 2; ; 39/20; 2; 19/10; 2; 2; 54/25; 39/19; 39/19; 2; 2; 2; 39/19; ; 2; ; 21/10
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-22 02:19:18 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 31/20; 13/8; ; 8/5; 31/20; 13/8; 6/4; 6/4; 6/4; ; 8/5; 8/5; ; 8/5; 8/5; 6/4; 16/11; 17/11; 33/20; 23/15; 6/4; 8/5; 8/5; 31/20; 8/5; ; 7/5; 7/5; 13/8
Draw; 2; 2; ; 2; 21/10; 2; 2; 2; 21/10; ; 2; 19/10; ; 2; 2; 19/10; 2; 2; 85/40; 39/19; 21/10; 2; 2; 2; 39/19; ; 19/10; 15/8; 2
Eibar; 2; 19/10; ; 19/10; 21/10; 21/10; 2; 2; 39/19; ; 21/10; 2; ; 39/20; 2; 19/10; 2; 2; 107/50; 39/19; 39/19; 2; 2; 2; 2; ; 2; 19/10; 21/10
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-22 10:19:51 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 31/20; 13/8; ; 8/5; 31/20; 13/8; 6/4; 6/4; 6/4; ; 8/5; 8/5; ; 8/5; 8/5; 6/4; 16/11; 17/11; 167/100; 23/15; 6/4; 8/5; 8/5; 31/20; 8/5; ; 6/4; ; 
Draw; 2; 2; ; 2; 21/10; 2; 2; 2; 21/10; ; 2; 19/10; ; 2; 2; 19/10; 2; 2; 21/10; 39/19; 21/10; 2; 2; 2; 39/19; ; 19/10; ; 
Eibar; 2; 19/10; ; 19/10; 21/10; 21/10; 2; 2; 39/19; ; 21/10; 2; ; 39/20; 2; 19/10; 2; 2; 43/20; 39/19; 39/19; 2; 2; 2; 2; ; 2; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-22 14:19:49 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 31/20; 13/8; 17/11; 8/5; 31/20; 13/8; 8/5; 6/4; 8/5; 8/5; 8/5; 8/5; ; 8/5; 8/5; 6/4; 16/11; 17/11; 167/100; 19/12; 8/5; 8/5; 8/5; 31/20; 8/5; ; 6/4; 6/4; 
Draw; 2; 2; 2; 2; 21/10; 2; 2; 2; 2; 2; 2; 19/10; ; 2; 2; 19/10; 2; 2; 21/10; 39/19; 2; 2; 2; 2; 39/19; ; 19/10; 19/10; 
Eibar; 2; 19/10; 19/10; 19/10; 21/10; 21/10; 2; 2; 2; 19/10; 21/10; 2; ; 39/20; 2; 19/10; 2; 2; 43/20; 37/19; 2; 2; 2; 2; 39/19; ; 2; 2; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-22 18:19:46 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 31/20; 13/8; 17/11; 8/5; 31/20; 13/8; 8/5; 6/4; 8/5; 8/5; 8/5; 8/5; ; 8/5; 8/5; 6/4; 16/11; 17/11; 83/50; 19/12; 8/5; 8/5; 8/5; 31/20; 8/5; ; 6/4; 6/4; 
Draw; 2; 2; 2; 2; 21/10; 2; 2; 2; 2; 2; 2; 19/10; ; 2; 2; 19/10; 2; 2; 21/10; 39/19; 2; 2; 2; 2; 39/19; ; 19/10; 19/10; 
Eibar; 2; 19/10; 19/10; 19/10; 21/10; 21/10; 2; 2; 2; 19/10; 21/10; 2; ; 39/20; 2; 19/10; 2; 2; 54/25; 37/19; 2; 2; 2; 2; 2; ; 2; 2; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-22 22:20:11 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 31/20; 13/8; 17/11; 8/5; 31/20; 13/8; 8/5; 6/4; 8/5; 8/5; 8/5; 8/5; ; 8/5; 8/5; 6/4; 16/11; 17/11; 83/50; 19/12; 8/5; 8/5; 8/5; 31/20; 8/5; ; 6/4; 7/5; 13/8
Draw; 2; 2; 2; 2; 21/10; 2; 2; 2; 2; 2; 2; 19/10; ; 2; 2; 19/10; 2; 2; 21/10; 39/19; 2; 2; 2; 2; 39/19; ; 2; 19/10; 2
Eibar; 2; 19/10; 19/10; 19/10; 21/10; 21/10; 2; 2; 2; 19/10; 21/10; 2; ; 39/20; 2; 19/10; 2; 2; 54/25; 37/19; 2; 2; 2; 2; 2; ; 19/10; 15/8; 21/10
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-23 02:20:05 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 31/20; 13/8; 17/11; 8/5; 31/20; 13/8; 8/5; 6/4; 8/5; 8/5; 8/5; 8/5; 13/8; 8/5; 8/5; 6/4; 16/11; 17/11; 83/50; 19/12; 8/5; 8/5; 8/5; 31/20; 8/5; ; 6/4; 7/5; 13/8
Eibar; 2; 19/10; 19/10; 19/10; 21/10; 21/10; 2; 2; 2; 19/10; 21/10; 2; 17/10; 39/20; 2; 19/10; 2; 2; 54/25; 37/19; 2; 2; 2; 2; 2; ; 19/10; 15/8; 21/10
Draw; 2; 2; 2; 2; 21/10; 2; 2; 2; 2; 2; 2; 19/10; 11/5; 2; 2; 19/10; 2; 2; 21/10; 39/19; 2; 2; 2; 2; 39/19; ; 2; 19/10; 2
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-23 10:20:19 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 8/5; 13/8; 17/11; 8/5; 31/20; 13/8; 8/5; 6/4; 8/5; 8/5; 13/8; 13/8; 13/8; 8/5; 8/5; 6/4; 16/11; 8/5; 83/50; 19/12; 8/5; 8/5; 8/5; 31/20; 8/5; ; 6/4; 7/5; 13/8
Eibar; 2; 19/10; 19/10; 19/10; 21/10; 21/10; 19/10; 2; 2; 19/10; 21/10; 2; 17/10; 39/20; 2; 19/10; 2; 2; 54/25; 37/19; 2; 2; 2; 2; 2; ; 19/10; 15/8; 21/10
Draw; 2; 2; 2; 2; 21/10; 2; 2; 2; 2; 2; 2; 19/10; 11/5; 2; 2; 19/10; 2; 2; 21/10; 39/19; 2; 2; 2; 2; 2; ; 2; 19/10; 2
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-23 14:20:17 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 6/4; 13/8; 17/11; 8/5; 31/20; 13/8; 6/4; 6/4; 8/5; 31/20; 8/5; 13/8; 13/8; 8/5; 8/5; 6/4; 16/11; 17/11; 83/50; 19/12; 8/5; 6/4; 13/8; 31/20; 17/11; ; 6/4; ; 13/8
Eibar; 21/10; 19/10; 19/10; 19/10; 21/10; 21/10; 2; 2; 2; 2; 21/10; 2; 17/10; 2; 2; 19/10; 2; 39/19; 43/20; 37/19; 2; 2; 85/40; 2; 39/19; ; 2; ; 21/10
Draw; 21/10; 2; 2; 2; 21/10; 2; 2; 2; 2; 2; 2; 19/10; 11/5; 2; 2; 19/10; 2; 39/19; 21/10; 39/19; 2; 2; 2; 2; 39/19; ; 2; ; 2
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-23 18:20:17 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 6/4; 13/8; 17/11; 8/5; 31/20; 13/8; 8/5; 6/4; 8/5; 31/20; 8/5; 13/8; 13/8; 8/5; 8/5; 8/5; 16/11; 17/11; 83/50; 13/8; 8/5; 6/4; 8/5; 31/20; 17/11; ; 6/4; 6/4; 13/8
Eibar; 21/10; 19/10; 2; 19/10; 21/10; 21/10; 2; 2; 2; 2; 21/10; 2; 17/10; 2; 2; 2; 2; 2; 43/20; 37/19; 2; 2; 21/10; 2; 39/19; ; 2; 2; 21/10
Draw; 21/10; 2; 2; 2; 21/10; 2; 2; 2; 2; 2; 2; 19/10; 11/5; 2; 2; 2; 2; 2; 21/10; 21/10; 2; 2; 21/10; 2; 39/19; ; 2; ; 2
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-23 22:19:36 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 6/4; 6/4; 17/11; 8/5; 31/20; 13/8; 6/4; 6/4; 28/17; 31/20; 8/5; 13/8; 13/8; 8/5; 8/5; 6/4; 16/11; 17/11; 83/50; 13/8; 13/8; 6/4; 8/5; 31/20; 17/11; ; 6/4; 6/4; 13/8
Eibar; 21/10; 21/10; 2; 19/10; 21/10; 21/10; 2; 2; 39/19; 2; 21/10; 2; 17/10; 2; 2; 2; 2; 2; 43/20; 37/19; 2; 2; 21/10; 2; 39/19; ; 2; 19/10; 21/10
Draw; 21/10; 2; 2; 2; 21/10; 2; 2; 2; 2; 2; 2; 19/10; 11/5; 2; 2; 2; 2; 2; 21/10; 21/10; 37/19; 2; 21/10; 2; 39/19; ; 2; 19/10; 2
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-24 02:19:14 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 6/4; 6/4; 17/11; 8/5; 31/20; 13/8; 8/5; 6/4; 28/17; 31/20; 8/5; 13/8; 13/8; 8/5; 8/5; 6/4; 16/11; 17/11; 83/50; 13/8; 13/8; 6/4; 8/5; 31/20; 17/11; ; 6/4; 6/4; 13/8
Eibar; 21/10; 2; 2; 19/10; 21/10; 21/10; 2; 2; 39/19; 2; 21/10; 2; 17/10; 2; 2; 2; 2; 2; 43/20; 37/19; 2; 2; 21/10; 2; 39/19; ; 2; 19/10; 21/10
Draw; 21/10; 2; 2; 2; 21/10; 2; 2; 2; 2; 2; 2; 19/10; 11/5; 2; 2; 2; 2; 2; 21/10; 21/10; 37/19; 2; 21/10; 2; 39/19; ; 2; 19/10; 2
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-24 10:19:12 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 6/4; 6/4; 17/11; 13/8; 6/4; 13/8; 6/4; 6/4; 28/17; 31/20; 8/5; 13/8; 13/8; 8/5; 8/5; 6/4; 6/4; 17/11; 167/100; 13/8; 13/8; 6/4; 8/5; 31/20; 8/5; ; 6/4; 6/4; 13/8
Eibar; 21/10; 2; 2; 9/5; 21/10; 21/10; 2; 2; 39/19; 2; 21/10; 2; 17/10; 2; 2; 2; 21/10; 2; 43/20; 37/19; 2; 2; 21/10; 2; 39/19; ; 2; 19/10; 21/10
Draw; 21/10; 2; 2; 21/10; 21/10; 2; 2; 2; 2; 2; 2; 19/10; 11/5; 2; 2; 2; 21/10; 2; 21/10; 21/10; 37/19; 2; 21/10; 2; 2; ; 2; 19/10; 2
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-24 14:19:22 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 6/4; 6/4; 8/5; 13/8; 31/20; 13/8; 8/5; 8/5; 28/17; 8/5; 8/5; 8/5; 13/8; 8/5; 8/5; 8/5; 17/11; 8/5; 87/50; 13/8; 13/8; 8/5; 13/8; 31/20; 8/5; ; 13/8; 6/4; 13/8
Eibar; 21/10; 2; 19/10; 9/5; 2; 2; 19/10; 15/8; 39/19; 19/10; 2; 2; 17/10; 39/20; 2; 2; 2; 37/19; 41/20; 37/19; 2; 2; 2; 2; 2; ; 19/10; 19/10; 2
Draw; 21/10; 2; 2; 21/10; 21/10; 21/10; 2; 2; 2; 2; 21/10; 19/10; 11/5; 2; 2; 2; 21/10; 2; 21/10; 21/10; 37/19; 2; 21/10; 2; 39/19; ; 2; 2; 21/10
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-24 18:20:37 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 6/4; 13/8; 8/5; 13/8; 31/20; 13/8; 8/5; 8/5; 28/17; 8/5; 13/8; 8/5; 13/8; 13/8; 8/5; 8/5; 17/11; 8/5; 173/100; 13/8; 13/8; 8/5; 17/10; 31/20; 8/5; ; 8/5; 6/4; 8/5
Eibar; 21/10; 19/10; 19/10; 9/5; 2; 2; 19/10; 15/8; 39/19; 19/10; 2; 2; 17/10; 39/20; 2; 2; 2; 37/19; 51/25; 37/19; 2; 2; 2; 2; 2; ; 19/10; 19/10; 2
Draw; 21/10; 2; 2; 21/10; 21/10; 21/10; 2; 2; 2; 2; 21/10; 19/10; 11/5; 41/20; 2; 2; 21/10; 2; 85/40; 21/10; 37/19; 2; 21/10; 2; 39/19; ; 2; 2; 21/10
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-24 22:19:29 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 6/4; 13/8; 8/5; 13/8; 17/10; 13/8; 8/5; 8/5; 28/17; 8/5; 8/5; 8/5; 13/8; 13/8; 8/5; 8/5; 28/17; 8/5; 173/100; 13/8; 13/8; 8/5; 13/8; 31/20; 8/5; ; 13/8; ; 13/8
Eibar; 21/10; 19/10; 19/10; 9/5; 41/20; 2; 19/10; 15/8; 39/19; 19/10; 2; 2; 15/8; 39/20; 2; 2; 2; 37/19; 51/25; 37/19; 2; 2; 2; 39/20; 37/19; ; 19/10; 19/10; 2
Draw; 21/10; 2; 2; 21/10; 2; 21/10; 2; 2; 2; 2; 21/10; 19/10; 21/10; 41/20; 2; 2; 37/19; 39/19; 85/40; 21/10; 37/19; 2; 21/10; 2; 39/19; ; 2; 2; 21/10
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-25 02:19:08 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 6/4; 13/8; 8/5; 13/8; 17/10; 13/8; 8/5; 8/5; 28/17; 8/5; 8/5; 8/5; 13/8; 13/8; 8/5; 8/5; 28/17; 8/5; 173/100; 13/8; 13/8; 8/5; 13/8; 31/20; 28/17; ; 8/5; 8/5; 13/8
Eibar; 21/10; 19/10; 19/10; 9/5; 41/20; 2; 19/10; 15/8; 39/19; 19/10; 2; 2; 15/8; 39/20; 2; 2; 2; 37/19; 51/25; 37/19; 2; 2; 2; 39/20; 37/19; ; 19/10; 19/10; 2
Draw; 21/10; 2; 2; 21/10; 2; 21/10; 2; 2; 2; 2; 21/10; 19/10; 21/10; 41/20; 2; 2; 37/19; 2; 85/40; 21/10; 37/19; 2; 21/10; 2; 39/19; ; 2; 19/10; 21/10
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-25 10:19:13 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 13/8; 7/5; 13/8; 6/4; 17/10; 13/8; 13/8; 6/4; 28/17; 8/5; 17/10; 17/10; 13/8; 33/20; 17/10; 8/5; 17/11; 28/17; 7/4; 13/8; 13/8; 13/8; 17/10; 33/20; 28/17; ; 13/8; 13/8; 7/4
Draw; 2; 2; 2; 2; 39/20; 2; 2; 2; 2; 2; 2; 15/8; 2; 2; 2; 2; 37/19; 2; 52/25; 39/19; 37/19; 2; 21/10; 2; 2; ; 19/10; 19/10; 2
Eibar; 2; 11/5; 19/10; 2; 2; 21/10; 19/10; 2; 39/19; 15/8; 2; 19/10; 2; 39/20; 19/10; 2; 21/10; 37/19; 103/50; 2; 2; 15/8; 2; 2; 37/19; ; 19/10; 19/10; 19/10
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-25 14:19:30 GMT+2; 2017-11-25 12:00; In Play; Xlenovo
Eibar; 8/5; 13/8; 13/8; 8/5; 17/10; ; 8/5; 9/5; 13/8; 31/20; 6/4; 6/4; ; 31/20; 17/10; 6/4; 8/5; 6/4; ; ; 13/8; ; 31/20; 13/8; 28/17; ; 13/8; 7/4; 7/4
Draw; 7/4; 13/8; 9/5; 17/10; 17/10; ; 9/5; 13/8; 7/4; 9/5; 15/8; 13/8; ; 7/4; 17/10; 8/5; 17/10; 24/13; ; ; 7/4; ; 7/4; 7/4; 19/10; ; 7/4; 15/8; 19/10
Alaves; 11/5; 9/4; 9/5; 9/4; 39/20; ; 9/4; 2; 9/4; 19/10; 9/4; 2; ; 9/4; 41/20; 11/5; 11/5; 11/5; ; ; 9/4; ; 9/4; 23/10; 2; ; 9/4; 2; 23/10
