META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-20 02:19:43 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 3/4; 3/4; 4/5; 5/6; 3/4; 3/4; 8/11; 7/9; 3/4; 3/4; 3/4; ; 4/5; 3/4; 8/11; 3/4; 10/13; 3/4; 7/9; 7/9; 8/11; 3/4; 3/4; 14/19; ; 8/11; 8/11; 8/11
Draw; 27/10; 29/10; 11/4; 11/4; 3; 29/10; 11/4; 11/4; 14/5; 11/4; 11/4; 11/4; ; 14/5; 3; 14/5; 13/5; 14/5; 13/5; 37/13; 11/4; 14/5; 3; 11/4; 37/13; ; 27/10; 5/2; 14/5
Las Palmas; 7/2; 10/3; 17/5; 16/5; 71/20; 18/5; 10/3; 7/2; 7/2; 7/2; 19/5; 7/2; ; 17/5; 100/30; 7/2; 7/2; 62/17; 7/2; 7/2; 17/5; 7/2; 17/5; 7/2; 62/17; ; 10/3; 3; 7/2
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-10 14:19:02 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 3/4; 3/4; 4/5; 5/6; 3/4; 3/4; 8/11; 7/9; 3/4; 3/4; 3/4; ; 4/5; 3/4; 8/11; 3/4; 10/13; 3/4; 7/9; 7/9; 8/11; 3/4; 3/4; 14/19; ; 8/11; 8/11; 8/11
Draw; 27/10; 29/10; 11/4; 11/4; 3; 29/10; 11/4; 11/4; 14/5; 11/4; 3; 11/4; ; 14/5; 3; 14/5; 13/5; 14/5; 13/5; 37/13; 11/4; 14/5; 3; 11/4; 37/13; ; 27/10; 5/2; 14/5
Las Palmas; 7/2; 10/3; 17/5; 16/5; 71/20; 7/2; 10/3; 7/2; 7/2; 7/2; 18/5; 7/2; ; 17/5; 100/30; 7/2; 7/2; 62/17; 7/2; 7/2; 17/5; 7/2; 17/5; 7/2; 62/17; ; 10/3; 3; 7/2
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-10 18:19:15 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 3/4; ; 3/4; 79/ 100; 3/4; 3/4; 8/11; 7/9; 3/4; 3/4; 3/4; 5/6; 4/5; 3/4; 8/11; 3/4; 10/13; 3/4; 7/9; 7/9; 8/11; 3/4; 3/4; 14/19; 8/11; 8/11; 8/11
Draw; 27/10; 29/10; ; 11/4; 74/25; 29/10; 11/4; 11/4; 14/5; 11/4; 3; 11/4; 29/10; 14/5; 3; 14/5; 13/5; 14/5; 13/5; 37/13; 11/4; 14/5; 3; 11/4; 37/13; 11/4; 5/2; 14/5
Las Palmas; 7/2; 10/3; ; 10/3; 39/10; 7/2; 10/3; 7/2; 7/2; 7/2; 18/5; 7/2; 29/10; 17/5; 15/4; 7/2; 7/2; 62/17; 7/2; 7/2; 17/5; 7/2; 17/5; 7/2; 62/17; 7/2; 3; 7/2
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-10 22:19:05 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 3/4; 3/4; 3/4; 79/ 100; 3/4; 3/4; 8/11; 7/9; 3/4; 3/4; 3/4; 5/6; 4/5; 3/4; 8/11; 3/4; 10/13; 3/4; 7/9; 7/9; 8/11; 3/4; 3/4; 14/19; 8/11; 8/11; 8/11
Draw; 27/10; 29/10; 11/4; 11/4; 74/25; 29/10; 11/4; 11/4; 14/5; 11/4; 3; 11/4; 29/10; 14/5; 3; 14/5; 13/5; 14/5; 13/5; 37/13; 11/4; 14/5; 3; 11/4; 37/13; 11/4; 5/2; 14/5
Las Palmas; 7/2; 10/3; 17/5; 10/3; 39/10; 7/2; 10/3; 7/2; 7/2; 7/2; 18/5; 7/2; 29/10; 17/5; 15/4; 7/2; 7/2; 62/17; 7/2; 7/2; 17/5; 7/2; 17/5; 7/2; 62/17; 7/2; 3; 7/2
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-11 02:19:04 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 3/4; 3/4; 3/4; 79/ 100; 3/4; 3/4; 8/11; 7/9; 3/4; 3/4; 3/4; 5/6; 4/5; 3/4; 8/11; 3/4; 10/13; 3/4; 7/9; 7/9; 8/11; 3/4; 3/4; 14/19; 8/11; 8/11; 8/11
Draw; 27/10; 29/10; 11/4; 11/4; 74/25; 29/10; 11/4; 11/4; 14/5; 11/4; 3; 11/4; 29/10; 14/5; 3; 14/5; 13/5; 14/5; 13/5; 37/13; 11/4; 14/5; 3; 11/4; 37/13; 11/4; 5/2; 14/5
Las Palmas; 7/2; 10/3; 17/5; 10/3; 39/10; 7/2; 10/3; 7/2; 7/2; 7/2; 18/5; 7/2; 29/10; 17/5; 15/4; 7/2; 7/2; 62/17; 7/2; 7/2; 17/5; 7/2; 17/5; 7/2; 62/17; 7/2; 3; 7/2
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-11 10:19:06 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 3/4; 3/4; 3/4; 4/5; 3/4; 3/4; 8/11; 7/9; 3/4; 3/4; 3/4; 5/6; 3/4; 3/4; 8/11; 3/4; 10/13; 3/4; 7/9; 7/9; 8/11; 3/4; 3/4; 14/19; 8/11; 8/11; 8/11
Draw; 27/10; 29/10; 11/4; 11/4; 72/25; 29/10; 11/4; 11/4; 14/5; 11/4; 3; 11/4; 29/10; 14/5; 3; 14/5; 13/5; 14/5; 13/5; 37/13; 11/4; 14/5; 3; 11/4; 14/5; 11/4; 13/5; 14/5
Las Palmas; 7/2; 10/3; 17/5; 10/3; 79/20; 7/2; 7/2; 7/2; 7/2; 7/2; 18/5; 7/2; 29/10; 17/5; 15/4; 7/2; 7/2; 18/5; 7/2; 7/2; 17/5; 7/2; 17/5; 7/2; 62/17; 7/2; 3; 7/2
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-11 14:19:25 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 3/4; 3/4; 3/4; 39/50; 3/4; 3/4; 8/11; 7/9; 3/4; 3/4; 3/4; 5/6; 3/4; 3/4; 8/11; 3/4; 10/13; 3/4; 7/9; 7/9; 8/11; 4/5; 3/4; 14/19; ; 8/11; 8/11; 8/11
Draw; 27/10; 29/10; 11/4; 11/4; 61/20; 29/10; 11/4; 11/4; 14/5; 11/4; 3; 11/4; 29/10; 14/5; 3; 14/5; 13/5; 14/5; 13/5; 29/10; 11/4; 14/5; 3; 11/4; 14/5; ; 11/4; 27/10; 14/5
Las Palmas; 7/2; 10/3; 17/5; 10/3; 77/20; 7/2; 7/2; 7/2; 7/2; 7/2; 18/5; 7/2; 29/10; 17/5; 15/4; 7/2; 7/2; 18/5; 7/2; 7/2; 17/5; 7/2; 7/2; 7/2; 62/17; ; 7/2; 7/2; 7/2
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-11 18:19:58 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 3/4; 3/4; 3/4; 79/100; 3/4; 3/4; 8/11; 7/9; 3/4; 3/4; 3/4; 5/6; 4/5; 3/4; 8/11; 3/4; 10/13; 3/4; 7/9; 7/9; 8/11; 4/5; 3/4; 14/19; ; 8/11; 8/11; 8/11
Draw; 27/10; 29/10; 11/4; 11/4; 61/20; 29/10; 11/4; 11/4; 14/5; 11/4; 3; 11/4; 29/10; 29/10; 3; 14/5; 13/5; 14/5; 13/5; 29/10; 11/4; 14/5; 3; 11/4; 37/13; ; 11/4; 27/10; 14/5
Las Palmas; 7/2; 10/3; 17/5; 10/3; 19/5; 7/2; 10/3; 7/2; 7/2; 7/2; 18/5; 7/2; 29/10; 18/5; 15/4; 7/2; 7/2; 62/17; 7/2; 7/2; 17/5; 7/2; 7/2; 7/2; 37/10; ; 7/2; 7/2; 7/2
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-11 22:19:01 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 7/10; 3/4; 8/11; 3/4; 39/50; 3/4; 8/11; 8/11; 3/4; 8/11; 8/11; 3/4; 5/6; 4/5; 3/4; 8/11; 3/4; 10/13; 3/4; 13/17; 3/4; 8/11; 3/4; 8/11; 14/19; ; 8/11; 8/11; 8/11
Draw; 11/4; 29/10; 11/4; 11/4; 3; 29/10; 11/4; 11/4; 37/13; 14/5; 3; 11/4; 29/10; 29/10; 3; 14/5; 13/5; 14/5; 13/5; 56/19; 14/5; 14/5; 3; 59/20; 37/13; ; 11/4; 14/5; 14/5
Las Palmas; 15/4; 10/3; 7/2; 10/3; 39/10; 7/2; 7/2; 7/2; 37/10; 18/5; 19/5; 7/2; 29/10; 37/10; 15/4; 7/2; 7/2; 62/17; 7/2; 18/5; 18/5; 7/2; 15/4; 15/4; 37/10; ; 7/2; 7/2; 7/2
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-12 02:18:59 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 3/4; 8/11; 3/4; 39/50; 8/11; 8/11; 4/6; 3/4; 8/11; 3/4; 3/4; 5/6; 4/5; 3/4; 8/11; 3/4; 5/7; 3/4; 8/11; 3/4; 8/11; 3/4; 8/11; 14/19; ; 8/11; 8/11; 8/11
Draw; 11/4; 29/10; 11/4; 11/4; 3; 29/10; 11/4; 11/4; 37/13; 14/5; 11/4; 11/4; 29/10; 29/10; 3; 14/5; 13/5; 14/5; 13/5; 3; 14/5; 14/5; 3; 59/20; 37/13; ; 14/5; 27/10; 14/5
Las Palmas; 15/4; 10/3; 18/5; 10/3; 39/10; 15/4; 7/2; 7/2; 37/10; 18/5; 19/5; 7/2; 29/10; 37/10; 15/4; 7/2; 7/2; 15/4; 7/2; 15/4; 18/5; 7/2; 19/5; 15/4; 19/5; ; 7/2; 7/2; 7/2
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-12 10:19:04 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; 3/4; 8/11; 3/4; 39/50; 8/11; 8/11; 4/6; 3/4; 8/11; 3/4; 3/4; 5/6; 4/5; 3/4; 8/11; 3/4; 5/7; 3/4; 8/11; 3/4; 8/11; 3/4; 8/11; 14/19; ; 8/11; 8/11; 8/11
Draw; 11/4; 29/10; 11/4; 14/5; 3; 29/10; 11/4; 11/4; 37/13; 14/5; 11/4; 11/4; 29/10; 29/10; 3; 14/5; 27/10; 14/5; 27/10; 3; 14/5; 14/5; 3; 59/20; 37/13; ; 14/5; 27/10; 14/5
Las Palmas; 15/4; 10/3; 18/5; 17/5; 39/10; 15/4; 7/2; 7/2; 37/10; 18/5; 19/5; 7/2; 29/10; 37/10; 15/4; 7/2; 15/4; 15/4; 15/4; 15/4; 18/5; 7/2; 19/5; 15/4; 19/5; ; 7/2; 7/2; 7/2
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-12 14:19:19 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 8/11; 3/4; 8/11; 3/4; 39/50; 8/11; 8/11; 4/6; 3/4; 8/11; 8/11; 3/4; 5/6; 3/4; 3/4; 8/11; 3/4; 5/7; 3/4; 8/11; 3/4; 8/11; 3/4; 8/11; 5/7; ; 8/11; 8/11; 8/11
Draw; 14/5; 29/10; 14/5; 14/5; 61/20; 29/10; 14/5; 11/4; 37/13; 14/5; 3; 11/4; 29/10; 29/10; 3; 14/5; 27/10; 37/13; 27/10; 3; 14/5; 14/5; 3; 59/20; 29/10; ; 14/5; 14/5; 3
Las Palmas; 15/4; 10/3; 7/2; 17/5; 77/20; 15/4; 7/2; 7/2; 37/10; 18/5; 19/5; 7/2; 29/10; 37/10; 15/4; 15/4; 15/4; 15/4; 15/4; 15/4; 18/5; 7/2; 15/4; 15/4; 15/4; ; 7/2; 7/2; 7/2
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-12 18:19:09 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 8/11; 3/4; 8/11; 3/4; 79/100; 3/4; 8/11; 4/6; 13/18; 8/11; 3/4; 3/4; 5/6; 3/4; 3/4; 8/11; 3/4; 5/7; 3/4; 3/4; 5/7; 8/11; 4/5; 8/11; 5/7; ; 8/11; 4/6; 8/11
Draw; 14/5; 14/5; 14/5; 13/5; 61/20; 3; 14/5; 11/4; 29/10; 14/5; 3; 11/4; 29/10; 29/10; 3; 14/5; 27/10; 37/13; 27/10; 3; 29/10; 14/5; 3; 59/20; 29/10; ; 14/5; 14/5; 3
Las Palmas; 15/4; 7/2; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 19/5; 18/5; 18/5; 7/2; 29/10; 37/10; 15/4; 15/4; 15/4; 37/10; 15/4; 18/5; 19/5; 7/2; 18/5; 15/4; 15/4; ; 7/2; 7/2; 7/2
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-12 22:19:11 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 8/11; 3/4; 8/11; 3/4; 39/50; 3/4; 3/4; 4/6; 13/18; 8/11; 8/11; 8/11; 3/4; 3/4; 8/11; 8/11; 3/4; 5/7; 3/4; 3/4; 5/7; 8/11; 3/4; 8/11; 5/7; ; 8/11; 8/11; 8/11
Draw; 14/5; 14/5; 14/5; 13/5; 3; 29/10; 14/5; 11/4; 29/10; 29/10; 3; 14/5; 3; 3; 3; 14/5; 27/10; 37/13; 27/10; 3; 29/10; 14/5; 3; 59/20; 29/10; ; 14/5; 14/5; 3
Las Palmas; 15/4; 7/2; 7/2; 19/5; 39/10; 15/4; 7/2; 7/2; 19/5; 18/5; 19/5; 7/2; 7/2; 37/10; 7/2; 15/4; 15/4; 37/10; 15/4; 18/5; 19/5; 7/2; 19/5; 15/4; 15/4; ; ; 7/2; 7/2
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-13 02:19:02 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 8/11; 3/4; 8/11; 3/4; 39/50; 3/4; 8/11; 4/6; 13/18; 8/11; 3/4; 8/11; 3/4; 3/4; 8/11; 8/11; 3/4; 5/7; 3/4; 3/4; 5/7; 8/11; 3/4; 8/11; 5/7; ; 4/6; 8/11; 8/11
Draw; 14/5; 14/5; 14/5; 13/5; 3; 29/10; 14/5; 11/4; 29/10; 14/5; 11/4; 14/5; 14/5; 3; 3; 14/5; 27/10; 37/13; 27/10; 3; 29/10; 14/5; 3; 59/20; 29/10; ; 14/5; 14/5; 3
Las Palmas; 15/4; 7/2; 7/2; 19/5; 39/10; 15/4; 7/2; 7/2; 19/5; 18/5; 19/5; 7/2; 7/2; 37/10; 7/2; 15/4; 15/4; 15/4; 15/4; 18/5; 19/5; 7/2; 19/5; 15/4; 15/4; ; 7/2; 7/2; 7/2
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-13 10:19:09 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 8/11; 3/4; 7/10; 3/4; 71/100; 8/11; 8/11; 4/6; 13/18; 7/10; 8/11; 7/10; 8/11; 3/4; 8/11; 8/11; 13/18; 9/13; 13/18; 13/18; 5/7; 4/6; 3/4; 7/10; 9/13; ; 4/6; 4/6; 8/11
Draw; 14/5; 14/5; 29/10; 13/5; 63/20; 31/10; 14/5; 3; 29/10; 29/10; 3; 14/5; 3; 3; 3; 14/5; 11/4; 29/10; 11/4; 3; 29/10; 3; 3; 3; 56/19; ; 14/5; 14/5; 3
Las Palmas; 15/4; 7/2; 15/4; 19/5; 43/10; 15/4; 7/2; 7/2; 19/5; 18/5; 19/5; 15/4; 15/4; 19/5; 7/2; 15/4; 4; 19/5; 4; 15/4; 19/5; 7/2; 19/5; 15/4; 50/13; ; 7/2; 7/2; 7/2
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-13 14:19:51 GMT+2; 2018-01-13 12:00; In Play; Xlenovo
Girona; 4/6; 8/13; 4/7; 4/6; 16/25; 11/20; 4/6; 8/15; 5/9; 8/13; 4/6; 11/20; 4/6; 13/20; 3/5; 8/13; 11/17; 4/7; 11/17; 3/5; ; ; 4/6; 13/20; 7/12; ; 4/7; 4/6; 4/7
Draw; 11/4; 5/2; 11/4; 13/5; 63/20; 3; 11/4; 3; 33/10; 13/5; 11/4; 13/5; 3; 27/10; 57/20; 11/4; 27/10; 3; 27/10; 31/10; ; ; 29/10; 57/20; 58/19; ; 14/5; 14/5; 14/5
Las Palmas; 4; 9/2; 9/2; 9/2; 41/10; 5; 5; 5; 4; 21/5; 9/2; 4; 17/4; 9/2; 19/4; 4; 17/4; 9/2; 17/4; 23/5; ; ; 4; 9/2; 50/11; ; 23/5; 9/2; 24/5
