META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-28 16:22:46 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 8/13; 8/13; 8/13; 4/7; 8/13; 4/7; 8/13; 4/7; 4/7; 8/13; 8/13; 8/13; 3/5; 6/10; 3/5; ; 11/18; 6/11; 1/2; 8/15; 4/7; ; ; 6/11; ; ; 4/7; ; 
Draw; 11/4; 11/4; 27/10; 5/2; 29/10; 13/5; 3; 11/4; 14/5; 14/5; 14/5; 14/5; 57/20; 5/2; 11/4; ; 13/5; 14/5; 27/10; 14/5; 14/5; ; ; 14/5; ; ; 14/5; ; 
Guiseley; 9/2; 4; 4; 4; 9/2; 4; 17/4; 4; 17/4; 9/2; 9/2; 9/2; 17/4; 9/2; 9/2; ; 23/5; 9/2; 19/4; 9/2; 19/4; ; ; 9/2; ; ; 4; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-28 20:25:21 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 8/13; 8/13; 8/13; 4/7; 8/13; 4/7; 8/13; 4/7; 4/7; 8/13; 8/13; 8/13; 3/5; 6/10; 3/5; ; 4/7; 6/11; 1/2; 8/15; 4/7; ; ; 6/11; ; ; 4/7; ; 
Draw; 11/4; 11/4; 27/10; 5/2; 29/10; 13/5; 3; 11/4; 14/5; 14/5; 14/5; 14/5; 57/20; 5/2; 11/4; ; 14/5; 14/5; 27/10; 14/5; 14/5; ; ; 14/5; ; ; 14/5; ; 
Guiseley; 9/2; 4; 4; 4; 9/2; 4; 17/4; 4; 17/4; 9/2; 9/2; 9/2; 17/4; 9/2; 9/2; ; 23/5; 9/2; 19/4; 9/2; 23/5; ; ; 9/2; ; ; 9/2; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-29 00:22:53 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 8/13; 8/13; 8/13; 6/10; 8/13; 4/7; 8/13; 4/7; 4/7; 8/13; 8/13; 8/13; ; 6/10; 3/5; ; 4/7; 6/11; 1/2; 8/15; 4/7; ; ; 6/11; ; ; 4/7; 4/7; 
Draw; 11/4; 11/4; 27/10; 12/5; 29/10; 13/5; 29/10; 11/4; 14/5; 14/5; 14/5; 14/5; ; 5/2; 11/4; ; 14/5; 14/5; 27/10; 14/5; 14/5; ; ; 14/5; ; ; 14/5; 27/10; 
Guiseley; 9/2; 4; 17/4; 4; 9/2; 4; 17/4; 4; 17/4; 9/2; 9/2; 9/2; ; 9/2; 9/2; ; 23/5; 9/2; 19/4; 9/2; 23/5; ; ; 9/2; ; ; 9/2; 21/5; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-29 04:22:21 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 8/13; 8/13; 8/13; 6/10; 8/13; 4/7; 8/13; 4/7; 4/7; 8/13; 8/13; 8/13; ; 6/10; 3/5; ; 4/7; 6/11; 1/2; 8/15; 4/7; ; ; 6/11; ; ; 4/7; 4/7; 
Draw; 11/4; 11/4; 27/10; 12/5; 29/10; 13/5; 29/10; 11/4; 14/5; 14/5; 14/5; 14/5; ; 5/2; 11/4; ; 14/5; 14/5; 27/10; 14/5; 14/5; ; ; 14/5; ; ; 14/5; 27/10; 
Guiseley; 9/2; 4; 17/4; 4; 9/2; 4; 17/4; 4; 17/4; 9/2; 9/2; 9/2; ; 9/2; 9/2; ; 23/5; 9/2; 19/4; 9/2; 23/5; ; ; 9/2; ; ; 9/2; 21/5; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-29 08:22:02 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 8/13; 8/13; 8/13; 6/10; 8/13; 4/7; 8/13; 4/7; 4/7; 8/13; 8/13; 8/13; 3/5; 6/10; 3/5; ; 4/7; 4/7; 1/2; 4/7; 4/7; ; ; 4/7; ; ; 4/7; 4/7; 
Draw; 11/4; 14/5; 27/10; 12/5; 29/10; 13/5; 3; 11/4; 14/5; 14/5; 14/5; 14/5; 57/20; 5/2; 11/4; ; 14/5; 11/4; 27/10; 11/4; 14/5; ; ; 11/4; ; ; 14/5; 14/5; 
Guiseley; 9/2; 4; 17/4; 4; 9/2; 4; 17/4; 4; 17/4; 9/2; 9/2; 9/2; 17/4; 9/2; 9/2; ; 23/5; 9/2; 19/4; 9/2; 23/5; ; ; 9/2; ; ; 9/2; 23/5; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-29 12:22:41 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 8/13; 8/13; 8/13; 6/10; 8/13; 4/7; 8/13; 4/7; 4/7; 8/13; 8/13; 8/13; 3/5; 6/10; 3/5; ; 4/7; 4/7; 1/2; 4/7; 4/7; ; ; 4/7; ; ; 4/7; 4/7; 
Draw; 11/4; 11/4; 27/10; 12/5; 29/10; 13/5; 3; 11/4; 14/5; 14/5; 14/5; 14/5; 57/20; 5/2; 11/4; ; 14/5; 11/4; 27/10; 11/4; 14/5; ; ; 11/4; ; ; 14/5; 14/5; 
Guiseley; 9/2; 4; 17/4; 4; 9/2; 4; 17/4; 4; 17/4; 9/2; 9/2; 9/2; 17/4; 24/5; 9/2; ; 23/5; 9/2; 19/4; 9/2; 23/5; ; ; 9/2; ; ; 9/2; 23/5; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-29 16:23:13 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 8/15; 3/5; 11/20; 8/15; 4/7; 4/7; 4/7; 4/7; 4/7; 3/5; 8/13; 8/13; 11/20; 4/7; 8/15; ; 8/15; 6/11; 1/2; 1/2; 8/15; ; ; 1/2; ; ; 4/7; 4/7; 
Draw; 14/5; 14/5; 14/5; 5/2; 3; 13/5; 3; 11/4; 3; 14/5; 14/5; 14/5; 59/20; 13/5; 3; ; 56/19; 11/4; 27/10; 11/4; 56/19; ; ; 11/4; ; ; 14/5; 3; 
Guiseley; 11/2; 17/4; 19/4; 9/2; 5; 4; 19/4; 4; 9/2; 19/4; 19/4; 9/2; 17/4; 5; 5; ; 63/13; 19/4; 19/4; 11/2; 63/13; ; ; 11/2; ; ; 23/5; 5; 
